ORF	growth;standard
YBR225W	0.961
YBR226C	0.902
YBR227C	1.010
YBR228W	1.034
YBR229C	1.013
YBR230C	1.011
YBR230W-A	1.005
YBR231C	0.909
YBR232C	0.979
YBR233W	1.007
YBR235W	1.027
YBR238C	0.988
YBR239C	1.022
YBR240C	1.014
YBR241C	1.016
YBR242W	1.071
YBR244W	1.033
YBR245C	1.000
YBR246W	0.979
YBR249C	1.042
YBR250W	1.059
YBR251W	0.524
YBR255C-A	0.992
YBR255W	0.964
YBR258C	0.975
YBR259W	1.005
YBR260C	1.009
YBR261C	0.979
YBR262C	1.043
YBR263W	1.042
YBR264C	1.025
YBR266C	0.603
YBR267W	0.526
YBR268W	0.335
YBR269C	1.009
YBR270C	1.050
YBR271W	1.007
YBR272C	1.019
YBR273C	1.039
YBR274W	1.005
YBR275C	1.000
YBR276C	1.004
YBR277C	1.011
YBR278W	1.006
YBR279W	0.306
YBR280C	1.016
YBR281C	1.025
YBR282W	0.491
YBR283C	0.961
YBR284W	0.993
YBR285W	0.993
YBR286W	1.022
YBR287W	1.021
YBR288C	0.984
YBR289W	0.299
YBR290W	1.043
YBR291C	1.025
YBR292C	0.937
YBR293W	1.039
YBR294W	1.054
YBR295W	1.023
YBR296C	1.050
YBR296C-A	1.022
YBR297W	0.990
YBR298C	0.978
YBR298C-A	0.996
YBR299W	1.009
YBR300C	0.983
YBR301W	1.052
YBR302C	1.064
YCL001W	0.992
YCL001W-A	1.034
YCL002C	1.021
YCL006C	1.048
YCL008C	0.398
YCL009C	1.067
YCL010C	0.828
YCL011C	1.051
YCL012W	1.023
YCL013W	1.011
YCL014W	1.017
YCL016C	0.948
YCL022C	1.051
YCL023C	0.991
YCL024W	0.988
YCL025C	0.950
YCL026C	1.030
YCL026C-A	1.058
YCL027W	1.020
YCL028W	1.037
YCL029C	0.975
YCL032W	0.817
YCL033C	1.044
YCL034W	1.034
YCL035C	1.057
YCL036W	1.093
YCL037C	0.635
YCL038C	1.027
YCL039W	0.979
YCL040W	1.035
YCL042W	1.006
YCL044C	0.969
YCL045C	1.041
YCL046W	1.019
YCL047C	1.029
YCL048W	1.046
YCL049C	1.006
YCL050C	0.997
YCL051W	1.026
YCL055W	0.990
YCL056C	1.034
YCL057W	1.066
YCL060C	0.973
YCL061C	0.876
YCL062W	0.863
YCL063W	0.938
YCL064C	1.088
YCL069W	1.039
YCL074W	1.050
YCL075W	0.964
YCL076W	0.970
YCR001W	1.059
YCR003W	0.587
YCR005C	1.072
YCR006C	1.050
YCR007C	1.016
YCR008W	0.918
YCR009C	0.696
YCR010C	1.023
YCR011C	1.088
YCR014C	1.119
YCR015C	1.048
YCR016W	1.006
YCR017C	1.056
YCR019W	1.046
YCR020C	1.077
YCR020C-A	1.032
YCR021C	1.097
YCR022C	1.076
YCR023C	1.040
YCR024C	0.307
YCR024C-A	0.994
YCR025C	1.084
YCR026C	1.071
YCR027C	1.042
YCR028C	0.417
YCR028C-A	0.616
YCR030C	1.043
YCR031C	0.949
YCR032W	1.003
YCR033W	1.034
YCR034W	1.039
YCR036W	1.064
YCR037C	1.079
YCR043C	1.093
YCR044C	1.046
YCR045C	1.039
YCR046C	0.529
YCR048W	1.013
YCR049C	1.030
YCR050C	1.009
YCR051W	1.041
YCR053W	0.695
YCR059C	1.049
YCR060W	1.052
YCR061W	1.014
YCR062W	0.981
YCR063W	0.513
YCR065W	1.031
YCR066W	0.952
YCR067C	1.028
YCR068W	0.967
YCR069W	1.066
YCR073C	1.033
YCR073W-A	1.026
YCR075C	1.082
YCR076C	1.117
YCR077C	0.931
YCR079W	1.022
YCR082W	1.061
YCR083W	1.074
YCR085W	1.040
YCR086W	0.937
YCR087C-A	0.997
YCR087W	1.014
YCR088W	1.012
YCR089W	1.042
YCR090C	0.998
YCR091W	0.983
YCR092C	0.974
YCR094W	0.443
YCR095C	1.025
YCR098C	1.029
YCR099C	1.026
YCR100C	1.014
YCR101C	1.011
YCR102C	1.064
YCR102W-A	1.001
YCR104W	0.612
YCR105W	1.038
YCR106W	0.999
YCR107W	1.042
YDL001W	0.991
YDL002C	0.699
YDL005C	0.402
YDL006W	0.553
YDL010W	1.003
YDL011C	1.016
YDL012C	1.023
YDL013W	0.531
YDL018C	1.007
YDL019C	1.027
YDL020C	0.790
YDL021W	0.706
YDL022W	1.000
YDL023C	0.979
YDL024C	0.978
YDL025C	1.040
YDL026W	1.005
YDL027C	1.044
YDL033C	0.738
YDL035C	0.802
YDL036C	1.049
YDL037C	0.997
YDL038C	1.034
YDL039C	1.042
YDL040C	0.547
YDL044C	0.566
YDL045W-A	0.498
YDL048C	1.037
YDL049C	1.017
YDL050C	0.981
YDL051W	1.051
YDL052C	0.938
YDL053C	0.995
YDL054C	1.035
YDL056W	0.954
YDL057W	1.015
YDL059C	1.037
YDL061C	0.668
YDL062W	0.825
YDL063C	0.917
YDL065C	0.863
YDL066W	1.044
YDL067C	0.685
YDL069C	0.723
YDL070W	0.988
YDL071C	0.989
YDL073W	1.079
YDL074C	0.643
YDL076C	0.938
YDL077C	0.760
YDL078C	1.042
YDL079C	1.005
YDL080C	0.982
YDL081C	0.515
YDL082W	0.789
YDL083C	0.718
YDL085C-A	1.084
YDL085W	1.036
YDL086W	1.031
YDL088C	0.992
YDL089W	0.997
YDL091C	1.023
YDL093W	0.990
YDL094C	0.959
YDL095W	1.014
YDL096C	0.989
YDL099W	1.005
YDL100C	0.975
YDL101C	0.935
YDL104C	0.925
YDL106C	1.029
YDL107W	0.708
YDL109C	1.019
YDL110C	1.006
YDL112W	0.970
YDL113C	0.985
YDL114W	0.997
YDL115C	0.875
YDL116W	0.565
YDL117W	0.868
YDL118W	0.988
YDL119C	0.993
YDL121C	0.995
YDL122W	1.004
YDL123W	1.009
YDL124W	1.028
YDL125C	1.057
YDL127W	1.036
YDL128W	0.994
YDL129W	1.014
YDL130W	0.794
YDL130W-A	1.052
YDL131W	1.003
YDL133C-A	0.962
YDL133W	1.003
YDL134C	1.010
YDL134C-A	0.993
YDL135C	1.116
YDL136W	0.828
YDL137W	0.979
YDL138W	1.027
YDL142C	0.893
YDL144C	1.014
YDL146W	0.992
YDL149W	1.007
YDL154W	0.947
YDL155W	1.036
YDL156W	0.960
YDL157C	0.950
YDL159W-A	1.139
YDL160C-A	1.057
YDL161W	1.009
YDL162C	0.982
YDL167C	0.967
YDL168W	1.009
YDL169C	1.013
YDL170W	1.005
YDL171C	1.015
YDL172C	0.978
YDL173W	0.973
YDL174C	1.043
YDL175C	0.985
YDL176W	1.034
YDL177C	1.015
YDL178W	1.061
YDL179W	0.971
YDL180W	0.838
YDL181W	0.972
YDL182W	0.938
YDL183C	0.989
YDL184C	0.990
YDL185W	0.987
YDL186W	0.959
YDL187C	1.006
YDL188C	1.002
YDL189W	1.021
YDL190C	0.912
YDL191W	0.898
YDL192W	0.796
YDL194W	0.950
YDL197C	1.017
YDL199C	1.040
YDL200C	1.030
YDL201W	0.942
YDL202W	0.347
YDL203C	1.002
YDL204W	1.005
YDL206W	0.985
YDL210W	1.064
YDL211C	1.007
YDL213C	0.947
YDL214C	0.984
YDL215C	0.998
YDL216C	1.020
YDL218W	1.031
YDL219W	1.001
YDL222C	1.012
YDL223C	1.027
YDL224C	0.981
YDL226C	0.935
YDL227C	1.016
YDL229W	1.010
YDL230W	1.033
YDL231C	1.030
YDL233W	1.022
YDL234C	1.004
YDL236W	1.046
YDL237W	1.042
YDL238C	1.060
YDL239C	1.023
YDL240W	1.009
YDL241W	1.056
YDL242W	1.021
YDL243C	0.974
YDL244W	1.014
YDL245C	0.992
YDL246C	1.028
YDL248W	1.066
YDR001C	1.001
YDR003W	1.015
YDR004W	0.903
YDR005C	0.804
YDR006C	0.982
YDR007W	0.996
YDR009W	1.017
YDR010C	1.029
YDR011W	1.000
YDR012W	1.027
YDR014W	0.984
YDR015C	1.033
YDR017C	0.629
YDR018C	1.025
YDR019C	1.017
YDR020C	1.067
YDR022C	1.035
YDR024W	0.749
YDR025W	0.620
YDR026C	1.005
YDR027C	0.451
YDR029W	1.003
YDR030C	1.010
YDR031W	1.039
YDR032C	1.074
YDR033W	1.060
YDR034C-A	1.068
YDR034W-B	1.067
YDR035W	1.009
YDR036C	1.041
YDR038C	1.071
YDR040C	1.015
YDR042C	1.029
YDR043C	1.052
YDR046C	1.051
YDR049W	0.871
YDR051C	0.965
YDR055W	1.027
YDR056C	1.004
YDR057W	1.046
YDR058C	0.983
YDR059C	1.041
YDR061W	1.013
YDR063W	1.006
YDR065W	0.433
YDR066C	0.983
YDR067C	1.029
YDR068W	1.046
YDR069C	0.164
YDR070C	1.068
YDR071C	1.029
YDR072C	1.026
YDR073W	1.012
YDR074W	0.679
YDR075W	1.031
YDR076W	0.901
YDR077W	1.047
YDR078C	0.971
YDR079W	0.667
YDR080W	0.595
YDR083W	0.722
YDR084C	1.046
YDR085C	1.046
YDR089W	1.020
YDR090C	1.050
YDR092W	0.991
YDR093W	1.023
YDR094W	0.955
YDR095C	1.017
YDR096W	1.103
YDR097C	1.010
YDR098C	1.009
YDR099W	0.927
YDR100W	1.040
YDR101C	0.869
YDR102C	1.028
YDR104C	1.033
YDR105C	1.026
YDR106W	1.082
YDR107C	1.003
YDR108W	0.881
YDR109C	1.014
YDR110W	1.011
YDR111C	1.024
YDR112W	1.010
YDR115W	0.345
YDR116C	0.847
YDR117C	1.054
YDR119W	1.015
YDR120C	1.031
YDR121W	1.040
YDR122W	1.064
YDR123C	0.724
YDR124W	1.019
YDR125C	1.003
YDR126W	0.885
YDR127W	0.830
YDR128W	0.779
YDR129C	0.547
YDR130C	1.020
YDR131C	1.039
YDR132C	1.037
YDR133C	1.047
YDR134C	1.028
YDR135C	1.018
YDR137W	0.619
YDR139C	1.048
YDR140W	0.376
YDR142C	1.008
YDR143C	1.066
YDR144C	0.988
YDR146C	0.878
YDR147W	0.988
YDR148C	0.969
YDR149C	0.826
YDR150W	0.819
YDR151C	1.004
YDR152W	1.011
YDR153C	0.993
YDR154C	1.002
YDR155C	1.008
YDR156W	0.855
YDR157W	0.988
YDR158W	0.903
YDR159W	0.694
YDR162C	0.788
YDR163W	0.982
YDR165W	0.965
YDR169C	0.953
YDR169C-A	1.027
YDR171W	1.008
YDR174W	0.607
YDR175C	0.511
YDR176W	0.435
YDR178W	1.007
YDR179C	1.013
YDR179W-A	0.952
YDR181C	0.977
YDR182W-A	1.042
YDR183W	0.981
YDR184C	0.904
YDR185C	1.023
YDR186C	0.966
YDR191W	1.008
YDR192C	1.055
YDR193W	1.035
YDR194C	0.631
YDR197W	0.677
YDR198C	1.039
YDR199W	1.007
YDR200C	0.866
YDR202C	0.956
YDR203W	0.925
YDR204W	0.770
YDR205W	1.037
YDR206W	0.994
YDR207C	0.533
YDR209C	1.057
YDR210W	1.058
YDR213W	1.025
YDR214W	1.049
YDR215C	1.024
YDR216W	1.046
YDR217C	0.984
YDR218C	1.004
YDR219C	0.989
YDR220C	0.995
YDR221W	1.015
YDR222W	1.038
YDR223W	1.016
YDR225W	0.901
YDR226W	0.380
YDR229W	1.039
YDR231C	0.708
YDR233C	1.046
YDR237W	0.368
YDR239C	1.056
YDR242W	1.018
YDR244W	0.823
YDR245W	0.808
YDR246W-A	1.071
YDR247W	1.032
YDR248C	0.978
YDR249C	1.028
YDR250C	0.991
YDR251W	1.009
YDR252W	1.048
YDR253C	0.987
YDR254W	1.018
YDR255C	1.016
YDR256C	1.020
YDR257C	1.007
YDR258C	1.026
YDR259C	0.987
YDR260C	1.049
YDR261C	1.012
YDR262W	1.005
YDR263C	1.052
YDR264C	0.348
YDR265W	0.884
YDR266C	1.039
YDR268W	0.499
YDR269C	0.981
YDR270W	1.061
YDR271C	1.001
YDR272W	1.028
YDR273W	1.022
YDR274C	0.992
YDR275W	1.021
YDR276C	0.819
YDR277C	1.026
YDR278C	0.999
YDR279W	1.022
YDR281C	1.004
YDR282C	1.032
YDR283C	0.982
YDR284C	1.058
YDR285W	1.034
YDR286C	1.049
YDR287W	0.993
YDR289C	0.976
YDR290W	0.914
YDR291W	1.043
YDR293C	0.847
YDR294C	1.001
YDR295C	0.750
YDR296W	0.366
YDR297W	1.045
YDR298C	0.597
YDR300C	0.255
YDR304C	1.048
YDR305C	0.991
YDR306C	1.038
YDR307W	1.029
YDR309C	1.037
YDR310C	0.976
YDR312W	1.016
YDR313C	1.063
YDR314C	1.015
YDR315C	0.827
YDR316W	0.911
YDR317W	1.011
YDR318W	1.003
YDR319C	1.045
YDR320C	0.500
YDR320C-A	0.398
YDR321W	1.000
YDR322C-A	0.914
YDR322W	0.612
YDR323C	0.317
YDR326C	1.020
YDR329C	0.880
YDR330W	1.032
YDR332W	0.981
YDR333C	1.018
YDR334W	0.940
YDR335W	0.937
YDR336W	1.003
YDR337W	0.472
YDR338C	0.997
YDR340W	0.979
YDR342C	0.954
YDR343C	0.970
YDR344C	1.006
YDR345C	1.001
YDR346C	1.073
YDR347W	0.408
YDR348C	0.983
YDR349C	0.981
YDR350C	0.630
YDR351W	1.034
YDR352W	1.067
YDR354W	0.851
YDR357C	1.030
YDR358W	1.027
YDR359C	0.485
YDR360W	0.900
YDR363W	0.916
YDR363W-A	1.001
YDR364C	0.314
YDR366C	1.076
YDR368W	1.035
YDR369C	0.735
YDR370C	1.056
YDR371W	1.032
YDR372C	1.056
YDR374C	1.001
YDR375C	0.648
YDR377W	0.604
YDR378C	0.735
YDR379W	1.092
YDR380W	1.051
YDR381C-A	0.858
YDR382W	0.515
YDR383C	1.036
YDR384C	0.976
YDR385W	0.927
YDR386W	0.970
YDR387C	1.002
YDR388W	0.483
YDR389W	0.917
YDR391C	1.000
YDR392W	0.730
YDR393W	0.780
YDR395W	1.039
YDR399W	0.981
YDR400W	1.020
YDR401W	1.003
YDR402C	1.008
YDR403W	1.037
YDR405W	0.189
YDR406W	1.029
YDR408C	1.061
YDR409W	1.035
YDR411C	1.015
YDR414C	1.038
YDR415C	1.048
YDR418W	0.610
YDR419W	1.057
YDR420W	1.020
YDR421W	1.045
YDR422C	1.011
YDR423C	1.030
YDR424C	0.992
YDR425W	0.930
YDR426C	0.949
YDR428C	1.020
YDR430C	1.047
YDR431W	0.972
YDR435C	0.976
YDR436W	1.025
YDR438W	1.043
YDR439W	0.723
YDR440W	0.955
YDR441C	0.952
YDR443C	0.442
YDR444W	1.012
YDR445C	1.016
YDR446W	1.042
YDR447C	0.907
YDR448W	0.410
YDR450W	0.569
YDR451C	1.005
YDR452W	1.026
YDR453C	1.025
YDR455C	0.836
YDR456W	0.874
YDR457W	0.816
YDR458C	1.018
YDR459C	1.051
YDR462W	0.443
YDR463W	0.906
YDR465C	1.030
YDR466W	1.101
YDR467C	1.051
YDR469W	0.875
YDR471W	0.904
YDR474C	1.036
YDR475C	1.030
YDR476C	1.009
YDR477W	0.487
YDR479C	1.091
YDR480W	1.045
YDR481C	1.049
YDR482C	1.015
YDR483W	1.042
YDR484W	0.489
YDR485C	0.956
YDR486C	1.022
YDR488C	0.981
YDR490C	1.007
YDR491C	1.055
YDR492W	1.037
YDR493W	0.985
YDR494W	1.040
YDR495C	0.479
YDR496C	0.833
YDR497C	1.023
YDR500C	0.610
YDR501W	1.066
YDR502C	0.994
YDR503C	1.031
YDR504C	1.039
YDR505C	0.984
YDR506C	0.983
YDR507C	1.014
YDR508C	0.985
YDR509W	0.948
YDR511W	1.031
YDR512C	0.752
YDR513W	1.003
YDR514C	1.042
YDR515W	1.017
YDR516C	1.009
YDR517W	1.035
YDR518W	1.021
YDR519W	1.029
YDR520C	0.918
YDR522C	0.983
YDR523C	1.012
YDR524C	0.999
YDR524C-B	0.971
YDR524W-C	0.944
YDR525W	0.973
YDR525W-A	0.981
YDR528W	1.054
YDR529C	0.657
YDR530C	1.058
YDR532C	0.409
YDR533C	1.035
YDR534C	1.018
YDR535C	0.975
YDR536W	1.020
YDR537C	0.990
YDR538W	1.066
YDR539W	0.997
YDR540C	1.010
YDR541C	1.048
YDR542W	1.153
YDR545W	1.004
YER042W	1.004
YER044C	0.313
YER045C	1.035
YER046W	1.035
YER047C	0.941
YER048C	0.990
YER049W	1.000
YER050C	0.617
YER051W	1.046
YER052C	0.969
YER053C	1.047
YER053C-A	1.034
YER054C	1.058
YER056C	1.004
YER056C-A	0.716
YER057C	1.009
YER058W	0.758
YER059W	0.950
YER060W	1.013
YER060W-A	1.027
YER061C	0.742
YER062C	1.015
YER063W	1.050
YER064C	1.104
YER065C	1.031
YER066W	1.014
YER067W	1.007
YER068W	0.501
YER071C	1.010
YER072W	0.959
YER073W	1.042
YER074W	0.636
YER076C	1.042
YER077C	0.343
YER078C	0.954
YER078W-A	1.068
YER079W	1.038
YER080W	1.034
YER081W	0.998
YER083C	0.727
YER084W	0.989
YER085C	1.016
YER086W	0.304
YER087C-A	1.007
YER087C-B	1.002
YER087W	0.243
YER088C	1.072
YER089C	1.056
YER090W	0.975
YER091C	0.966
YER091C-A	1.016
YER092W	0.834
YER093C-A	1.006
YER095W	0.835
YER096W	1.018
YER097W	1.009
YER098W	0.975
YER099C	1.022
YER100W	1.021
YER101C	1.024
YER102W	0.704
YER103W	1.033
YER106W	1.015
YER107C	0.476
YER108C	1.002
YER109C	1.001
YER111C	0.968
YER113C	1.024
YER114C	1.026
YER115C	1.020
YER116C	0.753
YER117W	0.326
YER118C	0.984
YER119C	1.045
YER119C-A	0.840
YER120W	0.947
YER121W	0.998
YER122C	0.928
YER123W	0.984
YER124C	1.018
YER128W	1.038
YER129W	1.035
YER130C	1.029
YER131W	0.885
YER132C	0.981
YER134C	1.002
YER135C	0.997
YER137C	1.040
YER139C	0.925
YER140W	0.975
YER141W	0.673
YER142C	1.037
YER143W	1.009
YER144C	0.975
YER145C	0.952
YER149C	1.001
YER150W	1.017
YER151C	0.658
YER152C	1.041
YER153C	0.720
YER154W	0.653
YER155C	0.872
YER156C	0.964
YER158C	1.065
YER161C	0.930
YER162C	0.853
YER163C	1.061
YER164W	0.962
YER166W	1.048
YER167W	0.986
YER170W	1.056
YER173W	1.007
YER174C	1.042
YER175C	1.041
YER175W-A	0.967
YER176W	1.037
YER177W	0.831
YER178W	0.834
YER179W	1.011
YER180C	1.021
YER180C-A	0.951
YER181C	0.995
YER182W	1.073
YER183C	1.048
YER184C	1.061
YER185W	1.010
YER186C	1.015
YER187W	1.036
YER188C-A	1.008
YER188W	1.051
YER189W	1.009
YFL001W	0.795
YFL003C	0.980
YFL004W	1.057
YFL006W	0.970
YFL007W	0.938
YFL010C	1.014
YFL010W-A	1.024
YFL011W	1.048
YFL012W	1.036
YFL013C	0.763
YFL013W-A	0.881
YFL014W	1.042
YFL015C	1.039
YFL016C	0.417
YFL019C	1.047
YFL020C	1.015
YFL021W	1.010
YFL023W	0.723
YFL025C	1.028
YFL027C	1.041
YFL028C	0.993
YFL030W	1.071
YFL031W	0.989
YFL032W	0.981
YFL033C	0.958
YFL034C-A	1.026
YFL034W	1.055
YFL035C-B	1.008
YFL036W	0.626
YFL040W	1.017
YFL041W	1.030
YFL041W-A	1.029
YFL042C	1.027
YFL043C	1.003
YFL044C	1.009
YFL046W	1.037
YFL047W	1.042
YFL048C	1.025
YFL049W	0.984
YFL050C	0.998
YFL051C	0.996
YFL052W	1.013
YFL053W	1.023
YFL054C	1.021
YFL055W	1.054
YFL056C	1.066
YFL057C	1.057
YFL058W	1.012
YFL059W	1.066
YFL060C	0.943
YFL061W	1.049
YFL062W	1.080
YFL064C	1.025
YFL065C	0.968
YFL067W	1.022
YFR001W	0.307
YFR006W	0.979
YFR007W	1.003
YFR008W	0.926
YFR009W	0.912
YFR010W	0.808
YFR011C	0.923
YFR012W	0.990
YFR013W	0.967
YFR014C	1.033
YFR015C	1.006
YFR016C	1.015
YFR017C	1.012
YFR018C	1.045
YFR020W	1.027
YFR021W	1.002
YFR022W	1.059
YFR023W	1.004
YFR024C	0.960
YFR024C-A	1.044
YFR026C	1.015
YFR030W	1.018
YFR031C-A	0.907
YFR032C	1.038
YFR032C-A	0.819
YFR032C-B	0.834
YFR033C	1.027
YFR034C	1.029
YFR035C	1.022
YFR036W	1.067
YFR038W	1.027
YFR039C	0.996
YFR040W	0.901
YFR041C	1.040
YFR044C	0.987
YFR045W	1.053
YFR046C	1.023
YFR047C	0.964
YFR048W	0.976
YFR049W	1.048
YFR053C	1.047
