ORF	Rnr3 abundance;Untreated conditions	Rnr3 abundance;YPD, 0.03% MMS
YDR193W	0.010	0.036
YNL132W	0.010	-0.216
YLR014C	0.010	-0.103
YOL153C	0.010	-0.178
YNL089C	0.010	-0.057
YCL048W	0.009	-0.024
YIL170W	0.009	0.160
YBL088C	0.009	0.243
YLR219W	0.009	-0.179
YKR051W	0.009	-0.022
YOR135C	0.009	0.043
YJL150W	0.009	-0.228
YER179W	0.009	-0.013
YMR114C	0.009	-0.171
YBR068C	0.009	-0.055
YLR034C	0.009	-0.091
YMR168C	-0.005	-0.041
YJR024C	0.009	-0.187
YJL210W	0.009	0.198
YGL098W	0.009	0.105
YIL105C	0.009	-0.171
YDR010C	0.009	-0.000
YER034W	0.009	-0.046
YBR208C	0.009	-0.092
YAL037W	0.008	-0.106
YJL206C	0.008	0.309
YBR199W	0.008	0.069
YDR504C	0.008	-0.158
YEL020C	0.008	0.063
YBR128C	0.008	-0.329
YLR152C	0.008	-0.058
YAL014C	0.008	-0.065
YJR112W	-0.008	-0.033
YFR019W	0.008	-0.011
YML054C	0.008	-0.224
YCL029C	0.008	-0.111
YOR328W	0.008	0.096
YPL071C	0.008	0.005
YDR191W	0.008	-0.118
YLR328W	0.008	-0.243
YPR153W	0.007	0.020
YGR149W	0.007	0.542
YKR100C	0.007	0.113
YCL033C	0.007	-0.179
YLR273C	0.007	-0.083
YPL195W	0.007	0.060
YBL101C	0.007	-0.062
YGL157W	0.007	-0.160
YDR199W	0.007	0.055
YHL047C	0.006	0.022
YLR353W	0.006	-0.171
YDL169C	0.006	-0.153
YER109C	0.006	-0.061
YOR086C	0.006	-0.180
YNL215W	0.006	-0.149
YCR059C	0.006	0.224
YOR153W	0.006	0.019
YNL261W	0.006	-0.190
YER119C	0.006	-0.146
YKR056W	0.006	0.046
YDR476C	0.006	-0.113
YLL063C	0.006	-0.124
YPR083W	0.006	0.043
YER184C	0.006	-0.091
YGL118C	0.006	-0.113
YKL093W	0.005	-0.127
YDL064W	0.005	-0.015
YPR090W	0.005	0.204
YOL107W	0.005	-0.044
YAL023C	0.005	-0.111
YDR110W	0.005	-0.252
YLR108C	0.005	-0.081
YMR167W	0.005	0.109
YLR208W	0.005	0.138
YNL279W	0.005	-0.086
YOL122C	0.005	0.043
YHR142W	0.005	0.085
YLR199C	0.005	0.164
YKL037W	0.005	-0.389
YAL018C	0.005	0.017
YOR303W	0.005	-0.048
YDR441C	0.005	0.002
YOR023C	0.005	-0.036
YCR095C	0.004	0.100
YHR139C	0.004	-0.103
YBR187W	0.004	-0.022
YOR087W	0.004	-0.356
YAL059W	0.004	-0.216
YGL160W	0.004	-0.018
YOR238W	0.004	-0.022
YOR009W	0.004	0.018
YML068W	0.004	-0.078
YJR106W	0.004	-0.071
YJL016W	0.004	-0.101
YNL120C	0.004	-0.083
YGR213C	0.003	-0.136
YJL178C	0.003	-0.150
YDR201W	0.003	-0.082
YER182W	0.003	0.030
YPR082C	0.003	-0.372
YDL056W	0.003	-0.037
YDR088C	-0.098	0.124
YKL129C	0.003	-0.131
YBR150C	0.003	-0.075
YLR348C	0.003	-0.189
YNL304W	0.003	-0.159
YPR140W	0.003	0.050
YOR220W	0.002	0.094
YNL278W	0.002	-0.270
YMR196W	0.002	-0.025
YBR166C	0.002	-0.116
YPL100W	0.002	-0.061
YLR181C	0.002	0.026
YAL051W	0.002	-0.145
YGL037C	0.002	-0.162
YJL175W	0.002	-0.615
YLR444C	0.002	-0.147
YOL070C	0.002	-0.199
YBR075W	0.002	-0.118
YML070W	0.002	-0.091
YMR134W	0.002	0.029
YHL036W	0.002	-0.129
YBR286W	0.002	-0.284
YDR112W	0.002	-0.075
YGR291C	0.002	-0.107
YJL158C	0.002	-0.139
YGL057C	0.002	0.572
YGL229C	0.001	0.004
YNL291C	0.001	0.051
YOL109W	0.001	-0.081
YJL119C	0.001	0.036
YGL067W	0.001	0.207
YKL020C	0.001	-0.129
YCR101C	0.001	-0.107
YDR124W	0.001	-0.130
YMR030W	0.001	0.211
YML027W	0.001	-0.076
YDR539W	0.001	0.045
YLR271W	0.001	-0.167
YOR224C	0.001	0.215
YDR238C	-0.037	-0.018
YPR171W	0.000	0.035
YHR024C	0.000	-0.570
YDR284C	0.000	-0.062
YPL169C	0.000	-0.141
YER042W	0.000	0.036
YNL072W	0.000	-0.091
YHR153C	0.000	-0.105
YDR218C	0.000	-0.186
YGR169C	-0.000	-0.070
YFL041W	-0.000	-0.074
YNL205C	-0.000	-0.080
YNL096C	-0.000	0.041
YDR313C	-0.000	-0.225
YMR161W	-0.000	0.061
YKR030W	-0.000	-0.023
YPR043W	-0.000	0.190
YAL022C	-0.000	-0.092
YKL107W	-0.001	-0.185
YLR408C	-0.001	0.059
YPL095C	-0.001	1.334
YLR088W	-0.001	-0.147
YGR164W	-0.001	0.081
YNL027W	-0.001	-0.241
YDR092W	-0.001	1.380
YOL031C	-0.001	-0.141
YDR228C	-0.121	0.232
YPL260W	-0.001	0.127
YIL004C	-0.001	-0.067
YKR098C	-0.001	-0.032
YDR220C	-0.001	-0.203
YMR017W	-0.001	0.134
YER137C	-0.001	-0.019
YHL009C	-0.001	-0.071
YER028C	-0.001	-0.012
YDR505C	-0.001	-0.026
YPL233W	-0.019	0.387
YNL042W	-0.001	-0.067
YHR077C	-0.001	-0.377
YPR091C	-0.001	0.069
YDL023C	-0.001	0.031
YDR071C	-0.001	0.400
YPR042C	-0.002	-0.190
YGR059W	-0.002	-0.126
YNL126W	-0.002	-0.285
YNL155W	-0.002	-0.087
YBR138C	-0.002	-0.040
YKL203C	-0.051	0.525
YOR173W	-0.002	-0.057
YBL017C	-0.002	0.006
YBR278W	-0.002	-0.199
YMR294W-A	-0.002	-0.125
YLR133W	-0.002	-0.113
YIL152W	-0.002	0.029
YNL044W	-0.002	-0.124
YER063W	-0.002	-0.148
YNL141W	-0.002	-0.229
YJR109C	-0.002	-0.089
YCR031C	-0.002	-0.094
YER020W	-0.002	0.060
YJL043W	-0.002	-0.328
YKL047W	-0.002	-0.250
YGR221C	-0.002	-0.241
YEL002C	-0.069	0.219
YDR118W	-0.002	-0.070
YJL108C	-0.002	0.085
YBR234C	-0.003	0.240
YKL159C	-0.003	-0.072
YDR261C	-0.003	-0.039
YPL258C	-0.003	-0.195
YKL131W	-0.003	-0.106
YBR033W	-0.003	-0.227
YMR233W	-0.003	0.027
YDR091C	-0.003	-0.211
YKL105C	-0.003	-0.180
YIL058W	-0.003	0.284
YLL020C	-0.003	0.271
YOR090C	-0.003	-0.061
YGR047C	-0.004	0.086
YFR018C	-0.004	-0.090
YHR030C	-0.004	-0.109
YKL174C	-0.004	0.027
YOR082C	-0.004	0.577
YPL228W	-0.101	0.030
YKL092C	-0.004	-0.212
YBR170C	-0.004	0.141
YNL077W	-0.004	-0.148
YLR136C	-0.004	-0.013
YLR346C	-0.004	-0.354
YBR290W	-0.004	0.023
YCL051W	-0.004	-0.209
YDR189W	-0.004	-0.003
YCR090C	-0.004	-0.091
YOL136C	-0.005	0.070
YBR152W	-0.005	-0.298
YBR299W	-0.005	-0.070
YGR181W	-0.005	-0.073
YPL273W	-0.005	0.062
YBR148W	-0.005	-0.113
YGL181W	-0.005	-0.040
YPL261C	-0.005	0.054
YGL022W	-0.074	-0.022
YML004C	-0.005	-0.183
YGR107W	-0.005	-0.232
YLR366W	-0.006	-0.092
YNL199C	-0.006	0.140
YCL026C-A	-0.006	-0.045
YIL131C	-0.006	-0.179
YOR127W	-0.006	0.046
YBR004C	-0.006	-0.043
YDR258C	-0.006	-0.194
YBL102W	-0.006	0.090
YKL042W	-0.094	-0.395
YNL314W	-0.006	-0.168
YGR277C	-0.006	-0.022
YMR013C	-0.006	-0.293
YKL098W	-0.006	-0.305
YNR058W	-0.006	-0.258
YIL086C	-0.006	-0.256
YMR188C	-0.006	-0.154
YDR152W	-0.006	-0.035
YPL091W	-0.007	-0.146
YMR181C	-0.007	0.077
YEL039C	-0.007	-0.247
YLL025W	-0.007	0.096
YOL056W	-0.007	-0.389
YDL046W	-0.007	-0.070
YNL092W	-0.007	-0.023
YNL232W	-0.007	-0.297
YKR069W	-0.007	-0.280
YDR020C	-0.007	-0.133
YGR223C	-0.007	-0.290
YBL054W	-0.007	0.088
YPL102C	-0.007	-0.174
YDR183W	-0.007	-0.054
YPL055C	-0.007	-0.580
YBR196C	-0.007	-0.553
YNL024C	-0.007	-0.163
YDR533C	-0.007	-0.178
YHR172W	-0.007	NaN
YGR120C	-0.007	-0.111
YEL056W	-0.007	0.041
YDR045C	-0.007	0.120
YBL066C	-0.007	0.108
YMR182C	-0.007	-0.048
YGL051W	-0.008	0.002
YAR035W	-0.008	-0.072
YNL029C	-0.008	-0.035
YLR174W	-0.008	-0.066
YKR003W	-0.008	-0.276
YKR084C	-0.008	-0.214
YKL033W-A	-0.008	-0.153
YFL056C	-0.008	-0.074
YKR018C	-0.008	-0.185
YGL253W	-0.008	-0.357
YJR005W	-0.008	-0.212
YKL188C	-0.008	-0.031
YER033C	-0.008	-0.110
YLR370C	-0.008	-0.360
YAR043C	-0.008	-0.039
YDR178W	-0.008	0.181
YDR338C	-0.008	0.084
YGL195W	-0.008	0.035
YLL017W	-0.008	-0.170
YGR231C	-0.008	-0.192
YAR031W	-0.008	-0.127
YBR107C	-0.008	0.004
YFR027W	-0.009	0.247
YGR139W	-0.009	-0.180
YIL012W	-0.009	-0.246
YKL026C	-0.009	-0.140
YDR458C	-0.009	0.259
YNL076W	-0.009	0.008
YCR032W	-0.009	-0.052
YLR372W	-0.009	-0.069
YBR055C	-0.010	-0.364
YPR121W	-0.009	0.089
YOL129W	-0.009	-0.143
YDR321W	-0.009	-0.069
YIL028W	-0.009	-0.196
YDL103C	-0.033	-0.081
YAL002W	-0.009	0.148
YKL039W	-0.009	-0.086
YOL082W	-0.010	-0.234
YPL110C	-0.010	-0.053
YNL122C	-0.010	0.114
YBR271W	-0.010	0.249
YNR067C	-0.010	-0.036
YPR192W	-0.010	-0.065
YGR242W	-0.010	-0.113
YAL020C	-0.010	0.024
YDR209C	-0.010	-0.066
YPR009W	-0.010	-0.110
YLR138W	-0.010	-0.109
YLR195C	-0.010	0.251
YGL203C	-0.010	-0.159
YIL139C	-0.010	0.293
YKL125W	-0.010	-0.058
YGR041W	-0.010	-0.051
YLL007C	-0.010	-0.058
YDR351W	-0.010	-0.114
YDL095W	-0.011	-0.064
YMR107W	-0.011	-0.017
YGR038W	-0.011	-0.230
YER071C	-0.011	-0.082
YLR047C	-0.011	-0.056
YDR064W	-0.011	-0.080
YPL175W	-0.011	NaN
YDR208W	-0.050	-0.227
YFR053C	-0.011	-0.139
YLR229C	-0.011	-0.262
YDR517W	-0.011	-0.085
YHR078W	-0.011	-0.202
YGR288W	-0.011	0.079
YOR360C	-0.011	NaN
YJR094C	-0.011	-0.145
YHR114W	-0.011	-0.249
YCR067C	-0.011	-0.160
YMR326C	-0.011	0.318
YGR212W	-0.012	-0.200
YDR305C	-0.012	0.017
YJR078W	-0.012	-0.164
YFL021W	-0.012	-0.120
YKL056C	-0.012	0.401
YDL230W	-0.012	-0.241
YOR264W	-0.012	-0.105
YDR272W	-0.012	0.007
YBR116C	-0.012	0.092
YCR073C	-0.012	-0.135
YOR370C	-0.012	-0.318
YCL001W	-0.012	-0.136
YKL222C	-0.012	-0.215
YER074W	-0.012	-0.336
YNL094W	-0.012	0.417
YPL099C	-0.012	0.071
YLR030W	-0.012	-0.090
YIL124W	-0.012	-0.129
YCR086W	-0.012	-0.144
YOL110W	-0.012	0.017
YIL099W	-0.013	-0.170
YHR185C	-0.013	0.015
YDL146W	-0.013	-0.146
YMR234W	-0.013	0.106
YDR519W	-0.013	-0.038
YGL034C	-0.013	-0.037
YER111C	-0.013	-0.707
YLR044C	-0.013	0.104
YHR110W	-0.013	-0.146
YBL070C	-0.013	-0.154
YOR223W	-0.013	0.023
YLL003W	-0.023	0.074
YPR013C	-0.013	0.009
YDL108W	-0.013	0.089
YHR163W	-0.013	-0.197
YKR067W	-0.013	-0.246
YKR076W	-0.013	0.069
YLR065C	-0.013	0.261
YBR277C	-0.013	-0.251
YDR213W	-0.013	-0.091
YLR333C	-0.013	-0.025
YLR224W	-0.013	-0.146
YLR194C	-0.013	0.214
YBR224W	-0.013	0.064
YJL183W	-0.013	0.020
YNL229C	-0.014	0.383
YPR128C	-0.014	-0.127
YLR012C	-0.014	-0.073
YLL001W	-0.014	-0.128
YDR035W	-0.014	-0.245
YHL034C	-0.014	0.235
YLR334C	-0.014	-0.240
YPL064C	-0.014	0.030
YFR045W	-0.014	-0.172
YHR155W	-0.014	-0.125
YDR142C	-0.014	-0.110
YDL195W	-0.014	-0.126
YAR020C	-0.014	0.040
YER167W	-0.014	-0.526
YAL043C-A	-0.014	-0.142
YLR205C	-0.014	-0.647
YBR092C	-0.015	-0.097
YKL184W	-0.015	0.270
YGL205W	-0.015	-0.086
YOL106W	-0.015	-0.053
YOR109W	-0.015	0.151
YNR008W	-0.015	0.059
YLR254C	-0.015	-0.113
YGR202C	-0.015	-0.312
YGR094W	-0.015	-0.168
YFR024C	-0.015	-0.034
YPL025C	-0.015	0.142
YBR283C	-0.015	-0.105
YJL145W	-0.015	-0.123
YIL173W	-0.015	0.211
YJL217W	-0.015	-0.022
YKL104C	-0.015	-0.179
YOR383C	-0.015	-0.135
YNL303W	-0.015	-0.108
YDL014W	-0.065	-0.100
YDR454C	-0.015	0.152
YPL227C	-0.015	0.020
YJR001W	-0.015	-0.117
YPR185W	-0.015	-0.090
YCR091W	-0.016	-0.067
YBR258C	-0.016	-0.215
YKL079W	-0.016	-0.134
YER150W	-0.016	-0.156
YIL083C	-0.016	-0.275
YLR060W	-0.016	-0.040
YER129W	-0.016	0.287
YKL077W	-0.016	-0.277
YOR047C	-0.016	0.121
YKL112W	-0.070	-0.283
YOR083W	-0.016	0.614
YMR276W	-0.016	-0.264
YLR081W	-0.016	0.160
YLR116W	-0.085	-0.092
YPL067C	-0.016	-0.063
YGL117W	-0.016	-0.035
YGL044C	-0.016	0.259
YIL014W	-0.016	-0.120
YCL028W	-0.016	-0.169
YDR127W	-0.017	0.239
YDR063W	-0.017	0.253
YML123C	-0.017	0.236
YOR292C	-0.017	0.118
YBR083W	-0.017	-0.067
YHL037C	-0.017	-0.125
YCR087W	-0.017	-0.167
YPR031W	-0.017	-0.123
YGR080W	-0.017	-0.170
YLR332W	-0.017	-0.135
YJR150C	-0.017	-0.156
YDL113C	-0.017	0.053
YPL048W	-0.017	0.029
YKR093W	-0.017	0.031
YNL173C	-0.017	-0.099
YDR506C	-0.017	-0.170
YDR281C	-0.017	0.204
YNL203C	-0.017	0.013
YDR515W	-0.017	0.098
YML011C	-0.017	0.009
YCR006C	-0.017	-0.158
YBR023C	-0.017	-0.259
YLR286C	-0.017	-0.192
YDL058W	-0.018	-0.383
YDL050C	-0.018	-0.205
YNL192W	-0.018	-0.169
YLR278C	-0.018	-0.110
YLR422W	-0.018	-0.128
YBR245C	-0.018	0.065
YJL151C	-0.018	-0.178
YLL047W	-0.018	-0.342
YPL250C	-0.018	0.032
YDR385W	-0.018	0.070
YAL053W	-0.018	0.096
YML058C-A	-0.018	-0.202
YGL227W	-0.018	-0.007
YDR273W	-0.018	-0.065
YJL099W	-0.018	-0.071
YIL055C	-0.018	-0.180
YLL060C	-0.018	-0.096
YHR033W	-0.018	0.026
YGR017W	-0.018	0.063
YCR107W	-0.019	-0.083
YMR243C	-0.019	0.195
YDL240W	-0.019	-0.236
YJR054W	-0.019	-0.102
YNR042W	-0.019	-0.108
YNL001W	-0.019	0.233
YOR179C	-0.019	0.076
YKR061W	-0.019	-0.004
YKL061W	-0.019	0.202
YIR018W	-0.019	0.178
YIL060W	-0.019	0.053
YOR182C	-0.019	0.210
YKR053C	-0.019	-0.044
YOR099W	-0.019	-0.424
YDR276C	-0.019	0.063
YNL011C	-0.019	0.023
YHR136C	-0.019	-0.175
YDR513W	-0.019	-0.030
YOR374W	-0.019	-0.178
YGR232W	-0.019	-0.215
YKL189W	-0.019	-0.490
YKR028W	-0.019	-0.063
YGL155W	-0.019	-0.209
YGR013W	-0.019	-0.137
YBL059W	-0.019	0.006
YGL010W	-0.019	-0.174
YDL220C	-0.019	-0.369
YNR043W	-0.020	0.237
YGR026W	-0.020	-0.074
YJR131W	-0.020	-0.104
YDR314C	-0.020	-0.152
YLR329W	-0.020	0.055
YBR080C	-0.020	0.184
YNL272C	-0.020	-0.281
YBR276C	-0.020	-0.163
YPL010W	-0.020	-0.085
YJR009C	-0.020	-0.215
YPL186C	-0.020	-0.003
YPL004C	-0.020	0.007
YOR219C	-0.020	0.404
YNL086W	-0.020	-0.089
YER041W	-0.020	-0.041
YOR132W	-0.020	0.219
YJL134W	-0.020	-0.159
YGL138C	-0.021	-0.307
YKR097W	-0.021	-0.061
YNL196C	-0.021	-0.150
YOR019W	-0.021	-0.125
YER007W	-0.021	0.012
YDR109C	-0.021	-0.114
YHR207C	-0.021	-0.242
YIR031C	-0.021	-0.167
YNL189W	-0.021	-0.199
YBR227C	-0.021	-0.308
YHL019C	-0.021	-0.006
YDL085W	-0.021	-0.315
YCR052W	-0.021	-0.157
YHR005C	-0.021	-0.395
YOL137W	-0.021	0.040
YLR400W	-0.021	0.224
YDR516C	-0.022	-0.028
YDL201W	-0.022	0.108
YAL024C	-0.022	-0.056
YHR137W	-0.022	-0.212
YGR166W	-0.022	0.068
YKL207W	-0.022	-0.016
YLR072W	-0.022	0.072
YOL093W	-0.022	0.261
YDR333C	-0.022	-0.109
YLR415C	-0.022	-0.247
YDR302W	-0.022	0.181
YJR047C	-0.022	-0.192
YDL080C	-0.022	-0.142
YLR080W	-0.022	0.149
YKL005C	-0.022	-0.206
YLR282C	-0.022	0.006
YDR155C	-0.022	-0.033
YHL022C	-0.023	-0.114
YPR030W	-0.023	-0.010
YBR147W	-0.023	-0.086
YGR136W	-0.023	-0.160
YGR286C	-0.023	0.035
YLR187W	-0.023	0.057
YOR156C	-0.023	-0.068
YDR242W	-0.023	-0.087
YOR186W	-0.023	0.214
YNL300W	-0.023	0.058
YDL224C	-0.023	-0.041
YLR248W	-0.023	-0.008
YMR194C-A	-0.023	0.041
YLR314C	-0.045	0.025
YGR091W	-0.051	0.403
YGL180W	-0.023	-0.088
YPL157W	-0.023	NaN
YFL044C	-0.023	-0.074
YPL086C	-0.023	0.041
YKL214C	-0.023	-0.246
YCR065W	-0.023	-0.400
YGR197C	-0.023	-0.111
YML116W	-0.024	-0.161
YBR236C	-0.028	1.256
YDR520C	-0.024	-0.112
YJL053W	-0.024	0.014
YMR229C	-0.024	0.045
YGL081W	-0.024	-0.068
YGL218W	-0.024	-0.207
YPR027C	-0.024	-0.144
YDR099W	-0.024	-0.420
YLR089C	-0.024	-0.068
YHR073W	-0.024	-0.029
YOR162C	-0.024	-0.102
YLL014W	-0.024	-0.331
YDR478W	-0.086	0.086
YJL055W	-0.024	0.051
YML060W	-0.024	0.708
YDL131W	-0.024	-0.188
YNL083W	-0.024	-0.038
YKR101W	-0.024	-0.393
YLR082C	-0.024	0.120
YJL058C	-0.024	-0.100
YHL040C	-0.024	-0.262
YNL156C	-0.025	-0.132
YIL016W	-0.025	-0.104
YOL162W	-0.025	-0.053
YHR112C	-0.025	-0.220
YBR297W	-0.025	-0.180
YOR314W	-0.025	0.113
YOR115C	-0.025	-0.003
YAL062W	-0.025	-0.170
YKL211C	-0.025	-0.279
YOR246C	-0.025	-0.026
YJL132W	-0.025	-0.059
YBR123C	-0.025	-0.178
YKR087C	-0.025	-0.283
YER151C	-0.025	-0.571
YOR104W	-0.025	0.009
YLR437C	-0.025	-0.116
YGR234W	-0.025	-0.353
YOR136W	-0.025	-0.057
YDR372C	-0.025	0.033
YAL058C-A	-0.026	0.015
YPL028W	-0.026	0.140
YKR054C	-0.026	-0.086
YMR278W	-0.026	-0.183
YLR150W	-0.026	-0.048
YIR025W	-0.026	-0.119
YLR206W	-0.026	-0.377
YBR240C	-0.026	0.069
YOR384W	-0.026	0.007
YLR460C	-0.026	-0.066
YHL008C	-0.026	0.060
YPR157W	-0.026	-0.071
YNL320W	-0.026	0.042
YGL121C	-0.026	-0.165
YHR146W	-0.026	-0.269
YAR040C	-0.026	-0.033
YLR214W	-0.026	-0.085
YBR270C	-0.026	-0.125
YJL078C	-0.027	0.187
YGR187C	-0.027	-0.045
YPR178W	-0.064	-0.144
YMR094W	-0.027	-0.186
YLR292C	-0.027	-0.104
YDR415C	-0.027	-0.011
YGL063W	-0.027	-0.122
YHR039C	-0.027	0.045
YAR037W	-0.027	-0.134
YCL034W	-0.027	-0.213
YER132C	-0.027	0.324
YMR124W	-0.027	0.033
YIL038C	-0.027	-0.147
YNL281W	-0.027	-0.056
YMR261C	-0.027	-0.148
YLR398C	-0.027	-0.181
YOR371C	-0.027	-0.201
YPR055W	-0.052	-0.275
YKR086W	-0.059	-0.062
YKL097C	-0.027	-0.198
YDL086W	-0.027	-0.286
YFL040W	-0.027	-0.124
YKR045C	-0.027	0.028
YGL165C	-0.027	-0.113
YPL039W	-0.027	0.207
YNL211C	-0.027	-0.098
YLL019C	-0.028	0.233
YOR239W	-0.028	-0.068
YJR148W	-0.028	-0.132
YFR020W	-0.028	0.123
YKL017C	-0.028	-0.166
YDR336W	-0.028	0.760
YML102W	-0.028	0.252
YBR255W	-0.028	0.026
YJR003C	-0.028	0.081
YJR091C	-0.028	0.021
YFL034W	-0.028	-0.005
YJR037W	-0.028	-0.184
YDL145C	-0.028	0.067
YOL043C	-0.028	0.217
YLR319C	-0.028	-0.323
YIL089W	-0.028	-0.263
YNL326C	-0.028	0.022
YOL001W	-0.028	0.457
YGR184C	-0.028	0.001
YNL013C	-0.028	0.163
YMR172W	-0.028	-0.042
YOR367W	-0.028	-0.116
YBR254C	-0.029	-0.149
YJR153W	-0.029	-0.159
YKR104W	-0.029	0.060
YDR239C	-0.029	-0.133
YOR346W	-0.029	0.366
YJL038C	-0.029	-0.221
YDL015C	-0.029	-0.225
YDL214C	-0.029	-0.025
YPL182C	-0.029	-0.325
YLR236C	-0.029	-0.121
YPL155C	-0.029	0.178
YPL112C	-0.029	-0.012
YLR046C	-0.029	-0.045
YDL190C	-0.029	0.180
YLR299W	-0.029	-0.009
YNL208W	-0.029	-0.062
YDL192W	-0.029	0.017
YEL015W	-0.029	-0.085
YKL128C	-0.029	-0.243
YCR069W	-0.029	-0.075
YBR114W	-0.029	0.051
YDR522C	-0.029	0.175
YHR186C	-0.029	-0.008
YOR100C	-0.029	-0.282
YMR031C	-0.029	0.346
YGR199W	-0.029	0.021
YDR003W	-0.029	0.126
YDR411C	-0.030	-0.023
YER149C	-0.030	-0.196
YNR009W	-0.030	-0.001
YDR166C	-0.030	-0.407
YLR151C	-0.030	0.053
YIL073C	-0.030	0.018
YOR075W	-0.030	-0.341
YDR018C	-0.030	-0.018
YDL209C	-0.030	-0.152
YMR164C	-0.030	-0.072
YNR060W	-0.030	-0.180
YPL244C	-0.030	0.014
YJL042W	-0.030	0.050
YMR316C-B	-0.030	-0.033
YMR137C	-0.030	-0.076
YOR254C	-0.030	-0.125
YER131W	-0.030	0.081
YLR227C	-0.030	-0.083
YPR006C	-0.030	-0.146
YGR273C	-0.030	0.025
YHR029C	-0.030	0.300
YPL085W	-0.030	0.009
YJL122W	-0.031	-0.173
YKL102C	-0.031	-0.144
YNL233W	-0.031	0.168
YBR012C	-0.031	-0.037
YGR106C	-0.031	-0.274
YNL142W	-0.031	-0.067
YOR307C	-0.031	0.326
YGL198W	-0.031	0.163
YER145C	-0.031	-0.140
YMR010W	-0.031	-0.199
YMR317W	-0.031	0.074
YBR185C	-0.031	0.156
YPL038W	-0.031	0.116
YGR005C	-0.031	-0.079
YLR177W	-0.031	-0.139
YNL063W	-0.031	-0.043
YLR096W	-0.031	-0.091
YMR006C	-0.031	-0.010
YER019C-A	-0.031	-0.089
YNR019W	-0.031	-0.149
YAL067C	-0.031	-0.165
YDL070W	-0.031	0.307
YGL251C	-0.031	-0.317
YDR080W	-0.031	0.654
YOR155C	-0.031	0.044
YLR124W	-0.031	-0.215
YML010W	-0.032	-0.056
YCR015C	-0.032	0.152
YKL043W	-0.032	0.139
YGL058W	-0.032	0.179
YPR085C	-0.032	0.216
YHR115C	-0.032	0.024
YFL011W	-0.032	-0.179
YOR356W	-0.032	-0.169
YNR025C	-0.032	0.054
YKR033C	-0.032	-0.023
YGR100W	-0.032	-0.076
YMR177W	-0.032	-0.102
YML035C	-0.032	0.091
YBR108W	-0.032	-0.030
YGR044C	-0.033	0.032
YLL011W	-0.033	-0.092
YLR266C	-0.033	-0.032
YBR300C	-0.033	-0.059
YKL204W	-0.033	0.177
YHR014W	-0.033	-0.188
YIL144W	-0.033	-0.032
YLR321C	-0.033	-0.125
YDR057W	-0.033	-0.016
YCL026C	-0.033	-0.135
YDR269C	-0.033	-0.068
YIL096C	-0.033	-0.113
YNR055C	-0.033	-0.167
YMR020W	-0.033	-0.156
YLR125W	-0.033	-0.158
YHR184W	-0.033	0.391
YOL011W	-0.033	0.226
YDR050C	-0.033	-0.378
YGR042W	-0.033	0.008
YNL336W	-0.034	-0.131
YGL219C	-0.034	-0.223
YCR016W	-0.034	-0.157
YOL032W	-0.034	-0.032
YOR250C	-0.034	-0.225
YHR113W	-0.034	-0.289
YDR210W	-0.034	-0.198
YMR016C	-0.034	0.049
YMR099C	-0.034	-0.194
YOR240W	-0.034	-0.016
YOR177C	-0.034	0.069
YJL162C	-0.034	-0.085
YOR268C	-0.034	-0.173
YJL057C	-0.034	-0.026
YOR208W	-0.034	-0.040
YMR152W	-0.034	-0.327
YDL111C	-0.034	-0.057
YFR035C	-0.034	-0.119
YIR002C	-0.034	1.283
YHR065C	-0.034	-0.239
YPL272C	-0.034	0.021
YNL006W	-0.100	0.311
YPL194W	-0.034	-0.894
YGL028C	-0.034	-0.213
YIR022W	-0.034	-0.444
YPR026W	-0.035	-0.108
YLL051C	-0.035	-0.082
YER115C	-0.035	-0.149
YJL044C	-0.035	-0.236
YLL032C	-0.035	-0.100
YKL063C	-0.035	-0.148
YNL008C	-0.035	0.031
YMR053C	-0.035	-0.126
YGR125W	-0.035	-0.136
YBR284W	-0.035	-0.352
YLR326W	-0.035	-0.117
YOR302W	-0.035	0.196
YPR170C	-0.035	-0.184
YLR250W	-0.035	0.078
YOR092W	-0.035	-0.085
YBR101C	-0.035	-0.070
YEL014C	-0.036	-0.131
YLR130C	-0.036	-0.003
YLR149C	-0.036	-0.051
YDL029W	-0.036	-0.024
YNL325C	-0.036	-0.131
YMR187C	-0.036	0.000
YLL059C	-0.036	-0.208
YIL023C	-0.036	-0.203
YML121W	-0.036	0.297
YIL007C	-0.036	-0.157
YLR445W	-0.036	-0.058
YPL220W	-0.036	-0.236
YNL116W	-0.036	-0.230
YNL270C	-0.036	-0.090
YGR225W	-0.036	-0.072
YIR035C	-0.036	-0.115
YBR169C	-0.037	0.035
YHR150W	-0.037	-0.068
YIR001C	-0.037	0.228
YKR064W	-0.037	0.041
YKL150W	-0.037	0.030
YGR289C	-0.037	0.061
YPL248C	-0.037	0.076
YIL115C	-0.037	0.173
YNL297C	-0.037	-0.121
YLR406C	-0.037	-0.153
YGL254W	-0.037	-0.257
YPL130W	-0.037	-0.136
YLR416C	-0.037	-0.280
YOL118C	-0.037	-0.134
YJL159W	-0.037	-0.249
YKR014C	-0.037	-0.299
YBR131W	-0.037	NaN
YML130C	-0.037	0.012
YHL028W	-0.037	-0.285
YDR151C	-0.037	-0.064
YDR309C	-0.037	-0.196
YLL028W	-0.037	-0.140
YAL034C	-0.037	-0.029
YJR095W	-0.038	-0.056
YEL031W	-0.038	0.148
