orf	hap a | number of peroxisomes | standard [standard] | Yofe I~Thoms S, 2017	hap a | peroxisomes distribution | standard [standard] | Yofe I~Thoms S, 2017
YBR227C	2.4	8.02
YBR228W	2.34	7.7
YBR229C	2.55	7.9
YBR230C	2.38	8.59
YBR231C	2.16	7.9
YBR232C	2.46	11.05
YBR233W	2.28	7.82
YBR235W	2.51	9.64
YBR238C	2.37	9.08
YBR239C	2.2	6.79
YBR240C	2.17	8.47
YBR241C	2.35	7.74
YBR242W	2.4	10.73
YBR244W	2.31	8.68
YBR245C	2.78	9.8
YBR246W	2.56	10.1
YBR248C	2.29	6.09
YBR249C	2.24	8.73
YBR250W	2.29	9.26
YBR251W	2.62	9.18
YBR255W	2.66	8.76
YBR258C	2.52	8.24
YBR259W	2.13	8.11
YBR260C	2.11	9.31
YBR261C	2.45	8.34
YBR262C	2.28	8.78
YBR263W	2.22	8.31
YBR264C	2.3	8.0
YBR266C	3.34	8.63
YBR267W	3.34	7.74
YBR268W	2.57	12.4
YBR269C	2.47	11.5
YBR270C	2.4	8.88
YBR271W	2.52	10.5
YBR272C	2.31	11.62
YBR273C	2.37	9.65
YBR274W	2.56	13.45
YBR275C	2.54	10.32
YBR276C	2.6	9.96
YBR277C	2.62	11.7
YBR278W	2.27	12.0
YBR280C	2.54	9.82
YBR281C	2.48	13.84
YBR282W	2.99	13.98
YBR283C	2.59	9.65
YBR284W	2.44	11.37
YBR285W	2.37	9.68
YBR286W	2.64	9.99
YBR287W	2.57	9.97
YBR288C	2.45	13.81
YBR290W	2.39	10.04
YBR291C	2.36	9.26
YBR292C	2.46	10.0
YBR293W	2.76	11.54
YBR294W	2.36	12.13
YBR295W	2.59	13.59
YBR296C	2.54	9.03
YBR297W	2.4	12.25
YBR298C	2.41	13.58
YBR299W	2.51	9.87
YBR300C	2.63	9.72
YBR301W	2.44	11.29
YCL001W	2.6	10.39
YCL001W-A	2.5	12.49
YCL002C	2.38	7.85
YCL008C	3.09	8.42
YCL009C	2.36	10.11
YCL010C	2.48	9.27
YCL011C	2.42	7.78
YCL014W	2.245	8.66
YCL016C	2.41	10.06
YCL022C	2.45	10.01
YCL023C	2.39	8.7
YCL024W	2.21	7.85
YCL025C	2.22	8.17
YCL026C-A	2.5	11.6
YCL027W	2.49	9.63
YCL028W	2.4	9.85
YCL029C	2.38	8.76
YCL032W	2.18	9.53
YCL033C	2.24	10.28
YCL034W	2.17	9.89
YCL035C	2.46	12.89
YCL036W	2.28	9.78
YCL037C	2.53	9.15
YCL038C	2.6	12.0
YCL039W	2.33	8.7
YCL040W	2.11	8.41
YCL042W	2.41	9.85
YCL044C	2.46	10.88
YCL045C	2.65	8.64
YCL046W	2.43	8.21
YCL047C	2.41	8.45
YCL048W	2.47	9.72
YCL049C	2.17	8.64
YCL050C	2.48	9.52
YCL051W	2.47	8.8
YCL055W	2.04	8.57
YCL056C	1.4	13.23
YCL057W	2.26	7.36
YCL058C	3.1	7.7
YCL061C	2.495	8.825
YCL063W	2.54	8.335
YCL064C	2.48	10.91
YCL069W	2.09	9.08
YCL076W	2.53	9.11
YCR001W	2.32	8.96
YCR003W	2.81	19.78
YCR004C	2.31	8.59
YCR005C	2.48	8.43
YCR006C	2.42	9.09
YCR007C	2.34	9.0
YCR008W	2.39	7.9
YCR010C	2.47	8.42
YCR011C	2.19	8.62
YCR014C	2.25	8.74
YCR015C	2.2	8.98
YCR016W	2.2	8.35
YCR017C	2.15	9.26
YCR019W	2.31	9.14
YCR020C	2.21	8.6
YCR020C-A	2.54	9.55
YCR021C	2.4	8.32
YCR022C	2.31	8.75
YCR023C	2.37	8.44
YCR024C-A	2.77	12.58
YCR025C	2.43	12.0
YCR026C	2.39	13.31
YCR027C	2.24	9.46
YCR028C	2.24	14.63
YCR028C-A	3.12	18.36
YCR030C	2.49	11.77
YCR031C	2.62	8.75
YCR032W	2.4	10.36
YCR033W	2.46	20.53
YCR034W	2.92	15.5
YCR036W	2.62	10.58
YCR037C	2.43	13.85
YCR043C	2.5	9.75
YCR045C	2.43	10.83
YCR048W	2.32	10.82
YCR049C	2.46	9.78
YCR050C	2.42	12.85
YCR051W	2.55	9.24
YCR053W	2.37	10.18
YCR059C	2.18	12.62
YCR060W	2.56	10.82
YCR061W	2.415	12.36
YCR065W	2.34	12.68
YCR066W	2.66	12.33
YCR067C	2.44	13.31
YCR068W	2.83	15.41
YCR069W	2.52	13.07
YCR073C	2.58	10.53
YCR073W-A	2.52	9.13
YCR075C	2.46	11.06
YCR076C	2.36	10.2
YCR077C	2.47	9.6
YCR079W	2.53	7.65
YCR082W	2.32	9.37
YCR083W	2.47	9.31
YCR085W	2.68	9.97
YCR086W	2.79	10.76
YCR087C-A	2.55	11.1
YCR087W	2.5	11.7
YCR088W	2.57	11.32
YCR089W	2.51	10.52
YCR090C	2.38	7.22
YCR091W	2.3	8.81
YCR092C	2.61	11.19
YCR094W	2.84	9.17
YCR095C	2.6	14.06
YCR098C	2.41	9.26
YCR099C	2.4	10.0
YCR100C	2.36	9.84
YCR101C	2.49	9.09
YCR102C	2.37	8.32
YCR102W-A	2.47	12.58
YCR105W	2.13	7.98
YCR106W	2.47	8.08
YCR107W	2.67	11.17
YDL001W	2.53	12.2
YDL002C	2.77	11.78
YDL006W	2.18	11.46
YDL009C	2.67	12.09
YDL010W	2.32	12.19
YDL011C	2.66	9.35
YDL012C	2.52	11.64
YDL013W	2.67	11.79
YDL018C	2.49	10.63
YDL019C	2.19	11.95
YDL020C	2.28	14.45
YDL021W	3.53	15.19
YDL022W	2.68	10.44
YDL023C	2.58	8.77
YDL024C	2.34	11.64
YDL025C	2.33	12.46
YDL026W	2.17	11.73
YDL027C	2.28	9.9
YDL032W	2.7	13.72
YDL033C	2.7	15.46
YDL034W	2.36	11.13
YDL035C	2.4	10.23
YDL036C	2.39	11.59
YDL037C	2.36	12.23
YDL039C	2.36	10.905
YDL044C	2.28	27.14
YDL045W-A	2.59	17.07
YDL046W	2.62	11.36
YDL047W	3.1	11.39
YDL048C	2.47	11.11
YDL049C	2.68	9.84
YDL050C	2.44	10.78
YDL051W	2.37	9.27
YDL052C	2.37	11.7
YDL054C	2.39	10.52
YDL056W	2.08	10.44
YDL057W	2.72	12.13
YDL059C	2.51	10.83
YDL061C	3.11	10.65
YDL063C	2.71	10.0
YDL065C	0.61	17.92
YDL066W	2.42	10.55
YDL067C	2.41	13.29
YDL070W	2.25	9.95
YDL071C	2.44	9.59
YDL074C	3.29	18.63
YDL076C	2.93	13.16
YDL077C	2.26	13.75
YDL078C	2.42	11.49
YDL079C	2.42	10.18
YDL080C	2.66	9.08
YDL081C	3.34	12.16
YDL082W	2.99	8.99
YDL083C	2.93	9.43
YDL085W	2.41	11.01
YDL086W	2.63	11.04
YDL088C	2.4	13.58
YDL091C	2.31	12.63
YDL093W	2.36	12.92
YDL094C	2.45	12.48
YDL095W	2.46	11.38
YDL096C	2.37	12.25
YDL099W	2.77	10.2
YDL100C	2.93	8.97
YDL104C	2.8	11.06
YDL106C	2.4	12.56
YDL107W	2.84	18.21
YDL109C	2.49	10.95
YDL110C	2.69	11.96
YDL112W	2.53	15.26
YDL113C	2.61	11.68
YDL114W	2.39	11.11
YDL117W	2.52	10.49
YDL118W	2.66	9.69
YDL119C	2.81	10.01
YDL121C	2.41	10.87
YDL122W	2.78	10.25
YDL123W	2.48	11.63
YDL124W	2.72	10.02
YDL125C	2.68	10.5
YDL127W	2.45	12.15
YDL128W	2.54	11.07
YDL129W	2.55	12.47
YDL130W	3.06	10.53
YDL130W-A	2.46	9.09
YDL131W	2.45	10.13
YDL133C-A	2.565	11.29
YDL133W	2.65	11.76
YDL134C	2.79	12.97
YDL135C	2.36	9.33
YDL137W	2.39	8.63
YDL138W	2.63	11.6
YDL142C	2.48	10.91
YDL144C	2.45	9.83
YDL146W	2.67	12.46
YDL149W	2.72	11.22
YDL151C	2.48	11.73
YDL154W	2.45	9.48
YDL156W	2.45	7.76
YDL157C	2.18	9.85
YDL161W	2.29	9.66
YDL162C	2.44	10.92
YDL168W	2.4	10.51
YDL169C	2.53	9.72
YDL170W	2.46	10.02
YDL171C	2.67	10.62
YDL172C	2.43	12.93
YDL173W	2.58	11.26
YDL174C	2.56	10.12
YDL175C	2.67	8.23
YDL176W	2.68	10.56
YDL177C	2.42	11.72
YDL178W	2.73	10.1
YDL179W	2.37	10.47
YDL180W	2.7	14.36
YDL182W	2.56	11.42
YDL183C	2.46	9.85
YDL184C	2.58	11.67
YDL186W	2.54	8.53
YDL187C	2.55	9.24
YDL188C	2.51	11.74
YDL189W	2.5	9.49
YDL190C	2.47	9.01
YDL191W	2.98	9.95
YDL192W	2.66	11.16
YDL194W	2.61	10.73
YDL197C	2.56	11.67
YDL199C	2.45	10.79
YDL200C	2.5	10.35
YDL201W	2.28	8.61
YDL203C	2.38	8.3
YDL204W	2.44	10.67
YDL210W	2.62	9.69
YDL211C	2.58	9.33
YDL213C	2.62	8.69
YDL214C	2.5	11.98
YDL215C	2.41	9.19
YDL216C	2.44	8.87
YDL218W	2.33	9.43
YDL219W	2.21	11.48
YDL222C	2.46	10.19
YDL224C	2.55	9.77
YDL225W	2.53	12.31
YDL226C	2.46	8.85
YDL227C	2.54	8.85
YDL229W	2.4	9.83
YDL230W	2.21	9.5
YDL231C	2.28	14.46
YDL232W	2.36	9.48
YDL233W	2.49	9.47
YDL234C	2.25	10.08
YDL236W	2.49	13.12
YDL237W	2.4	10.22
YDL238C	2.6	10.09
YDL239C	2.42	9.95
YDL240W	2.75	13.74
YDL241W	2.23	9.26
YDL242W	2.28	8.26
YDL243C	2.59	8.4
YDR001C	2.57	9.66
YDR003W	2.56	11.38
YDR004W	2.51	11.71
YDR005C	2.79	13.42
YDR006C	2.71	10.36
YDR007W	2.31	12.6
YDR008C	2.5	11.22
YDR009W	2.56	10.86
YDR010C	2.56	10.45
YDR011W	2.45	10.97
YDR014W	2.42	9.78
YDR015C	2.25	9.92
YDR017C	3.1	12.79
YDR018C	2.35	10.23
YDR019C	2.3	11.6
YDR020C	2.49	12.11
YDR022C	2.49	8.97
YDR024W	3.15	7.57
YDR025W	3.34	9.6
YDR026C	2.71	11.19
YDR027C	3.21	10.8
YDR028C	3.72	10.68
YDR029W	2.59	11.56
YDR030C	2.53	10.38
YDR031W	2.48	10.54
YDR032C	2.28	10.27
YDR033W	2.43	10.06
YDR034C	3.34	17.63
YDR035W	2.56	11.1
YDR036C	2.54	10.69
YDR042C	2.64	11.56
YDR043C	2.67	11.34
YDR046C	2.63	9.67
YDR048C	2.52	11.09
YDR049W	2.36	7.55
YDR050C	2.42	8.46
YDR051C	2.27	7.77
YDR055W	2.35	7.97
YDR056C	2.24	8.02
YDR057W	2.1	7.33
YDR058C	2.55	12.55
YDR059C	2.14	7.95
YDR061W	2.39	8.87
YDR065W	2.14	8.04
YDR066C	2.47	8.73
YDR067C	2.02	8.94
YDR068W	2.34	7.79
YDR070C	2.22	8.94
YDR071C	2.55	10.47
YDR072C	2.6	8.0
YDR073W	2.51	7.32
YDR075W	2.27	7.27
YDR076W	2.41	8.95
YDR077W	2.12	7.8
YDR078C	2.21	8.66
YDR079W	2.74	13.29
YDR083W	2.7	7.68
YDR084C	2.42	8.39
YDR085C	2.26	7.77
YDR089W	2.37	7.61
YDR090C	2.04	7.37
YDR092W	2.38	7.63
YDR093W	2.37	8.03
YDR094W	1.98	7.94
YDR095C	2.32	8.0
YDR096W	2.26	8.59
YDR097C	2.03	8.27
YDR098C	2.15	7.66
YDR099W	2.16	7.01
YDR100W	2.15	7.6
YDR101C	2.57	6.56
YDR102C	2.27	8.61
YDR104C	2.39	8.19
YDR105C	2.22	8.93
YDR107C	2.35	9.57
YDR108W	2.46	8.16
YDR109C	2.24	8.51
YDR110W	2.44	7.97
YDR111C	2.35	8.67
YDR112W	2.18	7.98
YDR116C	2.53	11.55
YDR117C	2.47	10.38
YDR119W	2.21	8.7
YDR120C	2.3	9.91
YDR121W	2.4	11.44
YDR122W	2.24	8.54
YDR124W	2.31	7.72
YDR125C	2.34	7.37
YDR126W	2.41	7.15
YDR128W	2.33	6.73
YDR129C	2.42	7.65
YDR130C	2.32	9.21
YDR131C	2.42	8.41
YDR132C	2.42	8.71
YDR133C	2.22	9.42
YDR135C	2.24	7.46
YDR136C	2.41	8.38
YDR137W	2.26	7.33
YDR138W	2.61	16.89
YDR139C	2.44	8.05
YDR140W	2.32	8.45
YDR142C	2.29	7.43
YDR143C	2.44	7.34
YDR144C	2.51	8.6
YDR146C	2.39	13.24
YDR147W	2.33	8.27
YDR148C	2.14	8.39
YDR149C	2.6	11.42
YDR151C	2.41	9.54
YDR152W	2.45	9.81
YDR153C	2.32	10.14
YDR154C	2.36	9.12
YDR155C	2.52	8.08
YDR156W	2.57	7.56
YDR157W	2.42	7.83
YDR158W	2.23	7.7
YDR161W	2.22	9.51
YDR162C	2.53	8.49
YDR163W	2.36	9.64
YDR165W	2.36	8.05
YDR169C	2.38	9.11
YDR171W	2.23	7.74
YDR173C	2.17	7.41
YDR174W	3.67	8.86
YDR178W	2.23	10.11
YDR179C	2.33	8.11
YDR179W-A	2.32	8.65
YDR181C	2.26	9.23
YDR183W	2.39	8.65
YDR184C	2.57	8.41
YDR185C	2.49	8.83
YDR186C	2.54	11.17
YDR191W	2.34	9.05
YDR192C	2.35	7.59
YDR193W	2.23	8.93
YDR194C	3.07	13.88
YDR197W	3.13	14.46
YDR198C	2.3	8.9
YDR199W	2.16	9.34
YDR202C	2.64	11.79
YDR203W	2.31	8.06
YDR205W	2.21	12.17
YDR206W	2.71	9.42
YDR209C	2.18	8.37
YDR210W	2.33	9.35
YDR213W	2.19	8.84
YDR214W	2.28	7.7
YDR215C	2.38	8.76
YDR216W	2.17	7.96
YDR217C	2.2	8.78
YDR218C	2.19	8.85
YDR219C	2.6	8.31
YDR220C	2.35	8.06
YDR221W	2.34	6.71
YDR222W	2.25	7.94
YDR223W	2.51	7.36
YDR225W	2.97	8.97
YDR229W	2.35	8.17
YDR231C	2.66	24.95
YDR233C	1.76	8.47
YDR239C	2.01	8.26
YDR241W	2.27	11.07
YDR242W	3.13	12.42
YDR244W	2.29	7.43
YDR247W	2.69	12.26
YDR248C	2.46	8.64
YDR249C	2.61	10.76
YDR250C	2.34	13.11
YDR251W	2.5	8.34
YDR252W	2.66	11.54
YDR253C	2.57	10.67
YDR254W	2.41	9.99
YDR255C	2.27	8.65
YDR256C	2.59	10.72
YDR257C	2.43	9.4
YDR258C	2.37	9.33
YDR259C	2.46	10.58
YDR260C	2.71	9.11
YDR261C	2.45	11.06
YDR262W	2.47	9.7
YDR263C	2.58	12.05
YDR264C	2.41	9.89
YDR265W	1.28	11.67
YDR266C	2.07	9.8
YDR269C	2.4	9.37
YDR270W	2.36	10.46
YDR271C	2.22	8.72
YDR272W	2.24	11.18
YDR273W	2.37	13.37
YDR274C	2.35	12.45
YDR275W	2.4	11.61
YDR277C	2.4	8.78
YDR278C	2.45	10.32
YDR279W	2.48	11.34
YDR281C	2.38	11.14
YDR282C	2.46	9.54
YDR284C	2.36	9.62
YDR285W	2.21	9.3
YDR286C	2.41	11.98
YDR287W	2.36	12.87
YDR289C	2.35	11.55
YDR290W	2.42	11.51
YDR291W	2.43	9.62
YDR293C	2.49	6.74
YDR294C	2.31	10.64
YDR295C	2.47	12.74
YDR297W	2.47	11.78
YDR304C	2.47	9.47
YDR305C	2.65	9.58
YDR306C	2.29	10.94
YDR307W	2.42	10.45
YDR309C	2.28	9.81
YDR310C	2.57	5.99
YDR312W	2.37	12.24
YDR313C	2.63	9.61
YDR315C	2.82	10.51
YDR316W	2.61	13.13
YDR317W	2.59	11.16
YDR318W	2.4	9.79
YDR319C	2.56	8.22
YDR321W	2.32	10.84
YDR322W	2.37	10.89
YDR323C	3.08	9.68
YDR326C	2.34	10.53
YDR330W	3.12	12.01
YDR332W	2.38	10.02
YDR333C	2.52	12.97
YDR334W	2.32	10.45
YDR336W	2.3	10.47
YDR337W	2.43	9.38
YDR338C	2.16	9.86
YDR340W	2.41	8.89
YDR344C	2.48	7.74
YDR345C	2.45	7.78
YDR346C	2.32	7.08
YDR348C	2.28	8.11
YDR349C	2.08	8.82
YDR350C	2.81	10.16
YDR351W	2.27	8.14
YDR352W	2.29	8.65
YDR354W	2.44	8.81
YDR357C	2.53	12.07
YDR358W	2.36	8.71
YDR359C	2.49	8.64
YDR360W	2.26	7.45
YDR363W	2.39	8.42
YDR363W-A	2.26	11.27
YDR368W	2.29	8.37
YDR369C	3.14	9.6
YDR370C	2.24	7.83
YDR371W	2.0	9.34
YDR372C	2.28	7.83
YDR374C	2.38	9.12
YDR375C	2.57	9.73
YDR379W	2.3	8.78
YDR380W	2.41	8.46
YDR382W	2.96	7.59
YDR383C	2.65	8.16
YDR384C	2.36	8.35
YDR385W	2.43	9.42
YDR386W	2.46	8.71
YDR387C	2.36	7.41
YDR388W	2.86	8.6
YDR389W	2.5	9.05
YDR391C	2.43	7.63
YDR392W	3.4	9.53
YDR393W	2.26	11.02
YDR395W	2.6	12.89
YDR399W	2.56	8.29
YDR400W	2.47	8.46
YDR401W	2.37	8.68
YDR402C	2.26	8.81
YDR403W	2.04	7.35
YDR406W	2.35	8.47
YDR408C	2.3	8.97
YDR409W	2.19	8.64
YDR411C	2.34	8.26
YDR415C	2.53	7.39
YDR417C	2.76	12.93
YDR418W	2.32	8.87
YDR419W	2.47	9.49
YDR420W	2.26	10.63
YDR421W	2.38	10.2
YDR422C	2.62	9.86
YDR423C	2.44	7.58
YDR424C	2.43	10.76
YDR425W	2.51	8.78
YDR426C	2.3	7.08
YDR428C	2.21	8.35
YDR430C	2.4	8.18
YDR431W	2.48	9.51
YDR433W	2.31	8.94
YDR435C	2.53	10.11
YDR436W	2.42	8.29
YDR438W	2.39	11.27
YDR439W	2.44	10.79
YDR441C	2.29	10.8
YDR442W	2.42	11.36
YDR444W	3.07	14.44
YDR445C	2.3	13.3
YDR446W	2.49	12.78
YDR447C	2.76	11.49
YDR450W	3.04	11.62
YDR451C	2.18	10.75
YDR452W	2.72	12.76
YDR453C	2.64	13.07
YDR455C	2.74	11.35
YDR456W	2.49	13.64
YDR457W	2.43	9.56
YDR458C	2.29	10.31
YDR459C	2.49	14.76
YDR461W	2.74	11.86
YDR463W	2.6	12.13
YDR465C	2.68	10.86
YDR466W	2.47	10.84
YDR467C	2.64	14.74
YDR469W	2.53	19.12
YDR471W	2.61	10.69
YDR475C	2.5	11.605
YDR476C	2.36	11.19
YDR479C	2.48	12.7
YDR480W	2.19	13.06
YDR481C	2.38	9.65
YDR482C	2.33	12.92
YDR483W	2.56	13.03
YDR485C	2.04	11.23
YDR486C	2.68	12.67
YDR488C	2.95	11.07
YDR490C	2.67	10.2
YDR491C	2.24	10.19
YDR492W	2.29	13.07
YDR493W	2.79	13.14
YDR494W	2.71	10.5
