Name	Conditionset	Dataset
03_01_15_08:amphotericin B:0.31:um::::20gen:het_04_01_2:old scanner	580	12127
03_03_20_03:amphotericin B:0.31:um::::20gen:het_04_01_2:old scanner	580	12127
03_03_20_04:amphotericin B:0.31:um::::20gen:het_04_01_2:old scanner	580	12127
03_03_27_05:amphotericin B:0.31:um::::20gen:het_04_01_2:old scanner	580	12127
03_03_27_11:amphotericin B:0.31:um::::20gen:het_04_01_2:old scanner	580	12127
03_03_28_05:amphotericin B:0.31:um:5-fluorcytosine:15.6:um:20gen:het_04_01_2:old scanner	8440	12299
03_03_28_11:amphotericin B:0.31:um:5-fluorcytosine:15.6:um:20gen:het_04_01_2:old scanner	8440	12299
03_03_27_04:amphotericin B:0.62:um::::20gen:het_04_01_2:old scanner	8439	12298
03_03_27_10:amphotericin B:0.62:um::::20gen:het_04_01_2:old scanner	8439	12298
03_03_28_06:amphotericin B:0.62:um:5-fluorcytosine:15.6:um:20gen:het_04_01_2:old scanner	8441	12300
03_03_28_12:amphotericin B:0.62:um:5-fluorcytosine:15.6:um:20gen:het_04_01_2:old scanner	8441	12300
01_07_31_07:amphotericin B:10:um::::20gen:het_04_01_2:old scanner	8442	12301
02_12_13_07:amsacrine:500:um::::20gen:het_04_01_2:old scanner	581	12128
02_09_19_08:anisomycin:31.25:um::::20gen:het_04_01_2:old scanner	8443	12302
02_08_09_05:anisomycin:62.5:um::::20gen:het_04_01_2:old scanner	8444	12303
03_07_25_01:ansamitocin:500:um::::20gen:het_06_03:new scanner	8445	12304
03_07_25_10:aphidicolin glycinate:125:um::::20gen:het_06_03:new scanner	8446	12305
03_01_15_13:atorvastatin:62.5:um::::20gen:het_04_01_2:old scanner	8280	12253
03_01_28_12:atorvastatin:62.5:um::::20gen:het_04_01_2:old scanner	8280	12253
03_01_28_13:atorvastatin:62.5:um::::20gen:het_04_01_2:old scanner	8280	12253
02_10_03_12:atorvastatin:125:um::::20gen:het_04_01_2:old scanner	8281	12254
03_01_15_12:atorvastatin:125:um::::20gen:het_04_01_2:old scanner	8281	12254
05_08_09_04:aureobasidin A:0.02:ug/ml::::20gen:het_06_03:new scanner	8447	12306
02_09_19_14:azobenzene:1000:um::::20gen:het_04_01_2:old scanner	8448	12307
02_06_05_01:bathophenanthroline disulfonate:100:um::::20gen:het_04_01_2:old scanner	779	12225
03_07_23_10:bay 11-7082:12.5:um::::20gen:het_06_03:new scanner	8449	12308
03_08_13_04:BCNU:62.5:um::::20gen:het_06_03:new scanner	585	12129
02_06_05_03:BCS:100:um::::20gen:het_04_01_2:old scanner	780	12226
02_06_05_02:BCS:200:um::::20gen:het_04_01_2:old scanner	781	12227
02_05_30_05:beclomethasone dipropionate:1000:um::::20gen:het_04_01_2:old scanner	8450	12309
03_12_09_13:benfluorex hydrochloride:250:um::::20gen:het_06_03:new scanner	8451	12310
01_05_16_04:benomyl:2.4:um::::5gen:het_04_01_2:old scanner	8452	12311
01_05_16_02:benomyl:3.4:um::::15gen:het_04_01_2:old scanner	8453	12312
01_04_24_02:benomyl:6.9:um::::15gen:het_04_01_2:old scanner	8454	12313
01_04_24_04:benomyl:13.8:um::::15gen:het_04_01_2:old scanner	8455	12314
01_05_15_07:benomyl:27.6:um::::20gen:het_04_01_2:old scanner	8456	12315
05_05_13_01:benzaldehyde:0.003:%::::20gen:het_06_03:new scanner	8457	12316
02_05_23_04:benztropine:1:um::::20gen:het_04_01_2:old scanner	8458	12317
02_10_03_16:benzyl benzoate:1000:um::::20gen:het_04_01_2:old scanner	8459	12318
02_08_27_03:berberine chloride:125:um::::20gen:het_04_01_2:old scanner	588	12130
02_12_12_03:berberine chloride:125:um::::20gen:het_04_01_2:old scanner	588	12130
03_01_24_11:berberine chloride:125:um::::20gen:het_04_01_2:old scanner	588	12130
03_01_24_12:berberine chloride:125:um::::20gen:het_04_01_2:old scanner	588	12130
03_01_28_11:berberine chloride:125:um::::20gen:het_04_01_2:old scanner	588	12130
03_09_30_03:biochanin A:3.95:um::::20gen:het_06_03:new scanner	8460	12319
02_05_30_06:bisacodyl:1000:um::::20gen:het_04_01_2:old scanner	8461	12320
05_05_13_06:bisphenol:8.75:um::::20gen:het_06_03:new scanner	8462	12321
02_06_07_02:bithionol:75:um::::20gen:het_04_01_2:old scanner	8463	12322
02_06_11_01:bithionol:75:um::::20gen:het_04_01_2:old scanner	8463	12322
02_06_28_04:bithionol:75:um::::20gen:het_04_01_2:old scanner	8463	12322
03_08_13_06:borrelidin:15.63:um::::20gen:het_06_03:new scanner	8464	12323
03_08_21_08:bostrycoidin:100:um::::20gen:het_06_03:new scanner	8465	12324
03_08_21_04:bouvardin:1000:um::::20gen:het_06_03:new scanner	8466	12325
02_12_13_08:brefeldin A:1000:um::::20gen:het_04_01_2:old scanner	8467	12326
03_07_25_02:brefeldin A:1000:um::::20gen:het_06_03:new scanner	8467	12326
02_10_10_09:bromhexine hydrochloride:500:um::::20gen:het_04_01_2:old scanner	8468	12327
02_06_07_03:bromocriptine mesylate:1000:um::::20gen:het_04_01_2:old scanner	8469	12328
03_09_10_03:bruceantin:0.98:um::::20gen:het_06_03:new scanner	8470	12329
02_10_01_14:bufexamac:1000:um::::20gen:het_04_01_2:old scanner	8471	12330
02_10_10_06:bufexamac:1000:um::::20gen:het_04_01_2:old scanner	8471	12330
02_12_13_09:caffeine:2000:um::::20gen:het_04_01_2:old scanner	8472	12331
03_08_21_02:calvatic acid:15.63:um::::20gen:het_06_03:new scanner	8473	12332
04_01_22_05:calyculin A:2.5:um::::20gen:het_06_03:new scanner	596	12131
02_12_13_10:camptothecin:500:um::::20gen:het_04_01_2:old scanner	8474	12333
03_07_24_10:cantharidin:100:um::::20gen:het_06_03:new scanner	784	12228
03_12_09_04:cantharidin:100:um::::20gen:het_06_03:new scanner	784	12228
04_05_12_05:cantharidin:200:um::::20gen:het_06_03:new scanner	600	12132
03_07_25_12:cantharidin:250:um::::20gen:het_06_03:new scanner	601	12133
03_10_01_01:cantharidin:250:um::::20gen:het_06_03:old scanner	601	12133
03_10_30_01:cantharidin:250:um::::20gen:het_06_03:new scanner	601	12133
03_10_30_02:cantharidin:250:um::::20gen:het_06_03:new scanner	601	12133
03_10_30_03:cantharidin:250:um::::20gen:het_06_03:new scanner	601	12133
03_10_30_07:cantharidin:250:um::::20gen:het_06_03:old scanner	601	12133
03_10_30_08:cantharidin:250:um::::20gen:het_06_03:old scanner	601	12133
03_10_30_09:cantharidin:250:um::::20gen:het_06_03:old scanner	601	12133
03_10_31_01:cantharidin:250:um::::20gen:het_06_03:old scanner	601	12133
03_10_31_02:cantharidin:250:um::::20gen:het_06_03:old scanner	601	12133
03_10_31_03:cantharidin:250:um::::20gen:het_06_03:old scanner	601	12133
04_07_01_05:cantharidin analog:125:um::::20gen:het_06_03:new scanner	602	12134
04_07_01_06:cantharidin analog:125:um::::20gen:het_06_03:new scanner	602	12134
04_07_01_03:cantharidin analog:250:um::::20gen:het_06_03:new scanner	603	12135
04_07_01_04:cantharidin analog:250:um::::20gen:het_06_03:new scanner	603	12135
03_07_24_09:cantharidin disodium:100:um::::20gen:het_06_03:new scanner	604	12136
03_08_06_03:caracemide:62.5:um::::20gen:het_06_03:new scanner	8475	12334
03_09_10_08:carbendazine:62.5:um::::20gen:het_06_03:new scanner	8476	12335
01_09_19_08:carmustine:31.25:um::::20gen:het_04_01_2:old scanner	8477	12336
02_10_11_12:caspofungin:10:nm::::20gen:het_04_01_2:old scanner	8478	12337
03_01_24_09:caspofungin:10:nm::::20gen:het_04_01_2:old scanner	8478	12337
03_01_24_10:caspofungin:10:nm::::20gen:het_04_01_2:old scanner	8478	12337
03_01_28_10:caspofungin:10:nm::::20gen:het_04_01_2:old scanner	8478	12337
02_09_10_07:caspofungin:50:nm::::20gen:het_04_01_2:old scanner	8479	12338
02_10_11_13:caspofungin:50:nm::::20gen:het_04_01_2:old scanner	8479	12338
03_01_16_13:caspofungin:50:nm::::20gen:het_04_01_2:old scanner	8479	12338
04_02_04_01:chemical diversity labs 14a:6.2:um::::20gen:het_06_03:new scanner	611	12137
04_02_04_02:chemical diversity labs 14f:6.2:um::::20gen:het_06_03:new scanner	612	12138
04_02_04_04:chemical diversity labs 1c10:0.75:um::::20gen:het_06_03:new scanner	613	12139
04_02_04_03:chemical diversity labs 1c10:1.5:um::::20gen:het_06_03:new scanner	614	12140
03_12_02_08:chemical diversity labs 218:125:um::::20gen:het_06_03:new scanner	8480	12339
03_12_02_07:chemical diversity labs 218:250:um::::20gen:het_06_03:new scanner	615	12141
03_12_02_16:chemical diversity labs 232:31:um::::20gen:het_06_03:new scanner	8481	12340
03_12_02_15:chemical diversity labs 232:62:um::::20gen:het_06_03:new scanner	616	12142
03_12_02_12:chemical diversity labs 246:31:um::::20gen:het_06_03:new scanner	8482	12341
03_12_02_11:chemical diversity labs 246:62:um::::20gen:het_06_03:new scanner	617	12143
03_12_02_14:chemical diversity labs 275:62:um::::20gen:het_06_03:new scanner	618	12144
03_12_02_13:chemical diversity labs 275:125:um::::20gen:het_06_03:new scanner	8483	12342
04_02_04_05:chemical diversity labs 3f2:12.5:um::::20gen:het_06_03:new scanner	619	12145
03_12_02_10:chemical diversity labs 41:250:um::::20gen:het_06_03:new scanner	8484	12343
03_12_02_09:chemical diversity labs 41:500:um::::20gen:het_06_03:new scanner	620	12146
03_12_02_06:chemical diversity labs 6842:31:um::::20gen:het_06_03:new scanner	621	12147
03_12_02_05:chemical diversity labs 6842:62:um::::20gen:het_06_03:new scanner	8485	12344
01_10_16_03:chlorambucil:800:um::::20gen:het_04_01_2:old scanner	8486	12345
03_01_09_10:chlorambucil:1000:um::::20gen:het_04_01_2:old scanner	8487	12346
02_08_22_03:chloroacetoxyquinoline:3.9:um::::20gen:het_04_01_2:old scanner	8488	12347
03_08_06_05:chloroxine:3.91:um::::20gen:het_06_03:new scanner	8489	12348
02_07_11_01:chlorzoxazone:1000:um::::20gen:het_04_01_2:old scanner	8490	12349
02_09_18_01:chrysin:500:um::::20gen:het_04_01_2:old scanner	8491	12350
03_08_13_08:ciclopirox olamine:1.95:um::::20gen:het_06_03:new scanner	8493	12352
02_08_22_02:ciclopirox olamine:3.9:um::::20gen:het_04_01_2:old scanner	8494	12353
03_07_25_09:ciclopirox olamine:1000:um::::20gen:het_06_03:new scanner	8492	12351
04_02_04_06:CID 144303:1.9:um::::20gen:het_06_03:new scanner	625	12148
03_08_14_02:CID 403818:125:um::::20gen:het_06_03:new scanner	626	12149
04_02_04_07:CID 604586:31.25:um::::20gen:het_06_03:new scanner	627	12150
04_02_11_02:CID 621889:125:um::::20gen:het_06_03:new scanner	628	12151
04_02_04_08:CID 622648:31.25:um::::20gen:het_06_03:new scanner	629	12152
04_02_04_09:CID 630688:250:um::::20gen:het_06_03:new scanner	630	12153
04_02_04_10:CID 632839:62.5:um::::20gen:het_06_03:new scanner	631	12154
04_02_04_11:CID 652287:500:um::::20gen:het_06_03:new scanner	632	12155
04_02_04_12:CID 678146:1.9:um::::20gen:het_06_03:new scanner	633	12156
04_02_04_13:CID 683517:15.6:um::::20gen:het_06_03:new scanner	634	12157
04_02_11_03:CID 688028:1.9:um::::20gen:het_06_03:new scanner	635	12158
04_02_11_04:CID 693573:250:um::::20gen:het_06_03:new scanner	636	12159
04_02_11_05:CID 693632:62.5:um::::20gen:het_06_03:new scanner	8495	12354
04_02_11_06:CID 697443:0.95:um::::20gen:het_06_03:new scanner	637	12160
03_09_10_04:cinerubin:12.5:um::::20gen:het_06_03:new scanner	8496	12355
03_03_14_09:cisplatin:31.25:um::::20gen:het_04_01_2:old scanner	638	12161
03_03_14_10:cisplatin:31.25:um::::20gen:het_04_01_2:old scanner	638	12161
03_03_14_07:cisplatin:62.5:um::::20gen:het_04_01_2:old scanner	639	12162
03_03_14_08:cisplatin:62.5:um::::20gen:het_04_01_2:old scanner	639	12162
01_08_28_09:cisplatin:125:um::::20gen:het_04_01_2:old scanner	641	12163
03_03_14_05:cisplatin:125:um::::20gen:het_04_01_2:old scanner	641	12163
03_03_14_06:cisplatin:125:um::::20gen:het_04_01_2:old scanner	641	12163
02_09_19_16:cisplatin:1000:um::::20gen:het_04_01_2:old scanner	8497	12356
02_12_13_04:cisplatin:1000:um::::20gen:het_04_01_2:old scanner	8497	12356
02_05_14_04:citrinin:1:um::::20gen:het_04_01_2:old scanner	8498	12357
02_09_10_01:citropten:750:um::::20gen:het_04_01_2:old scanner	8499	12358
02_10_10_08:clofoctol:1000:um::::20gen:het_04_01_2:old scanner	8500	12359
02_08_09_04:clotrimazole:1:um::::20gen:het_04_01_2:old scanner	786	12229
01_07_18_03:clotrimazole:2:um::::20gen:het_04_01_2:old scanner	787	12230
01_09_13_01:clotrimazole:2:um::::20gen:het_04_01_2:old scanner	787	12230
02_09_19_10:cloxyquin:7.8:um::::20gen:het_04_01_2:old scanner	8501	12360
02_08_09_08:cloxyquin:15.6:um::::20gen:het_04_01_2:old scanner	8502	12361
01_09_19_07:clozapine:125:um::::20gen:het_04_01_2:old scanner	8503	12362
01_09_21_07:clozapine:125:um::::20gen:het_04_01_2:old scanner	8503	12362
02_08_15_04:clozapine:500:um::::20gen:het_04_01_2:old scanner	8504	12363
04_10_06_06:CoCl2:1250:um::::20gen:het_06_03:new scanner	645	12164
02_10_02_16:colchicine:250:um::::20gen:het_04_01_2:old scanner	8505	12364
03_08_21_09:coralyne:100:um::::20gen:het_06_03:new scanner	8506	12365
03_10_30_06:curcumin:125:um::::20gen:het_06_03:new scanner	8507	12366
05_05_13_04:curcumin:150:um::::20gen:het_06_03:new scanner	8508	12367
04_07_21_01:curcumin:500:um::::20gen:het_06_03:new scanner	8509	12368
04_10_06_03:CuSO4:10000:um::::20gen:het_06_03:new scanner	647	12165
03_08_13_15:cyclamin:62.5:um::::20gen:het_06_03:new scanner	8510	12369
03_09_03_09:cycloheximide:0.03:nm::::20gen:het_06_03:new scanner	8511	12370
03_12_02_04:cycloheximide:100:um::::20gen:het_06_03:new scanner	8512	12371
02_12_13_11:cytarabine:2000:um::::20gen:het_04_01_2:old scanner	8513	12372
03_07_23_09:damnacanthal:100:um::::20gen:het_06_03:new scanner	8514	12373
03_07_23_08:damnacanthal:200:um::::20gen:het_06_03:new scanner	8515	12374
02_07_11_06:danthron:1000:um::::20gen:het_04_01_2:old scanner	8516	12375
01_09_26_06:daunorubicin:125:um::::20gen:het_04_01_2:old scanner	8517	12376
01_09_25_08:daunorubicin:250:um::::15gen:het_04_01_2:old scanner	8518	12377
03_09_03_08:dianemycin:250:um::::20gen:het_06_03:new scanner	8519	12378
02_07_11_07:dichlofenac sodium:1000:um::::20gen:het_04_01_2:old scanner	8520	12379
02_12_13_12:dicumarol:1000:um::::20gen:het_04_01_2:old scanner	8521	12380
02_05_23_01:dieldrin:1000:um::::20gen:het_04_01_2:old scanner	8522	12381
02_07_11_08:diflunisal:1000:um::::20gen:het_04_01_2:old scanner	8523	12382
02_10_03_08:dimercaptopropanol:500:um::::20gen:het_04_01_2:old scanner	8524	12383
03_08_27_07:dimethylellipticinium:100:um::::20gen:het_06_03:new scanner	8525	12384
03_08_14_01:distamycin A:250:um::::20gen:het_06_03:new scanner	8526	12385
02_03_14_02:DMSO 1%:1:um::::20gen:het_04_01_2:old scanner	8527	12386
02_05_09_02:DMSO 1%:1:um::::20gen:het_04_01_2:old scanner	8527	12386
02_03_14_03:DMSO 2%:2:um::::20gen:het_04_01_2:old scanner	8528	12387
02_03_14_04:DMSO 4%:4:um::::20gen:het_04_01_2:old scanner	650	12166
03_12_18_04:DNA protein kinase inhibitor::::::20gen:het_06_03:new scanner	8529	12388
02_10_02_06:domperidone:1000:um::::20gen:het_04_01_2:old scanner	8530	12389
01_10_16_04:doxorubicin:62.5:um::::20gen:het_04_01_2:old scanner	8531	12390
02_09_10_02:drofenine hydrochloride:750:um::::20gen:het_04_01_2:old scanner	8532	12391
02_09_18_03:droperidol:1000:um::::20gen:het_04_01_2:old scanner	8533	12392
03_01_16_11:dyclonine:250:um::::20gen:het_04_01_2:old scanner	8293	12262
02_11_25_04:dyclonine:500:um::::20gen:het_04_01_2:old scanner	8294	12263
03_01_16_12:dyclonine:500:um::::20gen:het_04_01_2:old scanner	8294	12263
03_01_24_07:dyclonine:500:um::::20gen:het_04_01_2:old scanner	8294	12263
03_01_24_08:dyclonine:500:um::::20gen:het_04_01_2:old scanner	8294	12263
03_02_07_03:dyclonine:500:um::::20gen:het_04_01_2:old scanner	8294	12263
03_03_20_01:dyclonine:500:um::::20gen:het_04_01_2:old scanner	8294	12263
03_03_20_02:dyclonine:500:um::::20gen:het_04_01_2:old scanner	8294	12263
03_04_09_01:dyclonine:500:um::::20gen:het_09_02:old scanner	8294	12263
03_04_09_02:dyclonine:500:um::::20gen:het_09_02:old scanner	8294	12263
02_09_19_13:econazole:0.12:um::::20gen:het_04_01_2:old scanner	8534	12393
02_08_22_06:econazole nitrate:0.24:um::::20gen:het_04_01_2:old scanner	8535	12394
02_12_18_03:embelin:125:um::::20gen:het_04_01_2:old scanner	8536	12395
02_05_03_02:emodin:250:um::::20gen:het_04_01_2:old scanner	8537	12396
03_08_27_04:emodin:500:um::::20gen:het_06_03:new scanner	8538	12397
03_01_09_08:emodin:1000:um::::20gen:het_04_01_2:old scanner	8539	12398
01_08_28_10:estradiol:1000:um::::20gen:het_04_01_2:old scanner	8540	12399
02_05_15_04:estradiol:2500:um::::20gen:het_04_01_2:old scanner	8541	12400
02_06_11_05:estradiol:2500:um::::20gen:het_04_01_2:old scanner	8541	12400
02_10_02_01:estradiol acetate:500:um::::20gen:het_04_01_2:old scanner	8542	12401
02_10_01_16:estradiol diacetate:1000:um::::20gen:het_04_01_2:old scanner	8543	12402
02_10_02_02:estradiol propionate:500:um::::20gen:het_04_01_2:old scanner	8544	12403
02_10_02_03:estrone acetate:1000:um::::20gen:het_04_01_2:old scanner	8545	12404
02_09_18_02:ethaverine hydrochloride:500:um::::20gen:het_04_01_2:old scanner	8546	12405
02_09_05_05:ethoxyquin:250:um::::20gen:het_04_01_2:old scanner	8547	12406
02_09_19_12:exalamide:31.25:um::::20gen:het_04_01_2:old scanner	8548	12407
02_08_22_04:exalamide:62.5:um::::20gen:het_04_01_2:old scanner	8549	12408
04_10_06_02:FeCl4:2500:um::::20gen:het_06_03:new scanner	8551	12409
02_08_27_05:fenbendazole:250:um::::20gen:het_04_01_2:old scanner	8552	12410
02_03_14_06:fenbendazole:500:um::::20gen:het_04_01_2:old scanner	8553	12411
02_12_18_09:fenbendazole:500:um::::20gen:het_04_01_2:old scanner	8553	12411
02_09_05_02:fenbufen:500:um::::20gen:het_04_01_2:old scanner	8554	12412
02_08_27_06:fendiline hydrochloride:125:um::::20gen:het_04_01_2:old scanner	8555	12413
02_09_18_05:fenofibrate:500:um::::20gen:het_04_01_2:old scanner	8556	12414
02_08_16_04:fenoprofen:250:um::::20gen:het_04_01_2:old scanner	8557	12415
03_01_28_08:fenpropimorph:0.4:nm::::20gen:het_04_01_2:old scanner	8558	12416
03_01_28_09:fenpropimorph:0.4:nm::::20gen:het_04_01_2:old scanner	8558	12416
03_03_27_18:fenpropimorph:1.2:um::::20gen:het_04_01_2:old scanner	8290	12259
01_08_28_05:fenpropimorph:1.65:nm::::15gen:het_04_01_2:old scanner	8559	12417
01_09_21_03:fenpropimorph:1.65:nm::::20gen:het_04_01_2:old scanner	8560	12418
03_03_27_17:fenpropimorph:2.3:um::::20gen:het_04_01_2:old scanner	8291	12260
03_03_27_23:fenpropimorph:2.3:um::::20gen:het_04_01_2:old scanner	8291	12260
03_04_09_03:fenpropimorph:2.3:um::::20gen:het_09_02:old scanner	8291	12260
03_04_09_04:fenpropimorph:2.3:um::::20gen:het_09_02:old scanner	8291	12260
