orf	hap alpha | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	het | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	hom | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits
YLR100W	11.0		
YLR113W	-96.0	0.0	-60.0
YLR131C	29.0	0.0	25.0
YLR147C	20.0		
YLR148W	16.0	0.0	43.0
YLR182W	-18.0	0.0	-19.0
YLR242C	-37.0	0.0	-23.0
YLR244C	-34.0	0.0	-30.0
YLR262C	31.0	0.0	27.0
YLR270W	29.0	0.0	
YLR287C-A	-16.0	0.0	-14.0
YLR291C	15.0		
YLR310C	13.0		
YLR314C	11.0		
YLR316C	15.0		
YLR321C	17.0		
YLR337C	100.0	0.0	100.0
YLR342W	100.0	15.0	100.0
YLR362W	-39.0	0.0	
YLR370C	100.0	0.0	100.0
YLR372W	17.0	0.0	26.0
YLR382C	46.0	22.0	21.0
YLR384C	27.0	0.0	25.0
YLR410W	38.0	0.0	28.0
YLR436C	16.0	0.0	27.0
YML024W	-27.0	0.0	-28.0
YML067C	100.0	0.0	100.0
YML085C	-35.0		
YML112W	100.0	0.0	100.0
YMR014W	-28.0	0.0	-44.0
YMR026C	16.0	0.0	28.0
YMR038C	22.0	0.0	38.0
YMR116C	-27.0	0.0	-30.0
YMR125W	-19.0	0.0	-24.0
YMR142C	-24.0	0.0	-30.0
YMR143W	-21.0	0.0	-35.0
YMR202W	45.0	0.0	49.0
YMR238W	26.0	0.0	20.0
YMR263W	18.0	0.0	35.0
YMR286W	28.0	0.0	23.0
YMR311C	17.0	0.0	31.0
YMR312W	21.0	0.0	42.0
YNL041C	27.0	0.0	27.0
YNL063W	27.0	0.0	24.0
YNL064C	-21.0	0.0	-30.0
YNL076W	18.0	0.0	17.0
YNL084C	15.0	0.0	30.0
YNL132W	17.0		
YNL133C	-23.0	0.0	-12.0
YNL178W	-18.0		
YNL213C	33.0	0.0	
YNL223W	-16.0		
YNL243W	29.0	0.0	
YNL297C	20.0	0.0	30.0
YNL302C	-49.0	0.0	
YNL322C	100.0	38.0	100.0
YNL323W	56.0	0.0	55.0
YNR006W	20.0	0.0	33.0
YNR016C	13.0		
YNR023W	100.0	0.0	
YNR031C	-30.0	0.0	-14.0
YNR035C	27.0		
YNR052C	40.0	0.0	30.0
YOL001W	52.0	15.0	37.0
YOL040C	-21.0		
YOL051W	-58.0	0.0	-62.0
YOL072W	24.0	30.0	100.0
YOR002W	47.0	0.0	28.0
YOR035C	100.0	0.0	100.0
YOR061W	35.0	0.0	37.0
YOR067C	39.0	0.0	21.0
YOR085W	100.0	8.0	67.0
YOR154W	29.0	0.0	16.0
YOR181W	100.0	0.0	
YOR182C	-20.0	0.0	-20.0
YOR183W	-14.0	0.0	-23.0
YOR224C	-28.0		
YOR293W	-28.0	-12.0	-18.0
YPL011C	13.0		
YPL031C	44.0	0.0	63.0
YPL042C	27.0	0.0	22.0
YPL049C	-13.0	0.0	-18.0
YPL050C	-52.0	0.0	-46.0
YPL051W	27.0	0.0	20.0
YPL069C	28.0	0.0	35.0
YPL086C	20.0	0.0	35.0
YPL101W	32.0	0.0	24.0
YPL129W	15.0	0.0	44.0
YPL169C	12.0		
YPL178W	-39.0	0.0	-19.0
YPL179W	15.0	0.0	33.0
YPL226W	23.0	0.0	34.0
YPL227C	30.0	0.0	21.0
YPL268W	100.0	0.0	100.0
YPL271W	16.0	0.0	45.0
YPR029C	-16.0	0.0	-17.0
YPR057W	-20.0	0.0	-16.0
YPR067W	27.0	0.0	28.0
YPR132W	-26.0	0.0	-23.0
YPR135W	-27.0	0.0	-12.0
YPR159W	100.0	28.0	100.0
YPR163C	-54.0	0.0	-39.0
YPR187W	-16.0		
