20040824	NAME	WEIGHT	DESC	AAPO	YPD	Wort	RafA	Lova	HygB	GlyE	Calc	Caff	AntA	ActD	Alk-5g	Alk-15g	AraC	Arn	Ars	Ben	Bleo	Cis1	Cis4	CPTa	CPTc	Dox	Gal-5g	Gal-15g	H2O2	HU	Ida	IR	Lys	Mech	Mel	Min-5g	Min-15g	MMC	MMS	NaCl-5g	NaCl-15g	Nys-5g	Nys-15g	Oxa	SC	Sorb-5g	Sorb-15g	Thr	Tpt	TPZ	Trp	UVA	UVB	UVC
YOR346W	REV1	1	DNA repair*	0.111	0.065	0.019	-0.006	-0.039	-0.068	0.307	0.032	-0.072	0.084	-0.123	0.019	-0.02	-0.168	-0.009	0.273	-0.059	-0.062	-1.644	-1.327	0.089	0.012	0.076	0.042	0.03	-0.29	0.131	0.006	-0.201	-0.263	-1.236	0.007	0.084	0.083	-0.251	-0.396	-0.006	-0.067	-0.115	-0.163	-1.945	-0.173	0.015	0.083	-0.243	-0.07	-0.219	-0.124	-0.023	-0.232	-0.34
YDL059C	RAD59	1	telomerase-independent telomere maintenance*	0.265	-0.474	0.099	0.158	0.148	-0.036	0.586	0.055	0.097	0.302	-0.338	0.123	0.384	-0.033	-0.232	-0.069	0.448	-0.613	-1.619	-1.326	-0.928	-1.572	-0.583	-0.053	0.077	-0.592	-0.683	-1.945	-2.178	-0.207	-0.384	0.131	-0.176	0.312	-0.306	-0.328	0.238	0.669	-0.068	-0.092	-2	-0.225	0.127	0.341	-0.054	0.155	-0.779	-0.332	0.103	-1.133	-1.266
YJR043C	POL32	1	lagging strand elongation*	0.577	-0.809	0.093	0.091	0.638	-0.405	0.129	-0.183	-0.289	-0.019	0.259	-0.492	-0.83	-0.446	-0.196	-0.005	-1.097	-0.308	-1.473	-1.264	-0.187	-0.02	0.228	0.296	0.772	0.203	-0.751	-0.019	-0.298	-0.52	-1.699	-0.339	0.005	0.312	-0.527	-0.464	-0.245	-0.414	-1.192	-1.334	-1.685	-0.283	0.476	0.83	-0.076	-0.217	-0.39	-0.435	-0.09	-0.516	-0.539
YIL139C	REV7	1	DNA repair*	-0.309	0.184	0.241	0.207	-0.485	0.025			0.215		0.007	1.281	0.808	-0.068	0.009	0.108	-0.075	-0.031	-1.418	-1.215	-0.003	0.013	0.061	0.877	-0.042	-0.162	-0.018	0.058	-0.591	1.285	-1.149	-0.038	-0.021	0.29	-0.177	-0.426	1.257	0.567	0.868	0.141	-1.275	0.925	-0.039	-1.242	1.391	-0.199	-0.436	1.035	0.024	-0.513	-0.676
YCR066W	RAD18	1	DNA repair	-0.121	-1.093	0.009		0.467	0.11	0.583	-0.188	0.434	-0.035	0.166	0.053	0.687	-0.068	0.194	-0.037	0.584	-0.34	-1.523	-1.198	0.104	0.099	-0.093	-0.358	0.139	-0.886	-0.785	0.202	-1.45	-0.087	-1.518	0.08	0.24	1.067	-0.891	-0.021	0.175	0.799	-0.073	-0.132	-1.814	-0.056	0.506	0.451	0.123	-0.189	-1.161	-0.157	-1.125	-1.668	-1.546
YIL132C	CSM2	1	meiotic chromosome segregation	0.272	-0.014	0.297	0.048	0.096	0.077	0.136	-0.153	0.143	0.1	-0.049	-0.121	-0.008	-0.037	-0.027	0.055	0.046	0.039	-1.281	-1.196	-0.019	-0.235	-0.052	0.088	0.131	-0.277	-0.064	-0.233	-0.493	-0.052	-0.152	-0.021	-0.122	0.006	-0.137	-0.695	-0.17	-0.058	-0.161	-0.013	-1.402	-0.05	-0.066	-0.066	-0.008	-0.021	-0.55	-0.05	-0.21	-0.222	-0.249
YDR386W	MUS81	1	DNA repair*	-0.311	-0.5	-0.042	-0.228	0.191	-0.004	0.5	-0.055	0.03	0.169	-0.71	-0.094	0.083	0.01	-0.062	-0.077	0.235	-0.272	-1.618	-1.185	-1.51	-1.293	-0.805	-0.258	-0.025	-0.922	-0.323	-1.589	-1.901	-0.257	-1.34	-0.024	-0.148	0.105	-0.363	-0.247	-0.011	0.287	-0.289	-0.421	-2.024	-0.271	-0.038	0.189	-0.481	-0.103	-0.723	-0.372	0.102	-1.889	-1.807
YBR098W	MMS4	1	DNA repair*	-0.216	-0.515	-0.059	-0.03	0.076	0.123	0.125	-0.06	0.08	-0.034	-1.089	-0.109	0.193	-0.119	-0.09	0.078	0.107	-0.461	-1.436	-1.183	-2.447	-1.598	-0.939	-0.068	0.113	-0.86	-0.482	-2.46	-1.407	-0.029	-1.266	-0.07	-0.199	-0.158	-0.745	-0.02	0.094	0.183	-0.159	-0.034	-1.692	0.007	0.028	0.16	0.19	0.107	-1.279	-0.191	-0.312	-1.521	-1.545
YDR004W	RAD57	1	telomerase-independent telomere maintenance*	-0.18	-1.036	0.016	-0.156	0.235	-0.084	1.175	0.017	0.199	0.435	-0.686	-0.268	0.102	-0.168	0.126	0.312	0.365	-0.684	-1.379	-1.155	-1.28	-0.891	-0.591	-0.067	0.232	-0.74	-0.718	-1.521	-1.689	-0.369	-0.512	-0.144	-0.279	0.026	-0.415	-0.074	0.182	0.611	-0.242	-0.058	-1.401	-0.425	0.106	-0.149	-0.235	-0.127	-0.409	-0.413	-0.34	-0.628	-0.844
YEL037C	RAD23	1	"nucleotide-excision repair, DNA damage recognition*"	-0.42	0.029	-0.227	0.014	-0.14	-0.002	0.591	0.271	0.087	0.443	-0.022	-0.183	0.172	-0.46	0.096	0.094	0.232	0.103	-1.217	-1.146	-0.013	-0.034	0.085	0.011	0.166	-0.733	0.03	-0.047	-0.141	0.106	-0.363	-0.037	-0.234	-0.062	-0.281	0.024	-0.278	-0.484	-0.352	-0.346	-1.017	0.069	-0.166	-0.326	0.087	-0.12	-0.94	0.177	0.047	-1.746	-2.148
YNL201C	PSY2	1	unknown function	-0.047	0.31	0.088	0.236	-0.066	0.082	-0.111	0.218	0.101	0.098	-0.152	-0.059	-0.923	-0.004	-0.023	-0.105	-0.271	-0.214	-1.552	-1.143	-0.166	-0.486	-0.149	0.189	-0.051	-0.15	0.068	-1.584	-0.364	0.042	-0.04	-0.019	-0.331	-0.415	-0.163	-0.422	-0.202	-0.719	0.068	-0.084	-1.851	0.143	-0.287	-0.514	0.167	0.039	-0.653	0.049	0.072	-0.182	-0.289
YLR376C	PSY3	1	unknown function	0.209	0.051	-0.205	-0.039	0.195	0.037	0.144	0.066	0.071	0.082	0.138	-0.09	-0.334	0.132	0.048	0.208	0.246	-0.046	-1.438	-1.1	-0.022	-0.117	-0.024	-0.127	0.033	0.082	-0.136	-0.287	-0.515	-0.388	-0.087	-0.046	-0.233	-0.207	-0.133	-0.914	0.008	-0.206	-0.204	-0.394	-1.506	-0.28	-0.357	-0.382	-0.224	0.04	-0.264	-0.451	0.097	-0.279	-0.309
YNL197C	WHI3	1	regulation of cell size	0.278	-0.633	-0.501	0.08	0.142	-1.149	0.176	-0.898	-0.972	-0.17	0.096	0.176	0.247	-0.006	0.024	0.038	0.235	-0.417	-1.219	-0.999	0.047	-0.028	-0.202	0.043	-0.103	0.169	-0.379	0.183	0.025	0.165	0.093	-0.253	0.142	0.153	0.119	-0.066	0.115	0.013	-0.31	-0.545	-1.86	-0.001	0.314	0.303	0.029	0.091	0.247	0.14	0.04	0.049	0.024
YDR075W	PPH3	1	protein amino acid dephosphorylation*	-0.172	0.113	-0.071	-0.148	0.232	-0.153	-0.248	-0.316	-0.13	0.111	-0.185	-0.066	-0.533	0.241	-0.185	0.126	-0.33	-0.338	-1.574	-0.997	-0.241	-0.528	-0.26	-0.212	-0.208	-0.211	-0.234	-1.089	-0.385	-0.351	0.061	0.011	-0.121	-0.123	-0.162	-0.88	-0.084	-0.214	-0.143	-0.157	-1.991	-0.303	-0.136	-0.04	-0.29	0.078	-0.217	-0.471	0.138	-0.224	-0.289
YIR002C	MPH1	1	DNA repair	-0.321	0.076	0.19	-0.005	0.091	0.141	0.164	-0.021	0.194	0.09	0.075	-0.02	-0.035	0.011	-0.048	0.283	0.039	0.036	-1.055	-0.977	0.155	-0.112	-0.012	0.037	0.078	-0.26	-0.201	0.003	-0.074	-0.101	-0.26	0.014	-0.118	0.175	-0.125	-0.701	0.059	0.012	0.054	0.047	-0.892	-0.033	-0.104	-0.07	0.032	-0.063	-0.581	-0.076	-0.195	-0.422	-0.47
YBR099C	YBR099C	1	unknown function	-0.348	-0.577	-0.044	-0.011	0.084	0.217	0.178	0.04	0.341	-0.059	-1.075	0.027	0.643	-0.151	0.067	0.114	0.382	-0.38	-1.172	-0.972	-2.384	-1.579	-0.772	-0.087	-0.086	-0.689	-0.436	-2.179	-1.307	0.087	-1.363	-0.041	-0.366	-0.394	-0.578	-0.16	-0.037	0.228	0.127	0.087	-0.847	0.034	0.092	-0.004	0.076	-0.308	-1.176	0.057	-0.052	-1.162	-1.32
YLR135W	SLX4	1	DNA-dependent DNA replication*	0.065	0.044	-0.195	0.145	0.071	0.052	0.281	0.234	0.114	0.188	-0.05	-0.1	-0.137	0.116	0.021	0.141	-0.019	0.002	-1.477	-0.969	-0.009	-0.151	-0.093	-0.094	-0.205	-0.372	0.009	-0.325	-0.612	0.115	-0.233	0.02	-0.192	-0.067	-0.012	-0.57	0.013	-0.074	0.084	0.229	-1.679	0.121	-0.265	-0.216	-0.051	-0.061	-0.479	0.079	0.219	-0.21	-0.253
YOR039W	CKB2	1	protein amino acid phosphorylation*	-0.667	-0.523	-0.205	0.041	0.022	-0.123	0.264	0.009	-0.425	-0.053	0.423	0.158	0.551	-0.288	0.124	0.042	-0.311	-0.145	-1.081	-0.968	-0.042	-0.165	-0.109	-0.068	-0.036	-0.933	0.062	-0.114	-0.096	-0.387	-0.477	-0.081	0.015	-0.085	0.018	-0.483	-0.259	-1.257	0.144	0.277	-1.624	-0.206	0.166	0.173	-0.072	-0.322	0.289	-0.163	-0.329	-0.113	-0.057
YHL006C	SHU1	1	unknown function	-0.678	0.091	0.034	-0.125	0.031	-0.101	-0.039	-0.13	-0.122	0.003	-0.161	0.166	0.113	-0.109	-0.082	-0.024	-0.105	-0.064	-1.06	-0.936	0.073	-0.159	-0.053	0.155	0.025	-0.084	-0.148	-0.103	-0.498	-0.221	-0.104	0.02	0.228	0.248	-0.06	-0.777	0.128	0.054	-0.15	-0.124	-1.144	-0.247	0.129	0.161	-0.29	-0.026	-0.199	-0.146	-0.06	-0.247	-0.217
YHL031C	GOS1	1	intra-Golgi transport*	0.117	-0.84						-0.547			-0.8	-0.493		-0.374	-0.36	-0.239	1.481		-0.724	-0.91		0.198		-0.358		0.905	-0.175	0.831		-0.052		-0.287	-0.31			0.285	0.44		-0.179			0.114	1.638		0.341			0.06	-0.409		
YDR078C	SHU2	1	unknown function	0.194	0.048	0.118	-0.154	0.106	-0.015	-0.336	-0.441	-0.098	-0.224	0.025	-0.06	-0.056	0.016	-0.275	0.002	0.171	-0.206	-1.168	-0.83	-0.04	0.073	0.027	-0.219	-0.318	0.27	-0.016	-0.365	-0.391	-0.251	0.042	0.053	-0.228	0.054	-0.182	-0.816	-0.099	-0.051	-0.203	-0.257	-1.091	-0.158	-0.096	-0.076	-0.194	0.215	-0.157	-0.273	-0.097	-0.143	-0.232
YLL043W	FPS1	1	transport*	0.22	-1.041	-0.217	0.238		-0.428	0.501	-0.524	-0.307	-0.29	-0.915	-0.82	-2.449	-0.657	0.213	-0.007	1.586	-0.486	-0.713	-0.782	-0.645	-0.141	-0.621	-0.098	0.307	-0.729	-0.342	-0.119	0.139	0.006		-0.703	0.034	-0.248	-0.027	-0.405	0.215	0.626	0.057	-0.331	-1.505	-0.002	0.229	0.643	0.082			0.052	-0.389	-0.135	-0.367
YKL048C	ELM1	1	protein amino acid phosphorylation*	0.782	-1.297	-0.012	-0.443	0.631	-0.772	0.51	-1.882	-0.895	-0.039	-0.562	-0.607	-1.656		0.389	-0.052	0.373	-0.363	-0.954	-0.78	-0.68	-0.159	-0.288	0.048	0.798	-0.279	-0.534	-0.34	0.424	-0.003	-0.011	-0.505	0.2	0.667	-0.221	0.161	-0.013	0.299	-0.841	-1.942	-0.716	-0.166	-0.099	0.649	-0.017	0.587	-0.523	-0.124	-0.388	-0.317	-0.615
YKL076C	PSY1	1	unknown function	0.224	-0.235	-0.135	-0.178	0.264	-0.392	0.506	-0.422	-0.359	0.101	0.308	-0.232	-1.413	-0.276	-0.034	0.067	0.582	-0.241	-1.047	-0.78	-0.082	-0.22	0.043	0.028	0.348	0.153	-0.22	-0.21	-1.384	-0.404	-0.096	-0.411	-0.345	-0.034	-0.064	0.28	0.032	0.192	-1.12	-1.568	-1.943	-0.476	-0.279	-0.205	-0.557	0.131	-0.415	-0.577	0.1	-0.465	-0.528
YOL081W	IRA2	1	RAS protein signal transduction	-1.018	-1.193	0.132	0.01	-0.258	-0.789	-1.272	-0.505	-0.696	-0.198	0.016	-0.18	0.284	-0.252	-0.399	0.101	-1.318	-0.511	-0.978	-0.768	-0.47	-0.082	-0.384	-1.338	-2.269	-0.509	-0.365	-0.51	-0.22	-1.079	0.084	0.357	-0.276	-1.321	-0.12	-0.24	-1.213	-1.076	0.06	0.72	-1.442	-0.471	-0.095	0.16	0.087	0.249	-0.409	-1.017	-0.215	-0.23	-0.194
YDL160C	DHH1	1	deadenylation-dependent decapping*	0.482	-1.132	-0.213	-0.149	0.113	-1.185	0.512	0.109	-0.485	-0.071		-0.549	-0.069		-0.329	0.166	1.351		-0.99	-0.762	-0.199	0.13		0.093	0.295	0.655	-0.699	0.349	-0.471	0.003	-0.668	-0.279	0.317	0.191		-0.453	0.51	1.275	-0.833	-0.259	-0.876	-0.1	0.787	0.188	0.06	0.675	0.515	-0.087	0.061	-0.207	-0.348
YJL129C	TRK1	1	potassium ion homeostasis	0.696	-0.642		0.087	-0.171	-1.994	0.536	-0.116	0.243	0.15	-0.398	-0.445	-1.078	0.193		0.481	0.177	-1.354	-0.821	-0.759	0.044	0.101	-0.712	0.091	-0.157	0.524	0.274	-0.53	0.06	-1.653	-0.096	-0.29	-1.654	-1.655	-0.01	0.248	-1.244	-0.953	0.092	0.368	-1.394	-1.634	-0.21	-1.109	-1.409	0.024	0.136	-1.666	0.099	-0.002	0.072
YGL071W	RCS1	1	positive regulation of transcription from Pol II promoter*	-0.24	-1.37	-0.176			-0.539			-0.281		-0.743	0.617		-0.171		-0.322		-0.101	-0.168	-0.749		0.019	-0.101	-1.16		-0.529	-2.091		-0.43	1.632		-0.551	0.643		-0.61	-0.352	1.25		0.83		-1.236	1.854	1.894		0.795		0.134	1.736	-0.544	-0.363	-0.4
YHR030C	SLT2	1	cell wall organization and biogenesis*	-0.203	-0.049	0.122	0.293	-1.184	-0.725	-0.546	-1.841	-1.673	-0.139	-0.08	-1.326	-2.815	-0.469	-0.254	-0.583	-0.118	-0.089	-0.818	-0.712	-0.106	0.009	-0.443	0.169	0.042	-0.052	-0.413	-1.438	-0.444	-0.356	0.24	-0.923	0.32	-0.003	-0.311	-0.782	0.026	-0.402	-0.231	-0.043	-1.327	-0.27	0.013	0.225	-0.175	0.184	-0.941	-0.375	-0.06	-0.233	-0.353
YAL021C	CCR4	1	regulation of transcription from Pol II promoter*	-0.419	-0.936	-0.394	-0.157	-1.559	0.072	0.941	-0.093	-1.54	0.045	-1.593	-0.835	-0.981	-0.718	-0.178	0.398	0.848	-0.023	-0.901	-0.69	-0.273	-0.279	-0.793	0.254	1.076	0.393	-0.673	-0.567	0.143	0.326	0.191	-0.655	-0.847	-1.074	-0.094	-0.776	-0.239	0.381	-1.104	-1.139	-0.975	0.261	-0.243	-0.644	0.189	0.177	0.301	0.428	-0.115	-0.462	-0.428
YDR484W	VPS52	1	Golgi to vacuole transport*	-0.501	-0.714	-0.02		-0.409	-1.504	-0.031	-1.285	-0.776	-0.064	-0.942	-1.992	-1.705		-0.278	-0.098	0.345	-1.283	-0.68	-0.687	-0.207	-0.105	0.283	-0.644	-1.298	1.316	-0.206	1.129	0.181	0.265	0.303	-0.802	-1.3	-1.944	0.225	-0.354	-1.292	-1.155	-0.248	-0.35	-0.954	0.197	-0.875	-0.776	-0.029	-0.127	0.285	0.283	-0.526	0.117	0.076
YBR073W	RDH54	1	meiotic recombination*	-0.292	-0.037	0.139	-0.042	0.244	0.025	-0.09	-0.175	-0.078	-0.07	-0.098	0.004	-0.065	0.096	-0.068	-0.263	-0.002	-0.15	-0.804	-0.676	-0.012	-0.034	-0.038	0.072	0.093	-0.409	-0.074	-0.73	-0.901	-0.338	-0.148	-0.057	0.003	-0.061	-0.3	-0.465	-0.03	0.042	-0.318	-0.382	-1.101	-0.392	0.066	0.258	-0.335	0.005	-0.375	-0.32	0.19	-0.317	-0.393
YJL165C	HAL5	1	cation homeostasis	0.325	0.082	-0.117	0.025	-0.194	-1.834	0.273	0.217	0.162	0.193	-0.337	-0.846	-2.081	0.164	-0.089	0.032	-0.12	-0.979	-0.847	-0.675	-0.048	-0.079	-1.059	-0.058	0.125	0.261	-0.056	-0.896	-0.23	-0.412	-0.068	-0.082	-0.034	-0.058	-0.063	-0.433	-0.995	-2.428	-0.23	-0.172	-1.467	-0.331	-0.452	-0.36	-0.24	0.056	-0.134	-0.455	-0.096	-0.035	-0.089
YLR426W	YLR426W	1	unknown function	0.238	-1.19				-0.103	0.107	-0.848	-0.19	-0.095		0.179	0.612		-0.349	-0.022	0.946		-0.86	-0.664		-0.184		-0.14	0.188	-0.065	-0.564	0.495	-0.895	-0.199	-0.124		0.264	0.929		-0.141	0.401	1.034	-0.547	-1.007	-1.32	-0.315	0.035	0.412	-0.081	0.056		-0.34	0.363	-0.238	-0.247
YGL012W	ERG4	1	ergosterol biosynthesis	-1.133	-0.621	-1.707	-0.721	-0.177	-1.955	0.105	-1.684	-0.358	-0.071	-1.465	-1.016	-2.125	0.092	-0.055	-0.066	0.436	-1.223	-0.866	-0.66	-0.189	-0.272	-0.434	0.081	0.262	-0.567	-1.371	-0.422	0.231	-0.259	0.06	-0.313	-0.394	-0.929	-0.174	0.139	-0.977	-1.953	-0.807	-1.106	-0.506	-0.206	0.045	-0.608	-0.382	-0.05	-0.41	-0.297	-0.472	0.044	0.055
YCL016C	DCC1	1	sister chromatid cohesion	0.762	-0.744	-0.369			-0.475			0.541			-0.598	-0.113		-0.076	0.085	1.138		-0.913	-0.644				-0.389	0.168	-0.347		-0.471	-0.841	-0.561			-0.501	-0.371			-0.379	0.104	-0.425	-0.339		-0.432	-0.292	-0.749	-0.005			-0.682	-0.022	-0.583	-0.519
YIL156W	UBP7	1	protein deubiquitination	-0.405	0.041	-0.051	0.201	-0.103	-0.662	-0.168	-0.025	0.073	0.008	-0.175	-0.615	-0.949	-0.062	0.038	-0.033	-0.495	-0.073	-0.653	-0.628	-0.058	0.106	-0.055	-0.141	0.014	-0.361	0.166	-0.39	-0.085	-0.116	0.083	-0.022	-0.179	0.002	0.063	0.364	-0.262	0.085	-0.106	-0.026	-0.147	-0.062	-0.097	-0.225	0.091	-0.021	0.015	-0.29	-0.329	-0.071	-0.03
YHR134W	WSS1	1	protein sumoylation	-0.211	-0.928	0.139	0.004	0.311	-0.281	0.11	-0.377	0.062	-0.478	0.191	0.212	0.903	-0.084	0.244	-0.073	0.545	0.152	-0.816	-0.62	-0.111	0.04	0.421	0.152	0.253	-0.864	-0.269	0.094	-0.24	-0.141	-0.791	0.231	0.303	0.811	0.063	0.091	0.427	0.979	-0.022	0.206	-0.892	-0.126	0.639	0.673	0.017	-0.04	-0.657	-0.139	-0.562	-0.662	-0.723
YER016W	BIM1	1	mitotic spindle checkpoint*	0.146	-1.681	-0.081	0.099	0.381	0.338	0.5	-0.257	0.552	-0.069	-0.92	0.188	1.684	-0.755	0.199	0.231	0.875	-0.26	-0.51	-0.618	-0.098	-0.233	0.053	-0.467	-0.303	0.013	-0.326	-0.243	-0.349	0.151	-0.985	0.035	-0.493	-0.757	-0.499	0.213	0.092	0.546	0.173	0.27	0.182	0.179	0.446	-0.565	0.055	-0.238	0.296	0.259	-0.765	-0.161	-0.158
YDR409W	SIZ1	1	protein sumoylation	0.186	0.04	-0.017		0.172	0.107	0.224	0.005	0.07	0.112	0.613	-0.224	-0.341	-0.038	-0.024	-0.119	-0.026	0.027	-0.798	-0.617	0.069	-0.007	0.496	-0.018	-0.082	0.626	-0.055	0.295	-0.13	0.044	-0.266	0.037	-0.243	-0.176	-0.155	-0.183	-0.084	0.177	0.132	0.128	-1.527	0.05	-0.098	-0.173	0.046	-0.211	-0.223	-0.008	0.051	-0.222	-0.438
