^SAMPLE = GSM30549
!Sample_title = No benomyl
!Sample_geo_accession = GSM30549
!Sample_status = Public on Nov 05 2004
!Sample_submission_date = Sep 13 2004
!Sample_last_update_date = May 27 2005
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = no benomyl
!Sample_organism_ch1 = Saccharomyces cerevisiae
!Sample_taxid_ch1 = 4932
!Sample_molecule_ch1 = total RNA
!Sample_source_name_ch2 = no benomyl
!Sample_organism_ch2 = Saccharomyces cerevisiae
!Sample_taxid_ch2 = 4932
!Sample_molecule_ch2 = total RNA
!Sample_description = A pool of 5,896 haploid-convertible heterozygous diploid yeast knockout (YKO) strains were sporulated.
!Sample_description = A pool of isogenic haploid MATa cells were obtained by selection on a magic medium without the drug benomyl at 30 degree for 2 days.
!Sample_description = Genomic DNA was prepared from this pool of freshly generated haploid cells and used as the template for PCR amplification of the TAGs identifying the YKOs with a pair of primers universal for either Uptags or Downtags.
!Sample_description = The PCR products from sample1 or sample2 were differentially labeled with Cy5 or Cy3.
!Sample_description = The Cy5- and Cy3-labeled Uptags and Downtags were mixed together and hybridized to a Hopkins-TagArray.
!Sample_description = Fluorescent array images were collected for both Cy5 and Cy3 with a GenePix4000B microarray scanner.
!Sample_description = The image data was annalyzed with a GenePix5.1 program.
!Sample_description = Keywords = benomyl, heterozygote, YKO
!Sample_platform_id = GPL1444
!Sample_contact_name = Xuewen,,Pan
!Sample_contact_email = xpan2@jhmi.edu
!Sample_contact_phone = 410-955-2477
!Sample_contact_laboratory = Boeke Lab
!Sample_contact_department = Department of Molecular Biology and Genetics
!Sample_contact_institute = Johns Hopkins University School of Medicine
!Sample_contact_address = 733 N. Broadway, Room 331
!Sample_contact_city = Baltimore
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 21205
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM30nnn/GSM30549/suppl/GSM30549_cy3.tif.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM30nnn/GSM30549/suppl/GSM30549_cy5.tif.gz
!Sample_series_id = GSE1752
!Sample_series_id = GSE1838
!Sample_data_row_count = 22575
#ID_REF = Serial identifier for probe
#F635_Median = Cy5 (F635) median fluorescence intensity
#B635_Median = Cy5 (F635) background median fluorescence intensity
#F532_Median = Cy3 (F532) median fluorescence intensity
#B532_Median = Cy3 (F532) background median fluorescence intensity
#F635-B635_Median = Background substracted Cy5 (F635) median fluorescence intensity
#F532-B532_Median = Background substracted Cy3 (F532) median fluorescence intensity
#VALUE = log ratio (log2 of PRE_VALUE)
#Flags =  
#PRE_VALUE = Normalized ratio defined by F635-B635_Median/F532-B532_Median
!sample_table_begin
ID_REF	F635_Median	B635_Median	F532_Median	B532_Median	F635-B635_Median	F532-B532_Median	VALUE	Flags	PRE_VALUE
50	14668	56	27155	81	14612	27074	-0.0439433	0	0.97
51	3837	54	10826	82	3783	10744	-0.6665763	0	0.63
52	82	55	126	76	27	50	-0.0439433	-50	0.97
53	20348	53	32084	70	20295	32014	0.1890343	0	1.14
54	13214	52	24421	70	13162	24351	-0.0439433	0	0.97
55	3537	54	5137	67	3483	5070	0.3103403	0	1.24
56	2066	47	3354	74	2019	3280	0.1505603	0	1.11
57	16211	58	20692	67	16153	20625	0.4956953	0	1.41
58	5519	56	9363	75	5463	9288	0.0840643	0	1.06
59	21297	57	32586	85	21240	32501	0.2387873	0	1.18
60	14261	54	23865	81	14207	23784	0.1110313	0	1.08
61	7343	57	10345	85	7286	10260	0.3561443	0	1.28
62	10775	58	21390	78	10717	21312	-0.1360623	0	0.91
63	5721	54	13001	72	5667	12929	-0.3400753	0	0.79
64	8876	55	16412	75	8821	16337	-0.0439433	0	0.97
65	3456	51	5839	71	3405	5768	0.0840643	0	1.06
66	72	52	108	74	20	34	0.0840643	-50	1.06
67	82	52	135	67	30	68	-0.3400753	-50	0.79
68	7771	50	14058	78	7721	13980	-0.0145003	0	0.99
69	63	54	113	70	9	43	-1.3959293	-50	0.38
70	6222	55	12967	71	6167	12896	-0.2175913	0	0.86
71	191	52	287	71	139	216	0.2141253	-50	1.16
72	87	54	439	69	33	370	-2.6438563	-50	0.16
73	6456	54	8396	75	6402	8321	0.4646683	0	1.38
74	18955	57	33335	80	18898	33255	0.0285693	0	1.02
75	133	55	163	77	78	86	0.7048723	-50	1.63
76	146	53	153	75	93	78	1.1043373	-50	2.15
77	13173	51	26877	72	13122	26805	-0.1844253	0	0.88
78	7357	54	12180	78	7303	12102	0.1243283	0	1.09
79	9012	55	14063	69	8957	13994	0.2016343	0	1.15
80	4386	53	7666	73	4333	7593	0.0426443	0	1.03
81	11812	54	21226	75	11758	21151	0.0000003	0	1.00
82	17746	54	28425	75	17692	28350	0.1634993	0	1.12
83	2335	54	3491	76	2281	3415	0.2630343	0	1.20
84	14296	57	24549	76	14239	24473	0.0703893	0	1.05
85	14513	58	22195	80	14455	22115	0.2387873	0	1.18
86	21541	61	40133	84	21480	40049	-0.0439433	0	0.97
87	20948	62	42291	79	20886	42212	-0.1681233	0	0.89
88	8128	61	15071	89	8067	14982	-0.0439433	0	0.97
89	19053	62	25874	81	18991	25793	0.4114263	0	1.33
90	2048	58	5389	80	1990	5309	-0.5777673	0	0.67
91	4159	55	6416	75	4104	6341	0.2141253	0	1.16
92	113	54	268	72	59	196	-0.8889693	-50	0.54
93	61	60	90	80	1	10	-2.4739313	-50	0.18
94	72	57	132	72	15	60	-1.1520033	-50	0.45
95	263	56	604	71	207	533	-0.5145733	-50	0.70
96	76	54	93	74	22	19	1.0565843	-50	2.08
97	3994	51	10834	72	3943	10762	-0.5994623	0	0.66
98	146	58	237	74	88	163	-0.0439433	-50	0.97
99	23631	58	42468	77	23573	42391	0.0000003	0	1.00
100	17763	60	29283	80	17703	29203	0.1243283	0	1.09
101	5406	58	18101	76	5348	18025	-0.9159363	0	0.53
102	95	58	136	83	37	53	0.3334243	-50	1.26
103	17146	52	30717	73	17094	30644	0.0000003	0	1.00
104	4071	59	7189	81	4012	7108	0.0285693	0	1.02
105	72	56	111	79	16	32	-0.1520033	-50	0.90
106	17594	54	35963	73	17540	35890	-0.1844253	0	0.88
107	2273	53	3973	72	2220	3901	0.0285693	0	1.02
108	5095	53	7329	72	5042	7257	0.3219283	0	1.25
109	294	58	705	70	236	635	-0.5777673	-50	0.67
110	636	58	1145	74	578	1071	-0.0439433	0	0.97
111	158	58	398	76	100	322	-0.8365013	-50	0.56
112	70	59	89	81	11	8	1.3103403	-50	2.48
113	78	56	100	75	22	25	0.6599253	-50	1.58
114	60	58	99	79	2	20	-2.4739313	-50	0.18
115	12507	57	22211	77	12450	22134	0.0143553	0	1.01
116	1099	52	2890	71	1047	2819	-0.5777673	-50	0.67
117	1882	53	2168	71	1829	2097	0.6507653	0	1.57
118	388	54	866	74	334	792	-0.3959293	-50	0.76
119	20023	56	35640	76	19967	35564	0.0143553	0	1.01
120	16708	51	32957	71	16657	32886	-0.1360623	0	0.91
121	243	57	310	76	186	234	0.5160153	-50	1.43
122	17699	59	28318	73	17640	28245	0.1634993	0	1.12
123	2243	57	6211	77	2186	6134	-0.6438563	0	0.64
124	219	53	256	73	166	183	0.7048723	-50	1.63
125	162	52	298	68	110	230	-0.2175913	-50	0.86
126	103	56	280	74	47	206	-1.2863043	-50	0.41
127	30739	53	59472	73	30686	59399	-0.1046973	0	0.93
128	6666	51	13147	77	6615	13070	-0.1360623	0	0.91
129	1230	52	4527	71	1178	4456	-1.0588943	-50	0.48
130	13625	49	32383	78	13576	32305	-0.3959293	0	0.76
131	475	58	1030	77	417	953	-0.3400753	0	0.79
132	139	54	480	79	85	401	-1.3959293	-50	0.38
133	11652	55	15488	78	11597	15410	0.4329593	0	1.35
134	79	55	111	81	24	30	0.5260693	-50	1.44
135	89	49	158	87	40	71	0.0143553	-50	1.01
136	14392	55	24429	77	14337	24352	0.0840643	0	1.06
137	109	58	218	82	51	136	-0.5563933	-50	0.68
138	88	53	113	75	35	38	0.7311833	-50	1.66
139	17754	63	36416	82	17691	36334	-0.1844253	0	0.88
140	31716	60	50776	88	31656	50688	0.1634993	0	1.12
141	101	60	139	83	41	56	0.4005383	-50	1.32
142	43730	65	65255	86	43665	65169	0.2750073	0	1.21
143	10759	63	24197	79	10696	24118	-0.3219283	0	0.80
144	11955	53	22948	74	11902	22874	-0.0892673	0	0.94
145	12567	57	28203	74	12510	28129	-0.3219283	0	0.80
146	9594	49	18622	79	9545	18543	-0.1046973	0	0.93
147	14011	59	26001	69	13952	25932	-0.0439433	0	0.97
148	13991	49	30266	74	13942	30192	-0.2688173	0	0.83
149	305	60	466	75	245	391	0.1763233	-50	1.13
150	32378	56	63036	71	32322	62965	-0.1202943	0	0.92
151	10299	61	20655	77	10238	20578	-0.1520033	0	0.90
152	16178	59	31048	79	16119	30969	-0.0892673	0	0.94
153	3193	54	5785	74	3139	5711	-0.0145003	0	0.99
154	38520	59	65535	72	38461	65463	0.0840643	0	1.06
155	9239	53	13065	85	9186	12980	0.3448283	0	1.27
156	183	57	254	73	126	181	0.3219283	-50	1.25
157	15342	50	30052	75	15292	29977	-0.1202943	0	0.92
158	413	51	789	70	362	719	-0.1360623	-50	0.91
159	24746	56	46267	73	24690	46194	-0.0588943	0	0.96
160	63	48	98	68	15	30	-0.1520033	-50	0.90
161	6877	49	11474	76	6828	11398	0.1110313	0	1.08
162	1419	50	1972	69	1369	1903	0.3673713	0	1.29
163	1409	54	4136	76	1355	4060	-0.7369663	0	0.60
164	673	57	1438	75	616	1363	-0.3040063	0	0.81
165	1062	56	1108	76	1006	1032	0.8073553	0	1.75
166	60	58	102	73	2	29	-3.0588943	-50	0.12
167	132	57	115	72	75	43	1.6507653	-50	3.14
168	97	61	89	69	36	20	1.6959943	-50	3.24
169	2681	55	6135	75	2626	6060	-0.3584543	0	0.78
170	284	54	364	73	230	291	0.5058913	-50	1.42
171	2268	57	5203	72	2211	5131	-0.3584543	0	0.78
172	7460	45	18536	69	7415	18467	-0.4739313	0	0.72
173	17035	48	35604	74	16987	35530	-0.2175913	0	0.86
174	1897	55	8600	74	1842	8526	-1.3584543	0	0.39
175	60	56	170	79	4	91	-3.6438563	-50	0.08
176	17774	57	30456	73	17717	30383	0.0703893	0	1.05
177	13102	58	22453	72	13044	22381	0.0703893	0	1.05
178	750	51	1397	72	699	1325	-0.0740013	0	0.95
179	4751	54	8847	76	4697	8771	-0.0588943	0	0.96
180	13244	54	22682	77	13190	22605	0.0703893	0	1.05
181	808	58	1477	73	750	1404	-0.0588943	0	0.96
182	103	63	116	78	40	38	0.9183863	-50	1.89
183	8100	58	16486	79	8042	16407	-0.1844253	0	0.88
184	724	56	2112	74	668	2038	-0.7612133	0	0.59
185	113	54	180	74	59	106	0.0000003	-50	1.00
186	15220	49	27515	80	15171	27435	0.0000003	0	1.00
187	17213	56	25362	76	17157	25286	0.2868813	0	1.22
188	5960	56	12060	75	5904	11985	-0.1681233	0	0.89
189	139	58	202	75	81	127	0.2016343	-50	1.15
190	20757	51	26327	84	20706	26243	0.5058913	0	1.42
191	852	58	1061	77	794	984	0.5360533	0	1.45
192	538	59	431	79	479	352	1.2927823	0	2.45
193	6841	64	13314	87	6777	13227	-0.1202943	0	0.92
194	13607	62	24465	82	13545	24383	0.0000003	0	1.00
195	1061	59	3157	87	1002	3070	-0.7612133	0	0.59
196	12603	57	17455	78	12546	17377	0.3785123	0	1.30
197	80	52	223	73	28	150	-1.5563933	-50	0.34
198	7825	55	11145	78	7770	11067	0.3334243	0	1.26
199	15864	49	22692	71	15815	22621	0.3334243	0	1.26
200	15176	61	24947	81	15115	24866	0.1243283	0	1.09
201	282	55	479	75	227	404	0.0143553	-50	1.01
202	26471	55	42737	76	26416	42661	0.1505603	0	1.11
203	116	59	234	81	57	153	-0.5777673	-50	0.67
204	9916	58	12682	79	9858	12603	0.4956953	0	1.41
205	2578	58	3156	78	2520	3078	0.5558163	0	1.47
206	4515	57	9113	74	4458	9039	-0.1681233	0	0.89
207	3229	55	4528	80	3174	4448	0.3561443	0	1.28
208	4108	59	6303	77	4049	6226	0.2265093	0	1.17
209	4036	49	6819	77	3987	6742	0.0840643	0	1.06
210	129	60	135	79	69	56	1.1505603	-50	2.22
211	2136	54	3640	66	2082	3574	0.0703893	0	1.05
212	1219	50	2332	68	1169	2264	-0.1046973	0	0.93
213	63	51	118	75	12	43	-1.0000003	-50	0.50
214	4911	53	9048	71	4858	8977	-0.0439433	0	0.97
215	74	55	132	73	19	59	-0.7858753	-50	0.58
216	237	52	866	72	185	794	-1.2515393	-50	0.42
217	3413	55	6213	71	3358	6142	-0.0291463	0	0.98
218	15907	55	25068	73	15852	24995	0.1890343	0	1.14
219	5639	53	9155	77	5586	9078	0.1505603	0	1.11
220	78	53	130	72	25	58	-0.3584543	-50	0.78
221	150	52	122	74	98	48	1.8797063	-50	3.68
222	22558	55	36101	76	22503	36025	0.1634993	0	1.12
223	54	53	93	74	1	19	-3.4739313	-50	0.09
224	6174	59	12601	79	6115	12522	-0.1844253	0	0.88
225	6549	50	10796	73	6499	10723	0.1243283	0	1.09
226	1226	53	3700	78	1173	3622	-0.7858753	0	0.58
227	2266	59	6429	78	2207	6351	-0.6665763	0	0.63
228	9017	55	14378	78	8962	14300	0.1763233	0	1.13
229	59	48	101	72	11	29	-0.5563933	-50	0.68
230	5674	49	12289	75	5625	12214	-0.2688173	0	0.83
231	4169	60	8497	75	4109	8422	-0.1844253	0	0.88
232	10089	55	21812	80	10034	21732	-0.2688173	0	0.83
233	12673	61	25271	74	12612	25197	-0.1520033	0	0.90
234	3790	51	6405	69	3739	6336	0.0840643	0	1.06
235	81	61	124	73	20	51	-0.4941093	-50	0.71
236	819	58	1405	76	761	1329	0.0426443	0	1.03
237	4693	52	9293	77	4641	9216	-0.1360623	0	0.91
238	96	53	170	71	43	99	-0.3584543	-50	0.78
239	97	55	164	72	42	92	-0.2863043	-50	0.82
240	7045	54	12605	71	6991	12534	0.0000003	0	1.00
241	822	57	1665	73	765	1592	-0.2175913	0	0.86
242	7696	60	12857	82	7636	12775	0.1110313	0	1.08
243	9124	59	15370	74	9065	15296	0.0976113	0	1.07
244	7838	61	13900	79	7777	13821	0.0143553	0	1.01
245	7693	57	14759	86	7636	14673	-0.0892673	0	0.94
246	15165	56	23978	82	15109	23896	0.1890343	0	1.14
247	1139	57	1826	83	1082	1743	0.1634993	0	1.12
248	2004	57	2734	77	1947	2657	0.4005383	0	1.32
249	137	64	220	77	73	143	-0.1202943	-50	0.92
250	5216	59	9741	79	5157	9662	-0.0588943	0	0.96
251	361	56	521	73	305	448	0.2986583	-50	1.23
252	172	50	654	76	122	578	-1.3959293	-50	0.38
253	12418	53	22638	74	12365	22564	-0.0145003	0	0.99
254	685	58	1018	73	627	945	0.2509623	0	1.19
255	314	58	303	78	256	225	1.0356243	-50	2.05
256	6554	56	14320	78	6498	14242	-0.2863043	0	0.82
257	3028	58	5295	85	2970	5210	0.0426443	0	1.03
258	14811	55	13744	79	14756	13665	0.9560573	0	1.94
259	151	52	291	74	99	217	-0.2863043	-50	0.82
260	79	56	129	75	23	54	-0.3770703	-50	0.77
261	884	51	1489	74	833	1415	0.0840643	0	1.06
262	6954	55	14182	81	6899	14101	-0.1844253	0	0.88
263	3631	54	5799	69	3577	5730	0.1634993	0	1.12
264	4286	49	5738	71	4237	5667	0.4329593	0	1.35
265	20382	55	34735	70	20327	34665	0.0840643	0	1.06
266	5513	51	12278	68	5462	12210	-0.3040063	0	0.81
267	2786	50	5049	71	2736	4978	-0.0145003	0	0.99
268	6306	53	9823	71	6253	9752	0.2016343	0	1.15
269	7503	57	13570	76	7446	13494	-0.0145003	0	0.99
270	158	52	329	81	106	248	-0.3770703	-50	0.77
271	4163	56	5550	83	4107	5467	0.4329593	0	1.35
272	11009	52	18402	71	10957	18331	0.1110313	0	1.08
273	3872	57	8959	74	3815	8885	-0.3770703	0	0.77
274	6669	55	12517	70	6614	12447	-0.0588943	0	0.96
275	3877	53	4871	74	3824	4797	0.5160153	0	1.43
276	90	51	161	83	39	78	-0.1520033	-50	0.90
277	1952	54	2324	71	1898	2253	0.6040713	0	1.52
278	3959	54	6111	68	3905	6043	0.2141253	0	1.16
279	111	51	235	73	60	162	-0.5777673	-50	0.67
280	76	56	105	76	20	29	0.3103403	-50	1.24
281	167	55	276	73	112	203	-0.0145003	-50	0.99
282	102	51	239	74	51	165	-0.8365013	-50	0.56
283	13622	59	23883	77	13563	23806	0.0426443	0	1.03
284	10536	54	22274	78	10482	22196	-0.2344653	0	0.85
285	1824	53	3886	73	1771	3813	-0.2515393	0	0.84
286	13312	55	32045	77	13257	31968	-0.4150373	0	0.75
287	11973	55	21868	72	11918	21796	-0.0291463	0	0.98
288	6956	58	12482	76	6898	12406	0.0000003	0	1.00
289	124	56	239	77	68	162	-0.3959293	-50	0.76
290	117	53	219	74	64	145	-0.3400753	-50	0.79
291	173	51	142	71	122	71	1.6276073	-50	3.09
292	171	49	634	73	122	561	-1.3584543	-50	0.39
293	8247	57	14461	77	8190	14384	0.0285693	0	1.02
294	8077	52	20248	73	8025	20175	-0.4739313	0	0.72
295	252	57	206	78	195	128	1.4541763	-50	2.74
296	5223	55	10934	82	5168	10852	-0.2175913	0	0.86
297	11752	57	15958	81	11695	15877	0.4114263	0	1.33
298	10860	61	14949	82	10799	14867	0.3895673	0	1.31
299	739	63	1471	84	676	1387	-0.1844253	0	0.88
300	24939	59	44605	82	24880	44523	0.0143553	0	1.01
301	501	61	614	77	440	537	0.5558163	0	1.47
302	15174	64	21359	83	15110	21276	0.3561443	0	1.28
303	18177	58	35034	75	18119	34959	-0.1046973	0	0.93
304	4202	54	7360	76	4148	7284	0.0426443	0	1.03
305	4063	53	7010	75	4010	6935	0.0565843	0	1.04
306	143	51	243	74	92	169	-0.0291463	-50	0.98
307	99	55	161	77	44	84	-0.0892673	-50	0.94
308	5216	58	6985	74	5158	6911	0.4222333	0	1.34
309	7129	58	12360	77	7071	12283	0.0565843	0	1.04
310	87	50	131	75	37	56	0.2509623	-50	1.19
311	4441	58	7424	78	4383	7346	0.0976113	0	1.07
312	21218	52	35656	73	21166	35583	0.0976113	0	1.07
313	114	54	132	75	60	57	0.9183863	-50	1.89
314	587	58	1024	75	529	949	0.0000003	0	1.00
315	144	53	289	77	91	212	-0.3770703	-50	0.77
316	468	51	2681	71	417	2610	-1.7858753	0	0.29
317	341	56	127	74	285	53	3.2750073	-50	9.68
318	249	51	615	69	198	546	-0.6214883	-50	0.65
319	6493	56	8486	71	6437	8415	0.4646683	0	1.38
320	13993	58	20900	74	13935	20826	0.2630343	0	1.20
321	8911	54	11979	78	8857	11901	0.4222333	0	1.34
322	11506	53	20969	79	11453	20890	-0.0145003	0	0.99
323	28440	59	53164	79	28381	53085	-0.0588943	0	0.96
324	621	50	1117	73	571	1044	-0.0291463	0	0.98
325	3698	51	7590	77	3647	7513	-0.2009133	0	0.87
326	65	53	101	72	12	29	-0.4344033	-50	0.74
327	64	57	129	74	7	55	-2.1202943	-50	0.23
328	109	55	206	69	54	137	-0.4941093	-50	0.71
329	422	52	640	76	370	564	0.2387873	-50	1.18
330	779	53	1294	70	726	1224	0.0976113	0	1.07
331	16559	60	31346	75	16499	31271	-0.0740013	0	0.95
332	169	54	137	73	115	64	1.6915343	-50	3.23
333	640	56	1553	74	584	1479	-0.4941093	0	0.71
334	5989	55	12656	77	5934	12579	-0.2344653	0	0.85
335	1490	55	2659	70	1435	2589	0.0000003	0	1.00
336	11145	56	19043	77	11089	18966	0.0703893	0	1.05
337	424	50	1545	72	374	1473	-1.1202943	-50	0.46
338	5414	57	10433	74	5357	10359	-0.1046973	0	0.93
339	167	50	351	76	117	275	-0.3770703	-50	0.77
340	15409	57	31389	72	15352	31317	-0.1844253	0	0.88
341	144	56	220	71	88	149	0.0840643	-50	1.06
342	164	55	278	75	109	203	-0.0439433	-50	0.97
343	6887	56	12813	78	6831	12735	-0.0439433	0	0.97
344	28341	55	47034	83	28286	46951	0.1110313	0	1.08
345	147	53	262	73	94	189	-0.1520033	-50	0.90
346	14244	55	19998	76	14189	19922	0.3561443	0	1.28
347	23097	65	40658	79	23032	40579	0.0285693	0	1.02
348	72	58	115	69	14	46	-0.8624963	-50	0.55
349	146	62	181	81	84	100	0.5945493	-50	1.51
350	12858	59	28634	80	12799	28554	-0.3040063	0	0.81
351	14795	59	25346	83	14736	25263	0.0703893	0	1.05
352	1832	65	2679	78	1767	2601	0.2868813	0	1.22
353	19274	64	32662	80	19210	32582	0.0840643	0	1.06
354	13853	59	28416	88	13794	28328	-0.1844253	0	0.88
355	3670	60	5990	75	3610	5915	0.1375043	0	1.10
356	11443	57	17199	75	11386	17124	0.2630343	0	1.20
357	10486	55	18567	73	10431	18494	0.0285693	0	1.02
358	265	50	119	69	215	50	2.9523343	-50	7.74
359	1370	56	1910	72	1314	1838	0.3673713	0	1.29
360	87	56	123	74	31	49	0.1890343	-50	1.14
361	109	57	186	71	52	115	-0.3040063	-50	0.81
362	76	54	125	76	22	49	-0.3040063	-50	0.81
363	2001	54	4313	83	1947	4230	-0.2688173	0	0.83
364	1762	55	4060	70	1707	3990	-0.3770703	0	0.77
365	102	55	105	76	47	29	1.5459683	-50	2.92
366	202	50	300	70	152	230	0.2509623	-50	1.19
367	74	51	118	73	23	45	-0.1202943	-50	0.92
368	65	55	124	70	10	54	-1.5994623	-50	0.33
369	19008	53	34689	71	18955	34618	-0.0145003	0	0.99
370	7025	49	12136	71	6976	12065	0.0565843	0	1.04
371	2838	58	4069	70	2780	3999	0.3219283	0	1.25
372	3296	56	9308	76	3240	9232	-0.6665763	0	0.63
373	1900	53	6650	73	1847	6577	-0.9714313	0	0.51
374	113	56	353	73	57	280	-1.4344033	-50	0.37
375	1286	59	3757	73	1227	3684	-0.7369663	0	0.60
376	14069	60	26901	72	14009	26829	-0.0892673	0	0.94
377	75	57	102	78	18	24	0.4329593	-50	1.35
