Gene	Orf	Spo1	Spo2	HomDip	Germ1	Germ2	Biological Process	Molecular Function	Cellular Component
SHE1	YBL031W	0.683	0.828	0.993	0.715	0.619	biological_process unknown	not yet annotated	not yet annotated
YBL046W	YBL046W	1.137	1.371	1.011	0.800	0.816	biological_process unknown	molecular_function unknown	not yet annotated
RHK1	YBL082C	0.993	1.197	1.000	0.928	0.812	protein amino acid glycosylation	not yet annotated	not yet annotated
YBL083C	YBL083C	0.768	0.975	0.992	0.664	0.535	biological_process unknown	molecular_function unknown	not yet annotated
YBR027C	YBR027C	0.767	0.821	1.015	0.755	0.564	biological_process unknown	molecular_function unknown	not yet annotated
AKL1	YBR059C	0.869	1.217	1.006	0.905	0.909	biological_process unknown	protein kinase	not yet annotated
MUD1	YBR119W	1.130	1.710	1.008	0.868	0.911	mRNA splicing	not yet annotated	not yet annotated
HSL7	YBR133C	1.419	2.030	0.957	0.699	0.856	bud growth*	protein kinase inhibitor	cytokinetic ring (sensu Saccharomyces)
SLI15	YBR156C	1.036	0.594	0.974	0.853	0.889	not yet annotated	molecular_function unknown	not yet annotated
SEC66	YBR171W	0.665	1.153	0.942	0.869	0.646	SRP-dependent, co-translational membrane targeting, translocation*	signal recognition particle receptor	signal recognition particle receptor
YBR255W	YBR255W	0.952	1.305	0.986	0.887	0.893	biological_process unknown	molecular_function unknown	not yet annotated
DCC1	YCL016C	0.680	0.616	0.884	0.788	0.809	biological_process unknown	molecular_function unknown	not yet annotated
ste50	YCL032W	0.702	0.766	1.041	0.969	0.905	not yet annotated	not yet annotated	not yet annotated
MRPL32	YCR003W	1.375	1.456	0.938	0.785	0.845	protein biosynthesis	structural protein of ribosome	mitochondrial large ribosomal subunit
YDL001W	YDL001W	1.202	1.328	0.999	0.807	0.950	biological_process unknown	molecular_function unknown	not yet annotated
PTC1	YDL006W	1.177	0.924	0.953	0.767	0.781	tRNA splicing*	protein phosphatase type 2C	cytosol
GPM2	YDL021W	0.918	0.936	1.020	0.761	0.780	glycolysis*	phosphoglycerate mutase	cytosol
YDL133W	YDL133W	1.164	1.840	0.995	0.852	0.719	biological_process unknown	molecular_function unknown	not yet annotated
YDL183C	YDL183C	1.120	1.220	0.994	0.932	0.873	biological_process unknown	molecular_function unknown	not yet annotated
YDL213C	YDL213C	0.809	0.834	0.989	0.815	0.691	biological_process unknown	molecular_function unknown	cellular_component unknown
rad57	YDR004W	0.902	1.321	0.887	0.678	0.728	not yet annotated	not yet annotated	not yet annotated
rad55	YDR076W	1.013	1.246	0.892	0.778	0.601	not yet annotated	not yet annotated	not yet annotated
GIS1	YDR096W	1.000	1.670	1.012	0.819	0.918	biological_process unknown	molecular_function unknown	not yet annotated
PEX5	YDR244W	1.088	1.228	0.988	0.882	0.789	protein-peroxisome targeting*	peroxisome targeting sequence binding*	cytosol*
MET32	YDR253C	1.113	1.166	0.999	0.746	0.836	methionine metabolism	transcription factor	not yet annotated
ssd1	YDR293C	0.430	0.894	0.985	0.545	0.779	cell cycle	RNA binding	cytoplasm
YDR326C	YDR326C	1.336	1.656	1.000	0.938	0.946	biological_process unknown	molecular_function unknown	not yet annotated
PEX13	YLR191W	1.197	1.429	0.997	0.934	0.896	protein-peroxisome targeting*	protein binding	peroxisomal membrane
CRR1	YLR213C	1.254	1.777	1.011	0.935	0.861	biological_process unknown	molecular_function unknown	cell wall
CTS2	YDR371W	1.137	1.412	1.020	0.728	0.832	biological_process unknown	molecular_function unknown	not yet annotated
LRS4	YDR439W	0.885	1.010	0.942	0.828	0.891	not yet annotated	molecular_function unknown	not yet annotated
YDR442W	YDR442W	1.343	3.014	0.920	0.781	0.806	biological_process unknown	molecular_function unknown	not yet annotated
SOH1	YGL127C	1.055	1.316	0.879	0.829	0.759	biological_process unknown	molecular_function unknown	not yet annotated
aro2	YGL148W	1.455	1.670	1.004	0.808	0.898	not yet annotated	chorismate synthase	not yet annotated
ski8	YGL213C	1.246	1.555	0.974	0.781	0.866	mRNA catabolism	not yet annotated	not yet annotated
YGL214W	YGL214W	1.048	1.635	0.974	0.772	0.894	biological_process unknown	molecular_function unknown	not yet annotated
GSC2	YGR032W	1.196	1.736	1.006	0.918	0.941	cell wall organization and biogenesis*	1,3-beta-glucan synthase	actin cap (sensu Saccharomyces)*
YGR106C	YGR106C	0.963	0.818	1.010	0.826	0.740	biological_process unknown	molecular_function unknown	not yet annotated
PEX4	YGR133W	1.257	1.472	0.996	0.918	0.932	polyubiquitylation*	ubiquitin conjugating enzyme	peroxisome
YKL037W	YKL037W	1.198	1.639	0.979	0.735	0.908	biological_process unknown	molecular_function unknown	not yet annotated
NFU1	YKL040C	1.224	1.251	1.003	0.912	0.945	iron homeostasis	molecular_function unknown	mitochondrial matrix
YKL076C	YKL076C	0.786	0.867	0.972	0.792	0.820	biological_process unknown	molecular_function unknown	not yet annotated
RSM50	YKL155C	1.310	1.339	0.957	0.670	0.900	protein biosynthesis	structural protein of ribosome	mitochondrial small ribosomal subunit
YKL171W	YKL171W	1.260	1.243	1.025	0.935	0.887	biological_process unknown	not yet annotated	not yet annotated
MRPL13	YKR006C	1.336	1.235	1.010	0.776	0.560	protein biosynthesis	structural protein of ribosome	mitochondrial large ribosomal subunit
RED1	YLR263W	1.078	1.183	1.001	0.933	0.919	synaptonemal complex formation	molecular_function unknown	synaptonemal complex
rec102	YLR329W	1.298	1.788	1.000	0.818	0.914	meiotic recombination	DNA binding	nucleus
VPS38	YLR360W	1.042	1.397	1.012	0.680	0.599	not yet annotated	molecular_function unknown	not yet annotated
YPR087W	YPR087W	1.151	2.173	0.853	0.801	0.804	biological_process unknown	molecular_function unknown	not yet annotated
MSH4	YFL003C	1.169	1.176	1.001	0.931	0.923	not yet annotated	not yet annotated	not yet annotated
BST1	YFL025C	1.209	3.412	0.909	0.695	0.819	vesicle organization and biogenesis	molecular_function unknown	endoplasmic reticulum*
UBP6	YFR010W	1.274	1.810	0.997	0.845	0.790	deubiquitylation	ubiquitin-specific protease	cellular_component unknown
YNR040W	YNR040W	0.886	1.091	0.992	0.749	0.734	biological_process unknown	molecular_function unknown	not yet annotated
YKL033W-A	YKL033W-A	0.967	0.901	1.004	0.808	0.820	biological_process unknown	molecular_function unknown	not yet annotated
sst2	YLR452C	1.191	1.210	1.002	0.798	0.891	signal transduction*	GTPase activator	plasma membrane
HAL9	YOL089C	1.194	1.544	1.002	0.813	0.683	not yet annotated	not yet annotated	not yet annotated
TRF4	YOL115W	0.991	1.139	0.904	0.812	0.754	mitotic chromosome condensation*	DNA-directed DNA polymerase	nucleus
LSM7	YNL147W	1.201	1.719	0.946	0.847	0.880	not yet annotated	not yet annotated	not yet annotated
TOM5	YPR133W-A	1.290	2.378	0.859	0.684	0.675	mitochondrial translocation	protein transporter	mitochondrial outer membrane translocase complex
