orf	hap a | abundance of caesium (gamma-counter) | caesium chloride [50 uM], Cs-134 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010	hap a | abundance of strontium (gamma-counter) | strontium dichloride [50 uM], Sr-85 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010
YGR229C	0.12	1.77
YGR230W	0.33	-0.42
YGR231C	0.98	1.35
YGR232W	-0.71	-0.31
YGR233C	-1.35	-2.46
YGR234W	0.28	0.14
YGR235C	1.11	1.26
YGR236C	0.42	0.52
YGR237C	2.98	1.0
YGR238C	0.05	1.15
YGR239C	-0.76	0.05
YGR240C		
YGR241C	0.28	0.15
YGR242W	0.6	1.04
YGR243W	0.48	0.36
YGR244C	0.11	-0.41
YGR247W	-1.21	-0.88
YGR248W	-0.6	-0.21
YGR249W	-0.3	-0.65
YGR250C	-0.77	-0.67
YGR252W	1.69	-2.71
YGR254W	-0.64	-0.7
YGR255C	0.59	4.16
YGR256W	-0.88	-0.51
YGR257C	-0.9	-1.06
YGR258C	1.12	1.2
YGR259C	0.35	0.85
YGR260W	0.36	1.15
YGR261C	-2.96	0.51
YGR262C		
YGR263C	0.18	0.13
YGR266W	0.28	0.73
YGR268C	0.27	0.11
YGR269W	1.08	1.35
YGR270W	2.51	4.99
YGR271C-A		
YGR271W	0.45	1.31
YGR273C	0.02	-0.11
YGR275W	-0.01	-0.69
YGR276C	-0.03	0.08
YGR279C	-0.19	-1.94
YGR281W	-0.45	-0.69
YGR282C	1.4	1.45
YGR283C	1.14	2.85
YGR284C	-0.46	2.21
YGR285C		
YGR286C	0.67	0.77
YGR287C	-0.43	-0.82
YGR288W	0.48	0.97
YGR289C	-0.23	-0.39
YGR290W	0.01	0.78
YGR291C	-0.75	-0.79
YGR292W	0.82	-0.29
YGR295C	0.93	1.15
YHL002W	0.09	-0.8
YHL003C	0.92	-0.93
YHL005C	-3.05	-3.59
YHL006C	0.92	0.7
YHL007C	1.45	0.73
YHL008C	-0.17	-0.14
YHL009C	-0.38	-1.09
YHL010C	-0.67	-0.93
YHL011C	-2.11	-0.2
YHL012W	-0.17	0.13
YHL013C	2.73	0.32
YHL014C	0.09	0.29
YHL016C	0.19	0.73
YHL017W	0.27	-0.17
YHL019C	2.77	1.02
YHL020C	4.13	-0.25
YHL021C	-0.85	-0.93
YHL022C	1.34	1.42
YHL023C	-3.36	0.71
YHL024W	0.78	1.22
YHL025W	0.76	0.7
YHL026C	-1.02	-1.26
YHL027W	2.18	0.47
YHL028W	0.04	0.24
YHL029C	-1.04	2.37
YHL030W	0.49	-0.29
YHL031C	-2.65	0.35
YHL032C	-0.54	-0.37
YHL033C	3.03	4.99
YHL034C	-0.77	-0.17
YHL035C	-1.7	-2.18
YHL036W	-1.58	-1.82
YHL037C	-2.03	-1.76
YHL038C	-0.16	-0.19
YHL039W	0.08	-0.32
YHL040C	-1.71	-1.53
YHL041W	-0.45	-0.5
YHL042W	-0.62	-0.29
YHL043W	-0.52	0.02
YHL044W	-0.77	-0.56
YHL045W	-0.26	-0.19
YHL046C	-1.08	-0.36
YHL047C	0.85	1.72
YHR001W-A	0.64	0.68
YHR003C	1.86	3.04
YHR004C	0.87	-0.46
YHR005C	-1.28	-1.85
YHR006W	-0.86	-1.59
YHR008C	-1.0	-1.31
YHR009C	0.99	1.51
YHR010W		
YHR011W	1.13	8.07
YHR012W	-3.43	-0.82
YHR013C	-1.89	3.15
YHR014W	1.05	1.17
YHR015W	-0.52	-0.73
YHR016C	0.85	1.2
YHR017W	1.34	1.16
YHR018C	0.02	-0.78
YHR021C	-0.83	1.41
YHR021W-A	-0.29	-0.37
YHR022C	-0.98	-0.9
YHR025W	-2.01	0.81
YHR026W	-6.08	2.27
YHR028C	0.33	0.08
YHR029C	-0.69	-1.05
YHR030C	2.78	3.61
YHR031C	1.18	0.28
YHR032W	-0.1	0.6
YHR033W	0.43	0.72
YHR034C	2.77	3.38
YHR035W	0.71	0.49
YHR037W	1.58	1.52
YHR038W	-0.23	0.58
YHR039C	-1.76	-0.63
YHR039C-A		
YHR041C	4.03	4.76
YHR044C	0.76	0.35
YHR045W	0.36	0.99
YHR046C	-0.64	-0.68
YHR047C	1.43	1.14
YHR048W	-0.66	-1.46
YHR049C-A	0.15	-0.91
YHR049W	-0.59	-1.1
YHR050W	0.49	0.74
YHR051W	1.53	0.23
YHR057C	1.11	1.0
YHR059W	-0.54	-0.56
YHR060W	-6.39	0.99
YHR061C	0.74	0.69
YHR064C	6.04	4.59
YHR066W	0.14	-0.79
YHR067W	-0.5	-0.51
YHR073W	-1.68	-0.69
YHR075C	0.86	0.41
YHR076W	-0.59	-0.25
YHR077C	-0.04	0.55
YHR078W	-1.66	-1.27
YHR079C	0.81	0.48
YHR079C-A	-0.92	-0.96
YHR080C	1.15	0.6
YHR081W	-1.49	-0.46
YHR082C	-0.3	1.21
YHR086W	0.07	-0.15
YHR087W	-1.03	1.15
YHR091C	1.72	0.65
YHR092C	1.48	0.72
YHR093W	0.74	-0.15
YHR094C	0.76	0.6
YHR095W	0.12	-0.04
YHR096C	-0.76	-1.2
YHR097C	-0.47	-1.11
YHR100C	0.5	0.74
YHR103W	0.02	-0.03
YHR104W	-0.12	-0.41
YHR105W	-0.63	0.57
YHR106W	0.23	-0.14
YHR108W	-2.24	1.37
YHR109W	-0.36	-0.57
YHR110W	0.62	0.57
YHR111W	2.71	4.69
YHR112C	-0.48	-0.85
YHR113W	0.89	-0.3
YHR114W	0.02	-2.12
YHR115C	-0.68	-1.6
YHR116W	-0.34	0.19
YHR117W	-0.56	-0.91
YHR120W	-1.86	-1.78
YHR121W	-1.89	-2.15
YHR123W	-0.85	-0.69
YHR124W	-0.84	-0.66
YHR125W	-1.18	-1.7
YHR126C	0.17	-0.26
YHR127W	-0.99	-1.25
YHR129C	0.1	0.46
YHR130C	0.39	0.23
YHR131C	-1.46	-1.66
YHR132C	-0.89	1.57
YHR132W-A	0.1	1.06
YHR133C	-0.89	0.22
YHR134W	1.17	2.16
YHR135C	0.23	-0.04
YHR136C	-1.5	-2.32
YHR137W	-0.67	-1.17
YHR138C	-0.86	-1.45
YHR139C	-1.07	-1.21
YHR139C-A	-1.5	-1.98
YHR140W	-0.73	-1.11
YHR142W	1.4	1.02
YHR143W	0.55	0.39
YHR146W	-0.76	-1.18
YHR147C	0.06	-0.15
YHR150W	0.51	0.8
YHR151C	1.44	-0.03
YHR152W	-0.23	-0.37
YHR153C	-1.66	-1.52
YHR154W	2.12	1.7
YHR155W	-1.51	-1.29
YHR156C	-1.14	-1.1
YHR157W	-0.29	-0.01
YHR158C	-0.19	0.14
YHR159W	0.41	0.46
YHR160C	-0.14	0.07
YHR161C	-0.15	-0.02
YHR162W	1.54	0.09
YHR163W	0.51	0.47
YHR167W	0.74	1.09
YHR168W	2.15	0.65
YHR171W	2.26	-2.33
YHR176W	0.06	0.43
YHR177W	1.26	-0.14
YHR178W	0.72	-0.15
YHR179W	-0.1	0.21
YHR180W	-1.48	-1.8
YHR181W	0.27	0.7
YHR182W	-1.33	-1.43
YHR183W	-0.55	-0.51
YHR184W	-0.75	-0.75
YHR185C	-1.89	-2.68
YHR189W	0.59	0.59
YHR191C	3.03	1.54
YHR193C	0.52	-0.74
YHR194W	-0.09	0.6
YHR195W	0.66	0.37
YHR198C	0.51	1.24
YHR199C	0.08	-0.18
YHR200W	2.09	-1.39
YHR202W	1.0	0.38
YHR203C		
YHR204W	-0.44	0.28
YHR206W	-1.48	-0.7
YHR207C	-0.54	0.95
YHR209W	-0.8	-0.8
YHR210C	-0.16	-0.1
YIL001W	-0.7	-0.89
YIL002C	-0.18	0.49
YIL005W	1.27	2.56
YIL006W	-1.3	0.05
YIL007C	-1.16	-0.3
YIL008W	0.81	2.8
YIL009C-A	1.36	1.64
YIL009W	0.51	-1.58
YIL010W	1.05	1.28
YIL011W	0.72	-1.17
YIL012W	0.76	-0.44
YIL013C	0.29	0.96
YIL014C-A	-0.31	-0.46
YIL014W	0.07	0.81
YIL015W	-0.76	-0.53
YIL016W	-0.83	-0.27
YIL017C	-1.4	1.82
YIL018W		
YIL020C	0.18	1.66
YIL023C	-0.78	-1.26
YIL024C	-0.67	-1.35
YIL025C	-0.98	-1.91
YIL027C	-0.23	-0.91
YIL028W	-1.34	-0.53
YIL029C	0.73	1.22
YIL030C	-0.57	-0.73
YIL032C	1.34	1.11
YIL034C	4.03	-0.78
YIL035C	1.56	1.74
YIL036W	0.16	1.01
YIL037C	-0.69	-0.99
YIL038C	-0.01	0.49
YIL039W	-1.1	-1.29
YIL040W	4.88	5.59
YIL041W	-0.98	-0.3
YIL042C	0.89	1.61
YIL043C	1.32	0.94
YIL044C	-2.71	-0.44
YIL045W	0.24	0.52
YIL047C	0.14	-0.28
YIL049W	0.53	-1.75
YIL050W	3.08	2.19
YIL052C	0.31	1.78
YIL053W	0.23	-0.84
YIL054W	0.07	-1.48
YIL055C	-0.73	-1.08
YIL056W	-1.18	-1.52
YIL057C	0.49	0.16
YIL058W	1.22	1.53
YIL059C	0.51	0.4
YIL060W	0.48	0.68
YIL064W	-1.11	-0.63
YIL065C	-0.3	0.09
YIL066C	0.15	-0.51
YIL067C	-0.02	0.19
YIL069C	3.43	2.36
YIL070C	-0.08	-0.98
YIL071C	0.13	-1.06
YIL072W	-0.35	-0.64
YIL073C	-1.89	-1.17
YIL074C	-1.16	-1.04
YIL076W	-2.97	4.21
YIL077C	1.01	1.11
YIL079C	1.55	0.38
YIL084C	1.64	0.19
YIL085C	-1.06	-0.95
YIL086C	-1.04	-1.68
YIL087C	0.32	0.97
YIL088C	-0.12	0.2
YIL089W	-0.31	-0.3
YIL090W	-0.61	3.08
YIL092W	1.15	0.73
YIL093C	0.7	-1.26
YIL094C	-0.45	-0.46
YIL095W	0.4	0.18
YIL096C	-0.67	-0.79
YIL097W	-0.83	1.44
YIL098C	-0.14	1.08
YIL099W	0.03	-0.4
YIL100W	-1.11	-2.0
YIL101C	0.5	-0.46
YIL102C	-0.5	-1.16
YIL103W	-1.09	-0.47
YIL105C	0.15	-1.95
YIL107C	-0.17	-0.42
YIL108W	-1.8	-2.33
YIL110W	5.45	3.41
YIL111W	-0.35	-1.06
YIL112W	-0.65	-1.79
YIL113W	-1.07	-1.81
YIL114C	-1.09	-1.49
YIL116W	0.3	-0.85
YIL117C	-0.3	-0.83
YIL119C	0.81	0.23
YIL120W	0.09	-0.42
YIL121W	-0.26	-2.16
YIL122W	1.83	-0.12
YIL123W	-0.79	-1.04
YIL124W	-0.57	-1.27
YIL125W	-0.47	-1.99
YIL128W	-0.45	1.95
YIL130W	-2.1	-1.94
YIL131C	-0.72	-1.44
YIL132C	-0.2	-0.68
YIL133C	4.48	3.4
YIL134W	1.36	-1.3
YIL135C	0.32	-0.4
YIL136W	-0.56	-0.42
YIL137C	-0.36	0.23
YIL138C	0.18	0.18
YIL139C	-0.16	-0.2
YIL140W	-0.9	-1.53
YIL141W	-0.26	-0.6
YIL145C	-0.3	-0.26
YIL146C	-2.65	-2.49
YIL148W	-0.96	-0.26
YIL149C	0.23	-0.2
YIL152W	0.24	0.54
YIL153W	0.78	-0.58
YIL154C	1.65	-0.8
YIL155C	0.6	0.78
YIL156W	1.14	0.03
YIL157C	0.4	-1.03
YIL158W	0.33	0.49
YIL159W	1.24	-0.63
YIL160C	-0.37	-0.8
YIL161W	-1.01	-1.49
YIL162W	-0.26	-0.66
YIL163C	0.55	0.36
YIL164C	-0.29	0.01
YIL165C	-0.78	-0.49
YIL166C	0.35	0.94
YIL173W	-0.46	-0.38
YIR001C	1.23	1.58
YIR002C	0.1	0.5
YIR003W	-1.5	-1.74
YIR004W	0.49	0.64
YIR005W	3.25	7.27
YIR007W	0.99	0.23
YIR009W	0.18	-1.55
YIR013C	0.47	1.11
YIR014W	0.23	0.34
YIR016W	1.71	3.54
YIR017C	0.28	-0.74
YIR018W	-0.22	-0.3
YIR019C	1.7	0.74
YIR020C	0.05	-0.22
YIR020W-A	0.45	1.44
YIR021W		
YIR023W	2.07	1.6
YIR024C	0.73	1.31
YIR025W	0.84	0.72
YIR026C		
YIR027C	0.66	1.1
YIR028W	-0.29	0.1
YIR029W	0.31	0.35
YIR030C	-0.11	0.23
YIR031C	-0.84	-1.04
YIR032C	-0.17	-0.02
YIR033W	2.0	1.83
YIR034C	-1.15	-1.36
YIR035C	-0.35	-0.64
YIR036C	-0.17	-0.48
YIR037W	0.09	0.17
YIR038C	-0.05	0.18
YIR039C	0.42	1.02
YIR042C	0.3	0.02
YJL003W	2.63	3.28
YJL004C	-1.8	0.96
YJL006C	1.52	2.85
YJL007C	0.23	0.85
YJL012C	-1.4	1.28
YJL013C	-0.67	-0.78
YJL016W	-0.32500000000000007	-0.9550000000000001
YJL020C	1.715	1.68
YJL022W	0.87	0.87
YJL023C	0.67	-0.71
YJL024C	-3.43	-1.31
YJL027C	-1.39	-1.59
YJL028W	-1.67	-1.63
YJL029C	0.92	-0.28
YJL030W	-1.68	-1.78
YJL036W	1.42	-2.17
YJL037W	-0.89	-0.95
YJL038C	0.21	0.4
YJL042W	-0.52	-0.68
YJL043W	-0.37	-0.92
YJL044C	-0.57	-0.6
YJL045W	0.57	0.48
YJL046W	-1.28	0.3
YJL047C	4.52	3.87
YJL048C	-0.45	-0.76
YJL049W	-0.42	-0.95
YJL051W	-1.38	-1.61
YJL052W	-0.21	0.16
YJL053W	-2.99	-3.27
YJL055W	-1.13	-0.75
YJL056C	-1.77	-2.06
YJL057C	0.53	0.58
YJL058C	-0.13	0.29
YJL059W	-0.05	0.35
YJL060W	-0.44	0.06
YJL062W	5.82	1.86
YJL063C		
YJL064W	0.09	-0.84
YJL065C	1.11	0.91
YJL066C	-0.03	0.02
YJL067W	0.07	-0.02
YJL068C	-0.65	-1.02
YJL070C	0.6	-0.31
YJL071W	-0.99	-1.79
YJL073W	-1.01	-1.36
YJL075C		
YJL077C	-0.18	-0.42
YJL078C	1.21	1.5
YJL079C	0.69	1.28
YJL080C	6.31	1.28
YJL082W	0.1	2.34
YJL083W	0.68	1.47
YJL084C	1.28	1.64
YJL088W	-0.62	-0.94
YJL089W	-1.32	-1.42
YJL092W	0.75	0.63
YJL093C	-1.83	-2.05
YJL094C	-3.02	1.37
YJL095W	-0.23	-0.92
YJL096W	0.18	-0.35
YJL098W	-1.41	-1.39
YJL099W	-0.8	-1.62
YJL100W	-0.34	0.23
YJL101C	-1.36	-0.81
YJL102W	1.4	0.58
YJL103C	-0.48	-1.21
YJL105W	-0.8	-0.89
YJL106W	1.17	1.51
YJL107C	0.89	1.36
YJL108C	-0.12	-0.01
YJL110C	0.83	2.27
YJL112W	1.36	1.76
YJL115W	1.17	1.36
YJL116C	0.01	0.13
YJL117W	-0.61	-0.62
YJL118W	-1.65	-1.74
YJL119C	-0.23	-0.43
YJL120W	1.03	1.37
YJL121C	-0.73	3.59
YJL122W	-0.05	-1.15
YJL123C	2.96	5.53
YJL124C	0.17	4.4
YJL126W	-0.34	0.0
YJL127C	3.7	6.07
YJL128C	-0.96	0.66
YJL129C	5.27	10.575
YJL130C	-0.94	-0.31
YJL131C	0.23	-0.89
YJL132W	-1.27	-1.32
YJL133W	-1.35	-1.3
YJL134W	-2.51	-2.76
YJL135W	-1.29	-1.55
YJL136C	-0.93	-0.17
YJL137C	1.21	-0.86
YJL138C	0.22	0.16
YJL139C	1.81	0.63
YJL140W		
YJL141C	-0.22	0.66
YJL142C	0.41	0.98
YJL144W	0.36	0.87
YJL145W	-0.21	-0.22
YJL146W	0.11	0.3
YJL147C	-0.43	-0.76
YJL148W	2.84	2.28
YJL149W	-0.6	-0.5
YJL150W	-1.85	-0.99
YJL151C	-1.26	-1.175
YJL152W	-1.0	-1.13
YJL153C	-0.41	-0.29
YJL154C	-3.6	-2.02
YJL155C	-0.02	-0.81
YJL157C	-1.22	-1.33
YJL158C	-0.39	-0.66
YJL159W	-0.4	-0.58
YJL160C	0.08	1.05
YJL161W	-0.44499999999999995	-0.375
YJL162C	-2.1	-2.07
YJL163C	-1.005	0.08499999999999996
YJL164C	0.03	1.69
YJL165C	0.315	-0.24000000000000002
YJL166W	-0.48	0.63
YJL168C	0.96	2.19
YJL169W	0.18	1.16
YJL170C	0.83	0.16
YJL171C	-1.08	-1.35
YJL172W	0.010000000000000009	-0.675
YJL175W		
YJL176C		
YJL177W	3.47	3.03
YJL178C	1.86	-2.0
YJL179W	3.97	0.38
YJL180C	0.23	1.05
YJL181W	-1.18	-1.16
YJL182C	-1.38	-0.94
YJL183W	1.95	-1.15
YJL184W		
YJL185C	-0.01	-0.35
YJL186W	0.21	0.37
YJL187C	-0.7	-0.81
YJL188C		
YJL189W		
YJL190C	-0.18	0.44
YJL191W	-0.7150000000000001	-0.5650000000000001
YJL192C	0.5	0.78
YJL193W	-1.24	-1.42
YJL196C	0.285	0.37500000000000006
YJL197W	-0.39	-0.8
YJL198W	-2.06	-2.36
YJL199C	-0.14	-0.21
YJL200C	0.18	0.9299999999999999
YJL201W	-0.07	0.09
YJL204C	-1.3	5.84
YJL205C	-0.5	0.43
YJL206C	0.46	1.47
YJL207C	-2.41	0.31
YJL208C	0.16	0.86
YJL209W	-1.54	-1.68
YJL210W	-0.5	1.02
YJL211C	1.34	3.54
YJL212C	-1.46	-1.14
YJL213W	-0.97	-0.14
YJL214W	-1.28	-1.37
YJL215C	-0.01	0.85
YJL216C	-0.43	0.13
YJL217W	0.16	0.77
YJL218W	0.18	0.25
YJR001W	-0.5	-1.3
YJR003C	-1.14	-1.31
YJR004C	1.625	1.4249999999999998
YJR005W	-0.87	0.05
YJR008W	-1.22	-1.54
YJR009C	-0.4	-0.56
YJR010C-A	-1.02	-1.63
YJR010W	0.06	-0.73
YJR011C	2.16	-1.26
YJR014W	1.82	3.62
YJR015W		
YJR018W	-1.76	3.4
YJR019C	1.29	1.33
YJR020W	1.29	1.92
YJR021C	0.04	0.1
YJR024C	0.14	0.61
YJR025C	1.76	-1.41
YJR030C	-0.14	0.01
YJR031C	-0.96	-1.2
YJR032W	0.54	1.56
YJR033C	-3.82	5.87
YJR034W	-0.24	0.43
YJR035W	0.78	0.2
YJR036C	1.18	0.94
YJR037W	1.22	1.4
YJR038C	-0.05	-0.18
YJR039W	-0.72	0.1
YJR040W	-3.58	3.25
YJR043C	1.87	1.67
YJR044C	-1.5	-0.52
YJR047C	-0.25	-1.16
YJR048W	0.27	-0.8
YJR049C	-0.61	-1.68
YJR050W	2.76	1.46
YJR051W	0.94	-0.31
YJR052W	0.48	-0.64
YJR053W	0.13	-0.02
YJR054W	1.92	-0.19
YJR055W	3.24	2.46
YJR056C	0.44	-1.18
YJR058C	-0.98	-0.27
YJR059W	-2.71	-1.39
YJR060W	-0.06	0.38
YJR061W	-0.52	-1.66
YJR062C	-0.29	-1.26
YJR063W	0.38	-1.95
YJR066W	-0.36	-1.34
YJR069C	0.64	0.31
YJR070C	1.74	2.87
YJR073C	-1.99	-2.36
YJR074W	2.6	-0.62
YJR075W	3.98	4.34
YJR077C	0.31	-1.02
YJR078W	-0.78	-1.7
YJR079W	0.43	0.24
YJR080C	0.72	1.22
YJR082C	-0.34	-1.59
YJR083C	-0.04	-0.09
YJR084W	0.86	0.61
YJR087W	-1.55	-2.39
YJR088C	-0.44	-0.85
YJR090C	-2.69	4.37
YJR091C	0.67	0.1
YJR092W	-0.42	-1.29
YJR094C	-0.33	-0.62
YJR094W-A	1.31	0.39
YJR095W	-0.25	-0.61
YJR096W	-1.07	-1.68
YJR097W	-1.44	-1.01
YJR098C	-0.53	-1.11
YJR099W	-0.7	-0.91
YJR100C	-0.98	-1.21
YJR102C	-2.51	0.9
YJR103W	-1.25	-1.62
YJR104C	-0.57	1.15
YJR105W	2.69	0.63
YJR106W	0.56	-0.05
YJR107W	-0.43	-0.58
YJR108W	-1.87	-1.44
YJR109C	-1.45	-1.27
YJR110W	-1.0	-1.96
YJR111C	-0.77	-1.67
YJR113C	2.31	1.75
YJR115W	-2.25	-2.38
YJR116W	-0.66	-1.32
YJR117W	-1.35	-2.04
YJR118C	-1.55	-3.32
YJR119C	-0.54	-1.67
YJR120W	-0.24	-0.04
YJR121W	0.25999999999999995	-0.020000000000000018
YJR122W	-0.32	-0.6
YJR124C	-0.95	-1.24
YJR125C	0.0	1.86
YJR126C	-0.5	-0.6
YJR127C	-2.11	-2.11
YJR128W	-1.52	-1.73
YJR129C	0.45	0.65
YJR130C	-0.48	-0.99
YJR131W	-0.72	0.04
YJR133W	-0.42	-1.2
YJR134C	0.38	-0.63
YJR135C	0.29	0.13
YJR137C	1.33	-0.37
YJR139C	4.47	3.82
YJR140C	0.59	-1.46
YJR142W	-1.53	-2.22
YJR144W	1.0550000000000002	1.28
YJR145C		
YJR146W	-0.66	-0.72
YJR147W	0.28	0.42
YJR148W	0.04	0.56
YJR149W	-0.12	-0.22
YJR150C	0.59	0.88
YJR152W	1.87	1.23
YJR153W	-0.19	-0.24
YJR154W	0.92	0.92
YKL001C	0.18	-0.25
YKL002W	-1.71	3.69
YKL003C	-0.62	-1.17
YKL005C	-0.62	-0.5
YKL006W	0.36	0.19
YKL007W	2.86	0.64
YKL008C	1.44	0.83
YKL009W	1.34	1.55
YKL010C	0.7	0.55
YKL011C	2.35	2.12
YKL015W	0.21	0.53
YKL016C		
YKL017C	-0.21	0.2
YKL020C	-2.1	-1.77
YKL023W	-1.26	0.17
YKL025C	-1.02	-0.32
YKL026C	-0.27	0.01
YKL027W	0.76	2.31
YKL029C	0.82	-0.11
YKL030W	1.54	1.1
YKL031W	1.23	1.09
YKL032C	0.52	-1.92
YKL033W-A	-0.33	-0.22
YKL034W	-0.4	1.14
YKL037W	-0.12	-0.03
YKL038W	-0.06	-0.42
YKL039W	0.34	-0.24
YKL040C	-1.0	-0.64
YKL041W	-0.7	4.87
YKL043W	-0.99	-0.97
YKL044W	-0.57	-0.71
YKL046C	0.29	-0.1
YKL047W	-1.19	-0.79
YKL048C	1.91	1.73
YKL050C	-0.18	-0.89
YKL051W	-0.03	-0.32
YKL053C-A	-1.74	-2.42
YKL053W	0.42	-0.25
YKL054C		
YKL055C	-1.34	-2.18
YKL056C	1.29	2.51
YKL057C	2.53	3.68
YKL061W	-1.1	-1.33
YKL062W	-0.35	-0.75
YKL063C	-1.13	-0.97
YKL064W	1.3	2.11
YKL065C	-1.13	-0.67
YKL066W	-0.72	-0.71
YKL067W	-0.71	-0.69
YKL068W	-0.64	-0.46
YKL069W	-0.61	-0.87
YKL070W	-0.46	-0.92
YKL071W	0.22	0.3
YKL072W	-0.46	-0.7
YKL073W	-0.02	-1.07
YKL074C	2.06	1.79
YKL075C	1.42	0.49
YKL076C	1.8	0.7
YKL077W	-1.69	0.01
YKL079W	-1.12	-1.08
YKL080W	-6.57	0.14
YKL081W	-4.25	-0.5
YKL084W	-0.62	-0.27
YKL085W	-0.98	-1.08
YKL086W	-0.47	-0.47
YKL087C	-0.7	-0.65
YKL090W	1.02	0.38
YKL091C	0.88	0.81
YKL092C	0.36	0.36
YKL093W	0.47	1.18
YKL094W	0.32	0.39
YKL096W	-0.05	-0.6
YKL096W-A	-1.66	-1.37
YKL097C	-2.0	-2.24
YKL098W	1.19	-1.37
YKL100C	-0.45	-1.17
YKL101W	-1.92	-2.74
YKL102C	-1.19	-1.54
YKL103C	-0.91	-1.34
YKL105C	-0.93	-1.51
YKL106W	0.75	-0.14
YKL107W	0.66	0.56
YKL109W	-0.2	0.89
YKL110C	2.27	3.09
YKL113C	-1.12	-1.67
YKL114C	0.03	-0.3
YKL115C	-0.56	0.18
YKL116C	-0.29	-0.91
YKL117W	0.04	-0.49
YKL118W	-6.16	3.1
YKL119C	-6.5	-1.6
YKL120W	-1.0	-1.4
YKL121W	1.09	2.51
YKL123W	-0.04	-0.74
YKL124W	-0.42	-1.06
YKL126W	5.59	3.76
YKL127W	1.68	1.86
YKL128C	1.4	1.26
YKL129C	0.1	-0.51
YKL130C	-0.41	-0.44
YKL131W	-1.41	-1.67
YKL132C	-1.32	-1.43
YKL133C	0.36	0.04
YKL134C	-0.78	-1.62
YKL135C	-5.15	1.13
YKL136W	-3.67	2.49
YKL137W	2.42	2.65
YKL138C	-0.53	-0.69
YKL139W	3.96	0.76
YKL140W	2.17	2.46
YKL142W	0.86	1.57
YKL143W		
YKL146W	-0.53	-0.48
YKL147C	-0.33	-0.99
YKL148C	0.01	-0.09
YKL149C	2.12	1.68
YKL150W	-0.4	-0.66
YKL151C	1.59	1.58
YKL155C	1.62	2.82
YKL156W	0.93	2.1
YKL157W	0.33	0.71
YKL159C	-0.54	-0.1
YKL160W	-1.02	-0.57
YKL161C	1.31	1.82
YKL162C	-0.19	0.03
YKL162C-A	-0.53	-0.7
YKL163W	-0.84	-0.75
YKL164C	-0.56	-0.45
YKL166C	-0.62	-1.34
YKL167C	0.69	0.3
YKL168C	-1.79	-2.23
YKL169C	0.41	-0.36
YKL170W	-1.77	-2.66
YKL171W	-0.53	-0.96
YKL174C	-1.43	0.78
YKL175W	0.27	0.17
YKL176C	8.1	-0.4
YKL177W	-0.43	-0.81
YKL178C	-0.24	0.11
YKL179C	-0.61	0.17
YKL183W	0.23	0.56
YKL184W	-1.02	-0.87
YKL185W	-1.76	-0.96
YKL187C	0.41	1.04
YKL188C	0.84	0.27
YKL190W	-1.29	-0.5
YKL191W	0.23	0.5
YKL194C	2.035	0.585
YKL197C	0.51	2.31
YKL198C	-0.49	-0.655
YKL201C	0.9249999999999999	0.11499999999999999
YKL202W	-0.92	-1.84
YKL204W	-0.09	-2.59
YKL205W	1.63	2.45
YKL206C	-0.09	-0.08
YKL207W	0.17	-0.09
YKL208W	2.64	2.4
YKL211C	-2.9	-0.8
YKL212W	-2.59	0.73
YKL213C	0.31	1.24
YKL214C	-0.4	-0.63
YKL215C	-0.16	-0.53
YKL216W	-1.1	-0.26
YKL217W	-0.78	-0.72
YKL218C	0.18	0.41
YKL220C	0.18	0.29
YKL221W	-0.8	-1.06
YKL222C	-1.25	-0.75
YKR001C	-1.02	5.85
YKR003W	-0.41	-0.83
YKR005C	-1.52	-2.13
YKR006C	-1.01	-1.3
YKR007W	1.06	-0.32
YKR009C	-2.08	-2.17
YKR010C	-0.01	1.49
YKR011C	-0.29	-1.46
YKR012C	-0.2	-1.11
YKR013W	-0.33	-0.89
YKR014C	-1.17	-0.43
YKR015C	-0.78	-0.88
YKR016W	0.51	0.17
YKR017C	-0.18	-0.1
YKR018C	-0.25	-0.52
YKR019C	-0.15	0.87
YKR020W	0.56	3.01
YKR021W	-3.21	-2.6
YKR023W	-1.17	-0.18
YKR024C		
YKR026C	0.69	0.29
YKR027W	-0.62	0.02
YKR028W	1.94	-0.1
YKR029C	0.25	-0.16
YKR030W	2.15	3.48
YKR031C	1.17	-0.66
YKR032W	3.19	-0.67
YKR033C	2.21	-1.32
YKR034W	2.72	-1.4
YKR035C	-0.6	5.1
YKR035W-A	-0.7	4.03
YKR036C	-0.87	-1.27
YKR039W	-0.74	-1.69
YKR040C	0.67	-0.22
YKR041W	0.64	0.28
YKR042W	2.61	1.36
YKR043C	-0.2	-0.2
YKR044W	-0.35	-0.61
YKR045C	-1.45	-1.11
YKR046C	1.23	-0.31
YKR047W	-0.57	-1.34
YKR048C	3.32	-1.18
YKR049C	0.25	-0.5
YKR050W	0.26	1.34
YKR051W	0.57	0.75
YKR052C	-0.24	0.41
YKR053C	-0.12	0.32
YKR054C	1.38	2.07
YKR055W	0.51	3.4
YKR056W	0.78	0.93
YKR057W	0.84	-1.36
YKR058W	-0.15	-0.07
YKR059W	0.94	1.86
YKR060W	-1.25	-1.12
YKR061W	0.4	0.53
YKR064W	0.91	0.16
YKR065C	0.82	1.31
YKR066C	-1.23	-1.45
YKR067W	-0.96	-1.63
