Table1 Genes in which deletion resulting in sensitivity to ethanol (10% (v/v))							
#	ORF	Gene name	Description				
77	YKL048C	ELM1	Protein kinase				
78	YKL057C	NUP120	Subunit of the Nup84p subcomplex of the nuclear pore complex 				
79	YKL073W	LHS1	Novel member of the Hsp70 family of molecular chaperones				
80	YKL110C	KTI12	Protein involved in resistance to K. lactis killer toxin				
81	YKL113C	RAD27	42 kDa 5' to 3' exonuclease required for Okazaki fragment processing				
82	YKL114C	APN1	Major apurinic/apyrimidinic endonuclease/3'-repair diesterase				
83	YKL118W		Questionable ORF				
84	YKL119C	VMA12/ VPH2	25.2 kDa protein involved in assembly of vacuolar H(-) ATPase				
85	YKR007W	MEH1/ EGO1	Weak similarity to Streptococcus protein M5 precursor				
86	YKR082W	NUP133	Nuclear pore protein				
87	YLL043W	FPS1	Glycerol channel protein				
88	YLR025W	SNF7	One of four subunits of ESCRT-III				
89	YLR315W	NKP2	Weak similarity to rat apolipoprotein A-IV				
90	YLR322W		Questionable ORF				
91	YLR331C		Questionable ORF				
92	YLR332W	MID2	Protein required for mating				
93	YLR357W	RSC2	Member of RSC complex.				
94	YLR368W		Hypothetical protein				
95	YLR384C	IKI3	Required for killer toxin sensitivity				
96	YLR386W	VAC14	Similarity to hypothetical S. pombe protein				
97	YLR417W	VPS36	Involved in vacuolar protein targeting				
98	YLR435W	TSR2	Hypothetical protein				
99	YLR447C	VMA6	Vacuolar ATPase V0 domain subunit d (36 kDa)				
100	YML062C	MFT1	Mitochondrial targeting protein				
101	YML094W	GIM5	Bovine prefoldin subunit 5 homolog (putative)				
102	YML095C-A		Hypothetical protein				
103	YML112W	CTK3	CTD kinase-I gamma subunit				
104	YML121W	GTR1	Putative small GTPase				
105	YMR003W		Hypothetical protein				
106	YMR060C	TOM37	Mitochondrial import receptor				
107	YMR077C	VPS20	Myristoylated subunit of ESCRT-III				
108	YMR116C	ASC1	G-beta like protein				
109	YMR142C	RPL13B	Ribosomal protein L13B				
110	YMR312W	ELP6	Elongator protein, part of the HAP subcomplex of Elongator				
111	YNL079C	TPM1	Tropomyosin I				
112	YNL080C		Hypothetical protein				
113	YNL098C	RAS2	Small, GTP-binding protein				
114	YNL133C		Hypothetical protein				
115	YNL225C	CNM67	Spindle pole body protein involved in nuclear migration				
116	YNL271C	BNI1	Contains formin homology domains				
117	YOR002W	ALG6	Glucosyltransferase				
118	YOR008C	SLG1	Involved in cell wall integrity and stress response				
119	YOR035C	SHE4	Required for mother cell-specific HO expression				
120	YOR115C	TRS33	TRAPP subunit of 33 kDa				
121	YOR198C	BFR1	Involved in secretion				
122	YOR258W		Hypothetical protein				
123	YOR332W	VMA4	Vacuolar ATPase V1 domain subunit E (27 kDa)				
124	YPL002C	SNF8	Component of the ESCRT-II complex				
125	YPL065W	VPS28	Involved in vacuolar protein targeting				
126	YPL084W	BRO1	Cytoplasmic class E vacuolar protein sorting (VPS) factor 				
127	YPL090C	RPS6A	Ribosomal protein S6A (S10A) (rp9) (YS4)				
128	YPL129W	ANC1	Transcription initiation factor TFIIF small subunit				
129	YPL161C	BEM4	Involved in polarity establishment and bud emergence				
130	YPL180W		Weak similarity to human l-caldesmon I				
131	YPL271W	ATP15	Nuclear gene for ATP synthase epsilon subunit				
132	YPR024W	YME1	Mitochondrial member of the CDC48/PAS1/SEC18 family of ATPases				
133	YPR036W	VMA13/ CLS11	Vacuolar ATPase V1 domain subunit H (54 kDa)				
134	YPR067W	ISA2	Iron sulfur assembly - IscA/NifA homolog				
135	YPR101W	SNT309	Component of a protein complex associated with the splicing factor Prp19p				
136	YPR131C	NAT3	N-terminal acetyltransferase				
137	YPR135W	CTF4	DNA polymerase alpha binding protein				
							
